new,host,a,soa,status_code,cname,caa,cdn,cdn-name,aaaa,ns,mx,txt,has_internal_ips,internal_ips
,kbim-dr.trellix.com,136.179.56.34,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1224.awsdns-25.org, ns-136.awsdns-17.com, ns-1563.awsdns-03.co.uk, ns-758.awsdns-30.net",,,,
,kbim.trellix.com,161.69.38.128,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,kbm-dr.trellix.com,136.179.56.56,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,kbm-uat.trellix.com,161.69.38.35,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,kbm.trellix.com,161.69.38.127,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,kcm-dr.trellix.com,136.179.56.55,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,kcm-uat.trellix.com,161.69.38.112,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,kcm-uat2.trellix.com,161.69.38.67,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,kcm.trellix.com,161.69.38.126,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,google-site-verification=3sQieXTGsDSNT2oFBitx43q01Oq_sfV7kn_4e1FSQPs,,
,lc.trellix.com,136.179.57.115,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,login-internal.beta.manage.trellix.com,,"ns-1269.awsdns-30.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,login-internal.manage.trellix.com,"34.213.221.180, 52.24.116.139","ns-847.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,login.auth.ui.trellix.com,"99.83.241.219, 75.2.106.85","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,"mcafeecloud.customdomains.okta.com, ok6-custom-crtrs.okta.com, ok6-custom-crtrs.oktaedge.okta.com, aa4314b2f84572f89.awsglobalaccelerator.com",,,,,,,,,
,login.beta.manage.trellix.com,"52.38.150.231, 54.149.202.255","ns-1269.awsdns-30.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,login.manage.trellix.com,"34.213.221.180, 52.24.116.139","ns-847.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,login.staging.auth.ui.trellix.com,"76.223.106.183, 13.248.236.251","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,"dev-271576.customdomains.oktapreview.com, op1-custom-crtrs.oktapreview.com, op1-custom-crtrs.oktaedge.oktapreview.com, a9dcaea81ce6d4aa6.awsglobalaccelerator.com",,,,,,,,,
,login.trellix.com,"75.2.114.79, 99.83.239.254","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,"login-trellix.customdomains.okta.com, ok1-custom-crtrs.okta.com, ok1-custom-crtrs.oktaedge.okta.com, a2e40bf056f673113.awsglobalaccelerator.com",,,,,,,,,
,lvsvpn1.trellix.com,136.179.57.148,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,lvsvpn2.trellix.com,136.179.57.149,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,manage.trellix.com,"13.227.219.13, 13.227.219.84, 13.227.219.28, 13.227.219.127","ns-847.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,"ns-847.awsdns-41.net, ns-102.awsdns-12.com, ns-1156.awsdns-16.org, ns-1550.awsdns-01.co.uk",,,,
,mepo.provisioning.insights.trellix.com,"34.208.33.245, 100.20.159.79, 50.112.46.69","ns-508.awsdns-63.com, awsdns-hostmaster.amazon.com",NOERROR,d-pfmxmmw03l.execute-api.us-west-2.amazonaws.com,,,,,,,,,
,mepo.provisioning.staging.insights.trellix.com,,"ns-508.awsdns-63.com, awsdns-hostmaster.amazon.com",NOERROR,d-e5rvbbc7dc.execute-api.us-west-2.amazonaws.com,,,,,,,,,
,mer.trellix.com,161.69.49.31,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,mfesupport.trellix.com,136.179.56.202,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1224.awsdns-25.org, ns-136.awsdns-17.com, ns-1563.awsdns-03.co.uk, ns-758.awsdns-30.net",,,,
,mobile-support.trellix.com,161.69.141.60,"dns-a.mcafee.com, hostmaster.mcafee.com",NOERROR,mobile-support.mcafee.com,,,,,,,,,
,mobileservices.trellix.com,161.69.137.157,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,mobileservicesidcs-uat.trellix.com,136.179.56.183,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,nativepushapi-qa01-blue.us.etp.trellix.com,"172.64.153.45, 104.18.34.211","bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,"2606:4700:4400::6812:22d3, 2606:4700:4400::ac40:992d",,,,,
,nsp.configuration.dev.insights.trellix.com,"44.231.21.75, 34.215.223.109, 44.236.161.75, 52.11.123.219, 54.71.63.52, 54.68.189.238","ns-508.awsdns-63.com, awsdns-hostmaster.amazon.com",NOERROR,d-jhsy8gzj35.execute-api.us-west-2.amazonaws.com,,,,,,,,,
,nspupdate.trellix.com,"104.126.37.179, 104.126.37.144","n0dscd.akamaiedge.net, hostmaster.akamai.com",NOERROR,"nspupdate.trellix.com.edgekey.net, e90605.dscd.akamaiedge.net",,,,"2a02:26f0:7100::211:64eb, 2a02:26f0:7100::211:64a3",,,,,
