new,host,a,cname,soa,status_code,aaaa,ns,cdn,cdn-name,mx,txt
[x],admin.nos.nl,"3.121.37.51, 3.66.66.237, 52.29.195.181, 52.57.213.175, 52.29.248.163, 52.58.140.166",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1081.awsdns-07.org, ns-1584.awsdns-06.co.uk, ns-299.awsdns-37.com, ns-759.awsdns-30.net",,,,
[x],admin.rtv.nos.nl,145.58.18.1,,"ns-1641.awsdns-13.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],amp.nos.nl,"52.58.140.166, 52.29.195.181, 3.121.37.51, 52.29.248.163, 3.66.66.237, 52.57.213.175",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],analyse-api.lab.nos.nl,"52.57.213.175, 52.29.248.163, 3.121.37.51, 3.66.66.237, 52.29.195.181, 52.58.140.166",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],analyse.lab.nos.nl,"52.57.213.175, 3.66.66.237, 52.29.248.163, 52.58.140.166, 52.29.195.181, 3.121.37.51",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],api.inos.nos.nl,145.58.15.8,,"ns-1511.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],api.inosregio.nos.nl,145.58.15.8,,"ns-1511.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],api.nos.nl,"3.121.37.51, 52.29.195.181, 52.29.248.163, 52.57.213.175, 52.58.140.166, 3.66.66.237",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],app.nos.nl,"18.66.122.78, 18.66.122.99, 18.66.122.118, 18.66.122.3",d2741t8y7n6t2s.cloudfront.net,"ns-1983.awsdns-55.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2250:fa00:11:d7fa:ed00:93a1, 2600:9000:2250:c200:11:d7fa:ed00:93a1, 2600:9000:2250:ae00:11:d7fa:ed00:93a1, 2600:9000:2250:5400:11:d7fa:ed00:93a1, 2600:9000:2250:2800:11:d7fa:ed00:93a1, 2600:9000:2250:0:11:d7fa:ed00:93a1, 2600:9000:2250:1400:11:d7fa:ed00:93a1, 2600:9000:2250:c000:11:d7fa:ed00:93a1","ns-300.awsdns-37.com, ns-876.awsdns-45.net, ns-1392.awsdns-46.org, ns-1983.awsdns-55.co.uk",True,cloudfront,,
[x],assets-jenkins-v1db2-corp.api.nos.nl,"52.29.195.181, 3.66.66.237, 52.57.213.175, 52.29.248.163, 3.121.37.51, 52.58.140.166",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],autodiscover.nos.nl,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"2603:1036:302:40f4::8, 2603:1036:302:4831::8, 2603:1036:302:40b4::8, 2603:1036:302:415f::8",,,,,
[x],bugfix500ifnoimagesbyratio.next.nos.nl,"3.66.66.237, 3.121.37.51, 52.29.195.181, 52.57.213.175, 52.29.248.163, 52.58.140.166",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],bugfiximagesizesfix.next.nos.nl,"52.29.248.163, 3.66.66.237, 52.29.195.181, 52.57.213.175, 52.58.140.166, 3.121.37.51",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
