new,host,a,aaaa,soa,status_code,mx,txt
[x],mijn.rechtspraak.nl,159.46.204.48,2a04:9a04:18a0:8a02:0:3c:192:48,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],mijnstrafdossiers.rechtspraak.nl,159.46.204.50,2a04:9a04:18a0:8a02:0:3c:192:50,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],namenlijst.rechtspraak.nl,159.46.197.51,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],ncc-acc.rechtspraak.nl,159.46.198.83,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],ncc-siam.rechtspraak.nl,,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],ncc-sts.rechtspraak.nl,159.46.198.81,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],ncc-zaakbeheer-acc.rechtspraak.nl,159.46.198.85,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],ncc-zaakbeheer.rechtspraak.nl,159.46.198.82,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],ncc.rechtspraak.nl,159.46.198.80,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],owa01.rechtspraak.nl,159.46.197.228,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],pki.rechtspraak.nl,159.46.204.183,2a04:9a04:18a0:8a02:0:3c:192:183,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],rechtspraak.nl,"104.126.37.50, 104.126.37.33","2a02:26f0:ab00::5c7a:d730, 2a02:26f0:ab00::214:8e63","a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,"mx1.minvenj.nl, mx2.minvenj.nl","QuoVadis=d6e86af9-37b4-48df-a4cd-66017db01c98, 48c15042b0b3cab5f7c952cda311fefd11546e10ccd1aa92b33a3629d4d0cdb9, d0aoelnej7rab22nmv0gnmjvll, v=spf1 a:outmail.hireserve.nl include:_spf.minvenj.nl include:_spf.zivver.com include:u1868029.wl030.sendgrid.net include:spf.protection.outlook.com -all, v=NTA7516-1;startdate=2021-12;enddate=2024-12;provider=Zivver, have-i-been-pwned-verification=f3832dd9480ec54c6c284d48ee903a28, qjei8j26g1qocg4a51upnqse2b, psvaymju9mxNk37U9JW7bdIuvbgcZPsoILJr5vyE1b8=, QuoVadis=d3a48c97-8faf-43dc-8bb0-f714dea003c2, QuoVadis=429fde94-9978-49e1-a181-34f19257924d, 3UUEpAjHqeKvEvh0rbWLq2bAabLmD34wLR3gV1IMc5PY5f7jH8vvtI2m5O83EqTSXxPWTfMYkWHxvpacqUacGA==, apple-domain-verification=pMiEorRSYsn0tVZk, fac9c66d76fe5daff676db1afefc43505b70a17381bde63ab3cea3b467398b75"
[x],redirect.rechtspraak.nl,159.46.196.45,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],rep100.rechtspraak.nl,159.46.201.68,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],reptoegang.rechtspraak.nl,159.46.196.138,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],rmw.rechtspraak.nl,159.46.196.223,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],roljournaalhandelrechtbanken.rechtspraak.nl,159.46.204.137,2a04:9a04:18a0:8a02:0:3c:192:137,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],siam.rechtspraak.nl,212.114.110.234,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],signin.rechtspraak.nl,159.46.196.227,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],sip01.rechtspraak.nl,"159.46.201.213, 159.46.201.210",,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],splunkhfwd.rechtspraak.nl,159.46.204.212,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],static.rechtspraak.nl,159.46.196.45,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],statistiek.rechtspraak.nl,159.46.204.24,2a04:9a04:18a0:8a02:0:7c:6:0,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],stats-tag.rechtspraak.nl,159.4.204.24,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],telewerken.rechtspraak.nl,159.46.198.60,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],toegang.rechtspraak.nl,159.46.204.54,2a04:9a04:18a0:8a02:0:3c:192:54,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],toezichtcbm.rechtspraak.nl,159.46.204.168,2a04:9a04:18a0:8a02:0:3c:192:168,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],toezichtwsnp.rechtspraak.nl,,2a04:9a04:18a0:8a02:0:3c:192:19,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],uitspraken.rechtspraak.nl,159.46.204.52,2a04:9a04:18a0:8a02:0:3c:192:52,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],vcse.rechtspraak.nl,159.46.201.4,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],vcsew.rechtspraak.nl,159.46.201.6,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],watismijnip.rechtspraak.nl,159.46.204.182,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],webconf01.rechtspraak.nl,"159.46.201.211, 159.46.201.214",,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],webconf02.rechtspraak.nl,"159.46.201.217, 159.46.201.220",,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
[x],webext02.rechtspraak.nl,159.46.197.228,,"a1-21.akam.net, hostmaster.argeweb.nl",NOERROR,,
