new,host,a,aaaa,soa,status_code,cdn,cdn-name,mx,ns,txt,cname
,api.narkasa.com,"104.21.2.72, 172.67.128.224","2606:4700:3030::6815:248, 2606:4700:3035::ac43:80e0","tricia.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
,apidocs.narkasa.com,"104.21.2.72, 172.67.128.224","2606:4700:3035::ac43:80e0, 2606:4700:3030::6815:248","tricia.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
,autodiscover.narkasa.com,"40.99.157.24, 40.99.149.104, 40.99.149.168, 52.97.189.72, 40.99.155.232, 40.99.149.184, 52.97.189.104, 40.99.149.152","2603:1026:c0d:c2d::8, 2603:1026:c0d:82c::8, 2603:1026:c0d:82e::8, 2603:1026:c0d:c1c::8","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com"
,identity.narkasa.com,"104.21.2.72, 172.67.128.224","2606:4700:3030::6815:248, 2606:4700:3035::ac43:80e0","tricia.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
,narkasa.com,"104.21.2.72, 172.67.128.224","2606:4700:3030::6815:248, 2606:4700:3035::ac43:80e0","tricia.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,narkasa-com.mail.protection.outlook.com,"tricia.ns.cloudflare.com, woz.ns.cloudflare.com","MS=ms32684383, v=spf1 include:spf.protection.outlook.com include:sendgrid.net -all, facebook-domain-verification=st2qq0eezh6y2qyxovrdpi77vd6c1z",
,s2.narkasa.com,168.63.107.195,,"tricia.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,azure,,,,
,support.narkasa.com,"172.67.128.224, 104.21.2.72","2606:4700:3030::6815:248, 2606:4700:3035::ac43:80e0","tricia.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
,www.narkasa.com,"172.67.128.224, 104.21.2.72","2606:4700:3035::ac43:80e0, 2606:4700:3030::6815:248","tricia.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
