new,host,a,aaaa,cname,soa,status_code,mx,ns,txt,cdn,cdn-name,caa,has_internal_ips,internal_ips
[x],spf2.dpgmedia.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,"v=spf1 ip4:209.61.151.0/24 ip4:166.78.68.0/22 ip4:198.61.254.0/23 ip4:192.237.158.0/23 ip4:23.253.182.0/23 ip4:104.130.96.0/28 ip4:146.20.113.0/24 ip4:146.20.191.0/24 ip4:159.135.224.0/20 ip4:69.72.32.0/20,  ip4:188.172.128.0/20 ip4:104.130.122.0/23 ip4:146.20.112.0/26 ip4:161.38.192.0/20 ip4:143.55.224.0/21 ip4:143.55.232.0/22 -all",,,,,
[x],spo.dpgmedia.be,138.2.134.248,,dpgmedia.iadvise-hosting.be,"ns1.cronos.be, hostmaster.cronos.be",NOERROR,,,,True,oracle,,,
[x],sql.dpgmedia.be,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,
[x],stag-syndication.dpgmedia.be,"99.83.132.111, 75.2.104.177",,dpgmedia.be,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,"alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx.l.google.com, aspmx3.googlemail.com","use5.akam.net, ns1-125.akam.net, eur5.akam.net, eur2.akam.net, usc2.akam.net, eur6.akam.net, use2.akam.net, ns1-25.akam.net","facebook-domain-verification=n9km64hqp5yb0753aznxug3vyzbpp4, MS=ms81694665, google-site-verification=qASo4Bx9LlLrTDh7B5XL8o_aT00M_eOs0MhDIT2mT74, pardot643543=e282578cad09df893312cb1dace19255779a369c348c73374cf487f88bf64ffc, _globalsign-domain-verification=jsUoxGxJgR2zsbUGpaocd48FBD80Y9pzv9HIMghiPR, _globalsign-domain-verification=nsqnD7wwhGNdAOhsaYaOrHYUUv235YiSl78GYluXBl, v=spf1 ip4:146.185.48.0/21 include:_spf1.dpgmedia.be include:_spf2.dpgmedia.be include:_spf.salesforce.com include:_spf.google.com include:_spf.mailprotect.be ip4:145.60.24.156 ip4:217.21.184.109 -all, apple-domain-verification=Ek99ocs5pDm8GLHV, google-site-verification=ixIn_RADU6Aw6JiLQHjdkrtKOnGepaQ5tA8hfnqN3uE, pardot643543=30c41e2e10b96e40b21204a054b6552ea4c668152296202d721e05fc1426e804, google-site-verification=4zudkxX9tGHde8Ls_uxa4fAm5RMEXI3tBNKFrfjIdNo, amazonses:qL3yA6BzTGGp65hZe+mNC+/qxBNOFm3tcmxxSyFARWI=, _globalsign-domain-verification=sqjKRl5q4zeixoEvK3_44k-vGqbPTvWptejVujDgRy, atlassian-domain-verification=ssHGvZHDdS5FmfVQpIMaFz7N72WfDW4eBo9yqtYNFjK/GIpJ1yW8IiERm5km/bSj, miro-verification=6ab58ecb32755bd8fe2c2255f7fce54a0f770a62",,,,,
[x],studio.dpgmedia.be,"75.2.104.177, 99.83.132.111",,dpgredirects.business-hosting.dpgmedia.cloud,"ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],survey.dpgmedia.be,"52.205.96.97, 54.209.190.53",,"zendesk.sweethawk.co, 503-183-766.cloud66.net, zendesk-sweethawk-co.c66.me, c66-f2f8dfe5b36-rails-yiozz-1947580773.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],themaskedsinger-staging.dpgmedia.be,"104.126.37.25, 104.126.37.40","2a02:26f0:ab00::5c7a:d712, 2a02:26f0:ab00::214:8e48","dpp-vtm-wc.edgekey.net, e27224.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],themaskedsinger.dpgmedia.be,"92.123.189.9, 92.123.189.91","2a02:26f0:d8::1740:c2b, 2a02:26f0:d8::1740:c40","dpp-vtm-wc.edgekey.net, e27224.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],trouwnet.dpgmedia.nl,"75.2.104.177, 99.83.132.111",,dpgredirects.business-hosting.dpgmedia.cloud,"ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],uitnodiging.tickets.dpgmedia.be,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,peak.proxy.tickoweb.net,"ns1.ethera.be, dns.tigron.net",NOERROR,,,,,,,,
