input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,csp_domains_,webserver,tls_wildcard_certificate,tls_mismatched,cdn_name,cdn
*.analytics.google.com,Redirecting...,200,888,AS15169,GOOGLE,US,142.250.0.0/15,analytics.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,ctls,analytics.google.com,443,https://analytics.google.com:443,https,text/html,GET,142.250.186.46,/,302920777,https://analytics.google.com/analytics/web/,2a00:1450:4001:80f::200e,HTTP/3,1,False,http:,ESF,True,,,
*.fonts.net,"Fonts.com | Find, Buy & Download Best Fonts",200,33369,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,www.fonts.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-26T00:00:00Z,2023-11-26T23:59:59Z,"CN=*.fonts.com, O=Monotype Imaging Inc., L=Woburn, ST=Massachusetts, C=US",*.fonts.com,Monotype Imaging Inc.,*.fonts.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,592fd8ea9afbe851374f3d9697e8627b,cac20a581269e10619264321c06478465d4d34685fcfa8410c4c20b42f53f4bf,ctls,www.fonts.com,80,http://fonts.net:80,http,text/html,GET,104.17.224.78,/,,https://www.fonts.com,2606:4700::6811:e14e,Microsoft ASP.NET,657,False,,cloudflare,True,,cloudflare,True
*.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,AS15169,GOOGLE,US,142.250.0.0/15,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,ctls,marketingplatform.google.com,443,https://google-analytics.com:443,https,text/html,GET,142.250.184.196,/,302920777,https://marketingplatform.google.com/about/analytics/,2a00:1450:4001:830::2004,HTTP/3,1831,False,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,sffe,True,,,
*.googleapis.com,Error 404 (Not Found)!!1,404,1561,AS15169,GOOGLE,US,142.250.0.0/15,googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:13Z,2023-07-17T12:00:12Z,CN=*.googleapis.com,*.googleapis.com,,*.clients6.google.ws,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,06c854b043dd65e1f308ec77994c4cd0,39a04a5ea2fa354528ea8a0e650c2167cefe25f1f01485bbc770bed6288a409b,ctls,googleapis.com,443,https://googleapis.com:443,https,text/html,GET,142.250.186.132,/,302920777,,2a00:1450:4001:812::2004,HTTP/3,12,False,,,True,,,
*.googletagmanager.com,Error 400 (Bad Request)!!1,400,1555,AS15169,GOOGLE,US,142.250.0.0/15,googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google-analytics.com,*.google-analytics.com,,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,60de21960acc1135956a2968026b647c,3b0044e06b0f98f11a360ad2bd0f640c989df03ba6deeb8b1d3d963d4097fdfb,ctls,googletagmanager.com,443,https://googletagmanager.com:443,https,text/html,GET,142.250.186.136,/,302920777,,2a00:1450:4001:82a::2008,HTTP/3,12,False,,Google Tag Manager,True,,,
*.youtube-nocookie.com,Oops,404,7501,AS15169,GOOGLE,US,142.250.0.0/15,youtube-nocookie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,daa3b740f2db8b5a7b864d3ada166890,dda5766e50d188d90b1dadb806816ad1b2abde1b0f35f467406a2fe028740cb3,ctls,youtube-nocookie.com,443,https://youtube-nocookie.com:443,https,text/html,GET,142.250.185.174,/,1431291984,,2a00:1450:4001:810::200e,HTTP/3,1,False,,ESF,True,True,,
*.youtube.com,,200,6173,AS15169,GOOGLE,US,216.58.192.0/19,www.youtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,ctls,www.youtube.com,443,https://youtube.com:443,https,text/html,GET,216.58.212.174,/,1179099333,https://www.youtube.com/supported_browsers?next_url=https%3A%2F%2Fyoutube.com%2F,2a00:1450:4001:828::200e,HTTP/3,1,False,,ESF,True,True,,
apiportal.pggm.nl,Service Unavailable,503,326,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,,,,,,,,,,,,,,,,,,,80,http://apiportal.pggm.nl:80,http,text/html,GET,104.40.155.230,/,-268152617,,104.40.155.230,,7,False,,,,,azure,True
autodiscover.leo.pggm.nl,Sign In,200,17848,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,52.105.196.0/23,adfs2.pggm.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-21T00:00:00Z,2023-08-21T23:59:59Z,"CN=adfs2.pggm.nl, O=PGGM N.V., L=Zeist, ST=Utrecht, C=NL",adfs2.pggm.nl,PGGM N.V.,adfs2.pggm.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7c22da3d69dad93c82a6ee5f5c0a6a0e,0600945580b502b669959e5eb85ee7c892ee200caf196cfc795f6183f0a0acfd,ctls,adfs2.pggm.nl,80,http://autodiscover.leo.pggm.nl:80,http,text/html,GET,52.98.171.248,/,-1249852061,https://adfs2.pggm.nl/adfs/ls/?client-request-id=3cf5b4ac-a32f-1678-b8f1-c4e117a8ed6a&username=&wa=wsignin1.0&wtrealm=urn%3afederation%3aMicrosoftOnline&wctx=estsredirect%3d2%26estsrequest%3drQQIARAAjZE9TBNhAIb7ceXkTyEM6mguTui1911717tGBmxLUSj9uUJtjWmu3_22d_cdd9cWS4ibcZMZnZTBECdlIEwOTkzEmJi4qIsSEhIl0TBK4-LIO7x5tjd53ikCRmDyOvMvLN1vmtE0SCO1T__FmxyZeL3z-1b05erl3V_vv115ddzcBKOWiiOurtsRx9oGlBEErp-MRnE7sDBuRbCmmUiN8VwEYTuKu3J0F4ADAA4B2B5I8DEBiiwvwjgn8hzPilxEa_C8psIYLSgCR8cbDKLlRqJBs3EFQaSxjNKAnwfG8zPtwGD7hT2zp54MDGvYs-su9oNN4ilIo2AxjXN6JnPbkPN1yWvNZKtVaZZfblW1Vrds5eSVzj2upmXrsXy24McChvccr2rM59KemE37pXgg26J1B0lStVRs5yU_tyLpqbIkMVJp1mQkXBIKcdqoVxe6bKeAZa7XW4K0ZVeWKzGI5GLCYZSFRFZsL4s9YZs4l-E3BHlmycbOPkFiV3VM5SAMvobBUXiMIZJDQ-QEcTV0LXQaBi8Gz85gvvz5sfX87sLW95VHO2_HQ_uDUT1-IwvnWm0zNefJi8VywSjVYNdNQdQzykKzkWkm8kLLEgoGmoZJuEGCDZLcI4eHiIkQRaQK8JAEP0nw5EJob_gcXx6Mgs9j8RESWbJp-5NTa5Sp1APcUh0quUat2n4doT51ZKut-lTyPnU2QT1YX19_dzF0eunTh63HJ88-Hs8djd_s1drzqqrzzVpD19kZBy4xqvuwpvQMKHZcw3GLNb1YqaStDJr-Cw2,2603:1026:c0d:803::8,HSTS,401,False,,,,,,
http://www.pagespeed-mod.com,HTTP Status 404 – Not Found,404,1036,AS16509,AS16509,Unknown,54.154.0.0/15,www.pagespeed-mod.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T10:13:17Z,2024-04-15T10:13:17Z,CN=*.pagespeed-mod.com,*.pagespeed-mod.com,,pagespeed-mod.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5547dbb86d839d846e7b125f50629bb0,bcd9e676e9896af30ae5d9914cf1f49ed3fecb9545408e1deed4501cbc32e997,ctls,www.pagespeed-mod.com,443,https://www.pagespeed-mod.com:443,https,text/html,GET,54.154.248.59,/,957862673,,79.125.45.17,Java,1,False,,Apache-Coyote/1.1,True,,,
