new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,ns,txt,mx,caa
[x],api-dev.gmelius.com,"188.114.96.3, 188.114.97.3","2a06:98c1:3120::3, 2a06:98c1:3121::3","april.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],api-staging.gmelius.com,"188.114.97.13, 188.114.96.13","2a06:98c1:3121::d, 2a06:98c1:3120::d","april.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],api-staging2.gmelius.com,34.111.204.170,,"april.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,
[x],api.gmelius.com,"188.114.96.4, 188.114.97.4","2606:4700:3032::ac43:9d4b, 2606:4700:3036::6815:869","april.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,google-site-verification=FdtpCsSNQO8w38J0HcM6oaX4aTFqvyUkBJSh8V9vErI,,
[x],apitest2.gmelius.com,,,"april.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,google-site-verification=VSA8IHrhYBiSWH-d045-rV4cAQ9caEwp4CXnQKKYqcA,,
[x],app.gmelius.com,"151.101.65.195, 151.101.1.195",,"april.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,fastly,,,,,
[x],blog.gmelius.com,"188.114.97.0, 188.114.96.0","2a06:98c1:3120::, 2a06:98c1:3121::","april.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],bounce.gmelius.com,"205.251.192.163, 205.251.195.226, 205.251.197.124, 205.251.199.216",,"ns-994.awsdns-60.net, awsdns-hostmaster.amazon.com",NOERROR,,,custom-email-domain.stripe.com,"ns-1404.awsdns-47.org, ns-2008.awsdns-59.co.uk, ns-163.awsdns-20.com, ns-994.awsdns-60.net",v=spf1 include:amazonses.com ~all,feedback-smtp.us-west-2.amazonses.com,
[x],changelog.gmelius.com,35.207.24.13,,"cloe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,"news.gmelius.com, custom.getbeamer.com",,,,
[x],cloud.gmelius.com,"188.114.96.3, 188.114.97.3","2a06:98c1:3120::3, 2a06:98c1:3121::3","april.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],community.gmelius.com,"188.114.97.3, 188.114.96.3","2a06:98c1:3121::3, 2a06:98c1:3120::3","april.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],dashboard.gmelius.com,46.101.219.238,,"april.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],data.gmelius.com,34.111.198.76,,"april.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,
[x],developers.gmelius.com,"151.101.1.195, 151.101.65.195",,"april.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,fastly,,,,,
[x],faq.gmelius.com,,,"april.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],fr.gmelius.com,"151.139.128.10, 151.139.128.11",,"ns-1007.awsdns-61.net, awsdns-hostmaster.amazon.com",NOERROR,,,websites.weglot.com,,,,"letsencrypt.org, comodoca.com, amazon.com, sectigo.com"
[x],gmelius.com,,,,NOERROR,,,,,,"alt2.aspmx.l.google.com, alt4.aspmx.l.google.com, aspmx.l.google.com, alt1.aspmx.l.google.com, alt3.aspmx.l.google.com",
[x],hello.gmelius.com,"199.60.103.228, 199.60.103.28","2606:2c40::c73c:67e4, 2606:2c40::c73c:671c","jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,"5651292.group42.sites.hubspot.net, group42.sites.hscoscdn40.net",,,,
[x],internal-staging.gmelius.com,"188.114.97.3, 188.114.96.3","2a06:98c1:3121::3, 2a06:98c1:3120::3","april.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],ipn.gmelius.com,,,"april.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],learn.gmelius.com,"104.21.8.105, 172.67.157.75","2606:4700:3036::6815:869, 2606:4700:3032::ac43:9d4b","april.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],live.gmelius.com,"13.224.132.62, 13.224.132.73, 13.224.132.14, 13.224.132.83","2600:9000:2133:5000:1b:5053:4e00:93a1, 2600:9000:2133:4200:1b:5053:4e00:93a1, 2600:9000:2133:3c00:1b:5053:4e00:93a1, 2600:9000:2133:6800:1b:5053:4e00:93a1, 2600:9000:2133:4400:1b:5053:4e00:93a1, 2600:9000:2133:9200:1b:5053:4e00:93a1, 2600:9000:2133:200:1b:5053:4e00:93a1, 2600:9000:2133:f800:1b:5053:4e00:93a1","ns-695.awsdns-22.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,d2rqd6oebzy88o.cloudfront.net,"ns-1260.awsdns-29.org, ns-1584.awsdns-06.co.uk, ns-184.awsdns-23.com, ns-695.awsdns-22.net",,,
[x],log.gmelius.com,,,"april.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],mailer.gmelius.com,,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,u2309287.wl038.sendgrid.net,,v=spf1 ip4:149.72.252.127 -all,mx.sendgrid.net,
[x],meet.gmelius.com,"151.101.1.195, 151.101.65.195",,"april.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,fastly,,,,,
[x],news.gmelius.com,35.207.24.13,,"cloe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,custom.getbeamer.com,,,,
[x],services.gmelius.com,"188.114.96.3, 188.114.97.3","2a06:98c1:3121::3, 2a06:98c1:3120::3","april.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],staging.app.gmelius.com,,,"april.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],status.gmelius.com,"188.114.97.3, 188.114.96.3","2a06:98c1:3121::3, 2a06:98c1:3120::3","april.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],support.gmelius.com,"188.114.97.3, 188.114.96.3","2a06:98c1:3120::3, 2a06:98c1:3121::3","april.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],trust.gmelius.com,"188.114.96.3, 188.114.97.3","2a06:98c1:3120::3, 2a06:98c1:3121::3","april.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],vip.gmelius.com,,,"april.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],www.gmelius.com,"54.194.170.100, 34.253.101.190, 34.251.201.224",,"ns-1078.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,"proxy-ssl.webflow.com, proxy-ssl-geo.webflow.com",,,,
