new,host,a,aaaa,soa,ns,status_code,cdn,cdn-name,cname,has_internal_ips,internal_ips,txt,caa,mx
[x],email.instacart.com,"167.89.123.54, 167.89.123.124, 167.89.118.52, 167.89.118.83",,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,sendgrid.net,,,"p8bnb2lp424dkl3c4io1aemiei, google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE, mailru-verification: 2e3995fa8a7d00e0, v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all",,"mx.sendgrid.net, mx2.sendgrid.net"
[x],safeway.instacart.com,"104.18.22.184, 104.18.23.184","2606:4700::6812:17b8, 2606:4700::6812:16b8","ivan.ns.cloudflare.com, dns.cloudflare.com","ivan.ns.cloudflare.com, molly.ns.cloudflare.com",NOERROR,True,cloudflare,safeway.pbis-cf.instacart.com,,,,,
[x],sftp-cloud-econ.dev.instacart.tools,"3.223.30.116, 184.72.185.202, 54.205.204.64",,"ns-1005.awsdns-61.net, awsdns-hostmaster.amazon.com",,NOERROR,,,s-68000dec9a6e40eea.server.transfer.us-east-1.amazonaws.com,,,,,
,10box.instacart.com,"104.18.24.45, 104.18.25.45",,"ivan.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,10box.pbis-cf.instacart.com,,,,,
,10box.pbis-cf.instacart.com,"104.18.25.45, 104.18.24.45",,"ivan.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,,,
,abc.pbis-cf.instacart.com,"104.18.27.43, 104.18.26.43","2606:4700::6812:1b2b, 2606:4700::6812:1a2b","ivan.ns.cloudflare.com, dns.cloudflare.com","ivan.ns.cloudflare.com, molly.ns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,acme-markets.instacart.com,"104.18.25.62, 104.18.24.62","2606:4700::6812:193e, 2606:4700::6812:183e","ivan.ns.cloudflare.com, dns.cloudflare.com","ivan.ns.cloudflare.com, molly.ns.cloudflare.com",NOERROR,True,cloudflare,acme-markets.pbis-cf.instacart.com,,,,,
,acme-markets.pbis-cf.instacart.com,"104.18.25.62, 104.18.24.62","2606:4700::6812:183e, 2606:4700::6812:193e","ivan.ns.cloudflare.com, dns.cloudflare.com","ivan.ns.cloudflare.com, molly.ns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,ad-tools-mgs.instacart.com,"54.242.235.138, 18.211.165.189, 54.172.241.86, 34.236.8.116",,"ns-589.awsdns-09.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,admin.instacart.tools,172.30.113.167,,"ns-1036.awsdns-01.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,True,172.30.113.167,,,
