input,title,status_code,content_length,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,tls_subject_org_,csp_domains_,final_url
10box.pbis-cf.instacart.com,,403,16,cloudflare,443,https://10box.pbis-cf.instacart.com:443,https,cloudflare,text/plain,GET,104.18.24.45,/,1253481126,2606:4700::6812:182d,HTTP/3,1,False,True,10box.pbis-cf.instacart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-19T00:00:00Z,2024-03-18T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.10box.pbis-cf.instacart.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",69c76e3e4017b121e7a25d728ca2008d,4d52086bf32c344f1bc04c483242bbafe9616057eed8fc05288aeb97bf035d27,True,ctls,10box.pbis-cf.instacart.com,"Cloudflare, Inc.",,
acme-markets.instacart.com,,409,16,cloudflare,80,http://acme-markets.instacart.com:80,http,cloudflare,text/plain,GET,104.18.25.62,/,1000520165,2606:4700::6812:183e,Cloudflare,1,False,True,,,,,,,,,,,,,,,,,,,,,
ad-tools-mgs.instacart.com,,404,21,,443,https://ad-tools-mgs.instacart.com:443,https,,text/plain,GET,18.211.165.189,/,-2114093587,54.242.235.138,,1,False,,ad-tools-mgs.instacart.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-10-31T23:59:59Z,CN=instacart.com,instacart.com,*.instacart.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,43f20919120be96efe14abd528fcdcae,923abdbba4f0d3cb80548f13dc1bd0649bf409dd24b71c732b8712efc316d035,True,ctls,ad-tools-mgs.instacart.com,,,
ads.instacart.com,Instacart Company | Ads,200,320786,,443,https://ads.instacart.com:443,https,cloudflare,text/html,GET,23.21.166.25,/,-1573429059,34.193.117.208,Vercel,18,False,,www.instacart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-16T00:00:00Z,2023-08-16T23:59:59Z,"CN=www.instacart.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",www.instacart.com,*.www.instacart.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4f63fd4ff451c1d7feac272bca745249,655d1130a751f17d01e5ea7ec5a4950d32eae366c74b4748f1159f236b0bfded,True,ctls,www.instacart.com,"Cloudflare, Inc.",,https://www.instacart.com:443/company/ads
ads.instacart.tools,,200,699,,443,https://ads.instacart.tools:443,https,nginx,text/html,GET,3.94.104.53,/,1126835021,3.216.45.49,Nginx,42,False,,ads.instacart.tools,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-21T00:00:00Z,2024-02-19T23:59:59Z,CN=instacart.tools,instacart.tools,*.instacart.tools,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1ddd235770f125eb27865eb34a06ee07,445948165dee6daf3aaf7de9f6abfffc2a070b66bda15992ff44e938b9dd1dd2,True,ctls,ads.instacart.tools,,,
affiliate.instacart.com,Login - Instacart Tastemakers,200,70188,,443,https://affiliate.instacart.com:443,https,Apache,text/html,GET,3.230.71.210,/,-1840324437,44.205.217.125,PHP,189,False,,affiliate.instacart.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-02-17T23:59:59Z,CN=affiliate.instacart.com,affiliate.instacart.com,affiliate.instacart.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,769503c5f799afad75886e6713ebc52e,bb4bf0c4fb850774b462e55a5d84547ca76633e82bacfae54c0db565f4cb1580,,ctls,affiliate.instacart.com,,,
albertsons-market-street.pbis-cf.instacart.com,,403,16,cloudflare,443,https://albertsons-market-street.pbis-cf.instacart.com:443,https,cloudflare,text/plain,GET,104.18.6.71,/,1253481126,2606:4700::6812:647,HTTP/3,1,False,True,albertsons-market-street.pbis-cf.instacart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T22:31:55Z,2023-07-16T22:31:54Z,CN=albertsons-market-street.pbis-cf.instacart.com,albertsons-market-street.pbis-cf.instacart.com,*.albertsons-market-street.pbis-cf.instacart.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,368f07ed130204a9242635a436649120,36c8e950ae2a1faad5a511d58a45e450697611aac3394ab9520a2eb8757614fa,True,ctls,albertsons-market-street.pbis-cf.instacart.com,,,
albertsonsmarketstreet.instacart.com,,409,16,cloudflare,80,http://albertsonsmarketstreet.instacart.com:80,http,cloudflare,text/plain,GET,104.18.6.71,/,1000520165,2606:4700::6812:747,Cloudflare,1,False,True,,,,,,,,,,,,,,,,,,,,,
aldi.pbis-cf.instacart.com,,403,16,cloudflare,443,https://aldi.pbis-cf.instacart.com:443,https,cloudflare,text/plain,GET,104.18.5.246,/,1253481126,2606:4700::6812:5f6,HTTP/3,1,False,True,aldi.pbis-cf.instacart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2024-02-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4bff4ec29267af7bd2eac06c80813c7d,e3e746c1eb003fde40ae9720ce4ece647338aa442e9c5026514f316ff0fab825,True,ctls,aldi.pbis-cf.instacart.com,"Cloudflare, Inc.",,
amundsen.instacart.com,Instacart - Sign In,200,21588,,443,https://amundsen.instacart.com:443,https,nginx,text/html,GET,52.203.9.137,/,-669823670,54.90.49.210,Nginx,501,False,,instacart.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,True,ctls,instacart.okta.com,"Okta, Inc.",*.authenticatorlocalprod.com:65131,https://instacart.okta.com/oauth2/v1/authorize?response_type=code&client_id=0oa5oat3rlLOBQNKM357&redirect_uri=http%3A%2F%2Famundsen.instacart.com%2Foidc_callback&scope=openid+email+profile&state=M3bbx7FRv9ABGxRa24DyN6yoEq1U4L&nonce=BletbhiZwv8ZfWPtANyb
