new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,ns,txt,mx,caa,has_internal_ips,internal_ips
[x],0-latinamericannewsdigest.com.wildpac.virusflags.letgo.com,"23.22.130.80, 3.230.51.120, 54.175.52.101",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],002tousan-donkey1.alpha6-09-9-polishlove1relyingparty-okta-stable.assets.letgo.com,"23.22.130.80, 3.230.51.120, 54.175.52.101",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],008-okta-ops.edgecom.fearian-cloudfront-employeesurvey.theprodigaldeveloper.letgo.com,"3.230.51.120, 23.22.130.80, 54.175.52.101",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],01skq.otoplus.com,,"2a02:26f0:280:4::213:7855, 2a02:26f0:280:4::213:784b","otoplus.edgekey.net, e118669.dscf.akamaiedge.net","n0dscf.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"ns-1371.awsdns-43.org, ns-2006.awsdns-58.co.uk, ns-37.awsdns-04.com, ns-643.awsdns-16.net",,,,,
[x],04v.otoplus.com,"104.126.36.202, 104.126.36.235","2a02:26f0:280:4::213:7855, 2a02:26f0:280:4::213:784b","otoplus.edgekey.net, e118669.dscf.akamaiedge.net",,NOERROR,,,,,,,,
[x],05d.otoplus.com,"104.126.36.202, 104.126.36.235","2a02:26f0:3100::1735:2b0b, 2a02:26f0:3100::1735:2afb","otoplus.edgekey.net, e118669.dscf.akamaiedge.net","n0dscf.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],06u.otoplus.com,"104.126.36.202, 104.126.36.235","2a02:26f0:3100::1735:2b0b, 2a02:26f0:3100::1735:2afb","otoplus.edgekey.net, e118669.dscf.akamaiedge.net","n0dscf.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],092jy.otoplus.com,"2.20.132.135, 2.20.132.126","2a02:26f0:64::214:8487, 2a02:26f0:64::214:847e","otoplus.edgekey.net, e118669.dscf.akamaiedge.net","n0dscf.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],0hf4yetj.otoplus.com,"2.16.186.162, 2.16.186.233","2a02:26f0:6c00::210:bae9, 2a02:26f0:6c00::210:baa2","otoplus.edgekey.net, e118669.dscf.akamaiedge.net","n0dscf.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],104vlan-37.otoplus.com,"23.38.98.66, 23.38.98.73","2a02:26f0:480:1a::5f65:6f97, 2a02:26f0:480:1a::5f65:6faa","otoplus.edgekey.net, e118669.dscf.akamaiedge.net","n0dscf.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
