new,host,a,soa,txt,status_code,cname,mx,cdn,cdn-name,aaaa,ns,caa,has_internal_ips,internal_ips
[x],app-assets.razer.com,"104.16.190.67, 104.16.191.67","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,app-assets.razer.com.cdn.cloudflare.net,,True,cloudflare,"2606:4700::6810:bf43, 2606:4700::6810:be43",,,,
[x],app-console.gold.razer.com,"2.17.100.163, 2.17.100.203","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"app-console.gold.razer.com.edgekey.net, e28040.dscb.akamaiedge.net",,,,"2a02:26f0:7100::210:152, 2a02:26f0:7100::210:112",,,,
[x],app-console.zgold-dev.razer.com,"18.139.157.150, 13.228.198.233","ns-931.awsdns-52.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],appcasts-staging.razer.com,"18.155.129.124, 18.155.129.128, 18.155.129.62, 18.155.129.98","ns-444.awsdns-55.com, awsdns-hostmaster.amazon.com",,NOERROR,d3eqb4ihtnq5nm.cloudfront.net,,True,cloudfront,"2600:9000:244f:2a00:3:f94e:8880:93a1, 2600:9000:244f:ac00:3:f94e:8880:93a1, 2600:9000:244f:9800:3:f94e:8880:93a1, 2600:9000:244f:6600:3:f94e:8880:93a1, 2600:9000:244f:7000:3:f94e:8880:93a1, 2600:9000:244f:6200:3:f94e:8880:93a1, 2600:9000:244f:5800:3:f94e:8880:93a1, 2600:9000:244f:1200:3:f94e:8880:93a1","ns-1241.awsdns-27.org, ns-444.awsdns-55.com, ns-630.awsdns-14.net, ns-1760.awsdns-28.co.uk",,,
[x],apps-cortex-staging.razer.com,"54.160.1.60, 100.25.82.23, 54.204.114.145","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,razer-apps-staging-504057315.us-east-1.elb.amazonaws.com,,,,,,,,
[x],apps-releasenotes-staging.razer.com,"54.204.114.145, 54.160.1.60, 100.25.82.23","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,razer-apps-staging-504057315.us-east-1.elb.amazonaws.com,,,,,,,,
[x],apps-staging.razer.com,"23.32.238.146, 23.32.238.163","n0d.akamai.net, hostmaster.akamai.com",,NOERROR,"apps-staging.razer.com.edgesuite.net, a1933.d.akamai.net",,,,,,,,
[x],auth-globalapi.gold-sandbox.razer.com,"34.195.165.30, 34.203.118.148, 100.25.254.133, 52.73.222.58","ns-711.awsdns-24.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],auth-globalapi.gold.razer.com,"2.19.124.227, 2.19.124.219","n0cn.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"auth-globalapi.gold.razer.com.edgekey.net, e28040.dscb.akamaiedge.net, e28040.dscb.akamaiedge.net.0.1.cn.akamaiedge.net",,,,"2a02:26f0:64::214:8475, 2a02:26f0:64::214:846e",,,,
[x],autodiscover.pay.razer.com,"40.99.157.8, 52.97.189.72, 52.97.188.72, 40.99.157.56, 40.99.149.136, 40.99.157.24, 40.99.149.104, 40.99.155.232","ns1-ms-acdc.office.com, hostmaster.microsoft.com, ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,"2603:1026:c03:581a::8, 2603:1026:207:1::8, 2603:1026:c03:7075::8, 2603:1026:207:50::8",,,,
[x],blackhawk-posa.gold.razer.com,"2.16.187.153, 2.16.187.152","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"blackhawk-posa.gold.razer.com.edgekey.net, e28040.dscb.akamaiedge.net",,,,"2a02:26f0:3100::1735:2b9a, 2a02:26f0:3100::1725:e260",,,,
[x],blackhawk-posa.zgold-dev.razer.com,54.251.139.10,"ns-931.awsdns-52.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],campaigns.razer.com,"104.16.190.67, 104.16.191.67","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,campaigns.razer.com.cdn.cloudflare.net,,True,cloudflare,"2606:4700::6810:be43, 2606:4700::6810:bf43",,,,
[x],careers.razer.com,"104.16.190.67, 104.16.191.67","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,careers.razer.com.cdn.cloudflare.net,,True,cloudflare,"2606:4700::6810:bf43, 2606:4700::6810:be43",,,,
[x],ccv2-p2.phoenix.razer.com,13.92.0.46,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,,,True,azure,,,,,
[x],ccv2-s1.phoenix.razer.com,13.90.153.25,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,,,True,azure,,,,,
[x],ccv2-s2.phoenix.razer.com,40.87.86.9,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,,,True,azure,,,,,
[x],ces.razer.com,"54.177.48.143, 52.52.100.77","ns-699.awsdns-23.net, awsdns-hostmaster.amazon.com",,NOERROR,www-razerid-razercom-redirect-100492113.us-west-1.elb.amazonaws.com,,,,,,,,
[x],checkout.merchant.razer.com,"104.22.66.239, 172.67.6.33, 104.22.67.239","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,checkout.merchant.razer.com.cdn.cloudflare.net,,True,cloudflare,"2606:4700:10::ac43:621, 2606:4700:10::6816:42ef, 2606:4700:10::6816:43ef",,,,
[x],cloud.mailer.gold.razer.com,13.111.133.216,"ns1.exacttarget.com, hostmaster.exacttarget.com",,NOERROR,,,,,,,,,
[x],cms.gold-sandbox.razer.com,"54.88.239.112, 23.23.97.40","ns-711.awsdns-24.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],cms.gold.razer.com,,"n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"cms.gold.razer.com.edgekey.net, e28040.b.akamaiedge.net",,,,,,,,
