new,host,a,soa,txt,status_code,cname,mx,cdn,cdn-name,aaaa,ns,caa,has_internal_ips,internal_ips
[x],mta.mailer.gold.razer.com,13.111.129.13,"ns1.exacttarget.com, hostmaster.exacttarget.com",,NOERROR,,,,,,,,,
[x],music.razer.com,"96.45.83.143, 96.45.83.55, 96.45.82.22, 96.45.82.208","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,,
[x],mysupport-chsi.razer.com,130.35.229.11,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",,NOERROR,razer-chsi.custhelp.com,,True,oracle,,,,,
[x],mysupport-chtr.razer.com,130.35.229.11,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",,NOERROR,razer-chtr.custhelp.com,,True,oracle,,,,,
[x],mysupport-de.razer.com,130.35.229.11,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",,NOERROR,razer-de.custhelp.com,,True,oracle,,,,,
[x],mysupport-du.razer.com,130.35.229.11,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",,NOERROR,razer-du.custhelp.com,,True,oracle,,,,,
[x],mysupport-it.razer.com,130.35.229.11,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",,NOERROR,razer-it.custhelp.com,,True,oracle,,,,,
[x],mysupport-jp.razer.com,130.35.229.11,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",,NOERROR,razer-jp.custhelp.com,,True,oracle,,,,,
[x],mysupport-ko.razer.com,130.35.229.11,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",,NOERROR,razer-ko.custhelp.com,,True,oracle,,,,,
[x],mysupport-po.razer.com,130.35.229.11,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",,NOERROR,razer-po.custhelp.com,,True,oracle,,,,,
[x],mysupport-pt.razer.com,130.35.229.11,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",,NOERROR,razer-pt.custhelp.com,,True,oracle,,,,,
[x],mysupport-sp.razer.com,130.35.229.11,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",,NOERROR,razer-sp.custhelp.com,,True,oracle,,,,,
[x],mysupport.razer.com,130.35.229.11,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",,NOERROR,razer.custhelp.com,,True,oracle,,,,,
[x],new-dev.razer.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",,NOERROR,d3w4aft7820wli.cloudfront.net,,,,,,,,
[x],newprod.mobile.razer.com,"88.221.25.138, 88.221.25.113","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"newprod.mobile.razer.com.edgekey.net, e29596.dscb.akamaiedge.net",,,,"2a02:26f0:b200::58dd:198a, 2a02:26f0:b200::58dd:1971",,,,
[x],pay.gold-sandbox.razer.com,"34.203.118.148, 100.25.254.133, 52.73.222.58, 34.195.165.30","ns-711.awsdns-24.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],pay.gold.razer.com,"23.53.43.34, 23.53.43.16","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"pay.gold.razer.com.edgekey.net, e28040.dscb.akamaiedge.net",,,,"2a02:26f0:3100::1735:2b9a, 2a02:26f0:3100::1725:e260",,,,
[x],pay.zvault.razer.com,"107.22.89.128, 35.175.14.230, 3.216.165.241, 3.212.97.204","ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],paychannel-7connect.gold.razer.com,"107.22.89.128, 3.216.165.241, 35.175.14.230, 3.212.97.204","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,zgp-alb-wan-api-2094325119.us-east-1.elb.amazonaws.com,,,,,,,,
[x],paychannel-ovo.gold.razer.com,"96.16.54.138, 96.16.54.139","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"paychannel-ovo.gold.razer.com.edgekey.net, e28040.dscb.akamaiedge.net",,,,"2a02:26f0:d8::1740:c39, 2a02:26f0:d8::1740:c29",,,,
[x],paychannel-ovo.zgold-dev.razer.com,"18.141.47.126, 52.77.51.93","ns-931.awsdns-52.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],paychannel.zgold-dev.razer.com,"18.139.157.150, 13.228.198.233","ns-931.awsdns-52.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],paychannel.zgold-qa.razer.com,"18.215.216.1, 52.45.94.28, 54.159.191.114, 35.153.121.209","ns-849.awsdns-42.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],paychn.gold-sandbox.razer.com,"100.25.254.133, 34.203.118.148, 34.195.165.30, 52.73.222.58","ns-711.awsdns-24.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],paychn.gold.razer.com,"95.101.74.135, 95.101.74.133","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"paychn.gold.razer.com.edgekey.net, e28040.dscb.akamaiedge.net",,,,"2a02:26f0:c900:9::5f65:4a87, 2a02:26f0:c900:9::5f65:4a85",,,,
[x],paychn.zgold-dev.razer.com,"13.228.198.233, 18.139.157.150","ns-931.awsdns-52.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],pc.razer.com,,"ns-1690.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,"ns-166.awsdns-20.com, ns-689.awsdns-22.net, ns-1390.awsdns-45.org, ns-1690.awsdns-19.co.uk",,,
[x],phoenix.razer.com,,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,,,,,,"ns1-07.azure-dns.com, ns2-07.azure-dns.net, ns3-07.azure-dns.org, ns4-07.azure-dns.info",,,
[x],picpay-proxy.gold.razer.com,"107.22.89.128, 3.212.97.204, 35.175.14.230, 3.216.165.241","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,zgp-alb-wan-api-2094325119.us-east-1.elb.amazonaws.com,,,,,,,,
[x],picpay-proxy.zgold-dev.razer.com,"18.139.157.150, 13.228.198.233","ns-931.awsdns-52.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],picpay-proxy.zgold-qa.razer.com,"54.159.191.114, 18.215.216.1, 35.153.121.209, 52.45.94.28","ns-849.awsdns-42.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],poster.merchant.razer.com,18.138.59.61,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,,
[x],preprod.mobile.razer.com,"95.101.133.49, 95.101.133.59","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"preprod.mobile.razer.com.v3.edgekey.net, e119042.dscb.akamaiedge.net",,,,"2001:2030:0:4e::50ef:9668, 2001:2030:0:4e::50ef:9630",,,,
[x],prerc-lb.mobile.razer.com,"44.238.7.244, 35.82.73.223, 52.11.190.220","ns-170.awsdns-21.com, awsdns-hostmaster.amazon.com","heritage=kube-tools,virtual=prerc,physical=prerc-west",NOERROR,,,,,,,,,
[x],prerc.layout.razer.com,"35.82.73.223, 52.11.190.220, 44.238.7.244","ns-455.awsdns-56.com, awsdns-hostmaster.amazon.com","heritage=kube-tools,virtual=prerc,physical=prerc-west",NOERROR,prerc-lb.layout.razer.com,,,,,,,,
[x],prerc.mobile.razer.com,"52.11.190.220, 35.82.73.223, 44.238.7.244","ns-170.awsdns-21.com, awsdns-hostmaster.amazon.com","heritage=kube-tools,virtual=prerc,physical=prerc-west",NOERROR,prerc-lb.mobile.razer.com,,,,,"ns-1238.awsdns-26.org, ns-170.awsdns-21.com, ns-1922.awsdns-48.co.uk, ns-591.awsdns-09.net",,,
[x],press.razer.com,"104.16.191.67, 104.16.190.67","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,press.razer.com.cdn.cloudflare.net,,True,cloudflare,"2606:4700::6810:be43, 2606:4700::6810:bf43",,,,
[x],prod.mobile.razer.com,"184.86.103.203, 184.86.103.197","n0i.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"mobileservices.razerzone.com.edgekey.net, e29596.i.akamaiedge.net",,,,,,,,
[x],promotions.zgold-qa.razer.com,"104.16.190.67, 104.16.191.67","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,promotions.zgold-qa.razer.com.cdn.cloudflare.net,,True,cloudflare,"2606:4700::6810:be43, 2606:4700::6810:bf43",,,,
[x],provider-console-ei.zgold-qa.razer.com,61.47.41.163,"ns-849.awsdns-42.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],raffle.zvault.razer.com,"65.9.66.96, 65.9.66.66, 65.9.66.101, 65.9.66.37","ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com",,NOERROR,,,True,cloudfront,,,,,
[x],razer-alexa-dev.razer.com,"18.205.86.135, 54.92.232.91, 34.233.241.69","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,web-alb-production-1216365154.us-east-1.elb.amazonaws.com,,,,,,,,
[x],razer-alexa-staging.razer.com,"52.71.18.255, 35.173.105.71, 34.199.46.106","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,web-alb-preproduction-433695025.us-east-1.elb.amazonaws.com,,,,,,,,
[x],razer-alexa.razer.com,"52.4.90.128, 107.23.81.34, 3.215.41.106","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,alexa-927410827.us-east-1.elb.amazonaws.com,,,,,,,,
[x],razer.com,13.52.84.170,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com","MS=ms17507098, 39xmvhh3n0fhp91dmdg2kxcs7fsjyphn, 6a87272a24975891c84d06e3dc825356f2e71ed6, AHEZC2HYZtW6VgZeVyi6+smfWATalrK7d6ryudZ9rm4=, mYBrYPQzDfZ69WVEdGeVuPuH2y94VSjE0bPIDCP6kME=, amazonses:hpd7ZB+/DGuqOkToSyGZg3RW2yaliLXvw8+NjKg3490=, amazonses:jS1xAzja+UjBiAyLyG5YqqaWYu981kvuhx2b4YVulTg=, facebook-domain-verification=0q401oev1o4o66afmlwzfmmdois7nt, workplace-domain-verification=b5bdea4e-224c-4e2e-8679-77423a715cad, google-site-verification=24DUi6u56zUypLeDklqTGc466QuhNnuZZIjW_2xnqD0, google-site-verification=4x3f_dugvqOCh0QBiaaTGoK4DgvA8dwCP2mTjQ88AWw, google-site-verification=8_ACweqU0zEqijzHmhatBXZ-ZzPXyToYLJaRn2fDl88, google-site-verification=KOoW1qHtjDwfVX2dJ1MuFydBUFYZsxZ6u78pi_cioeg, google-site-verification=SSb4YXIKArm0CIdXE0o44JLPKuIQom3jAXZzD1dkKJE, google-site-verification=X5KQK-1loNSKBF9tEDH4CPcqmXyXYs2LME0jr4qBEyw, google-site-verification=YOLskVtAMKfMOuhdLFLcPyLPe6ezAna7Q8TAqn0Fv6k, google-site-verification=ZcYMM_1CculpDlgf_DphjCJoTHbKh5WFO-oJHun3SXw, google-site-verification=r_a4O_8yCi3AvdiGxF-wMFh-Y97phDAJPDwHPtqke5M, 35SenSVr2oqYoC4CpkC/s1Bp1QNUy8B8ouMCClKFxoFw6oKBCpWbGqQwAk4MufbLB5mMWtpRhDM1v1zZm48Ygg==, adobe-idp-site-verification=496d37f9d6af200dad9b9e45eb6f61418bba74337aca23ece427733bd1a3413e, atlassian-domain-verification=6lMtulNewBC0Jyahjm5tTvi0b+jKKM/pbKQmy2rSFrOpsDHaJIv3VJBL4l3Gemnu, atlassian-domain-verification=GrSU9rCbaedMZjDaGMsbtLdGoofpJXa+zvlXUmHyKfRytg+ofsqHRcMb1M2diYRi, atlassian-domain-verification=utnNg8mUS6W2iCPDU0aCKKTLo2vxzkaEecrx3ftF0pjWdjlYKBAUPNlrOu/CrF2O, v=spf1 mx ip4:121.200.253.195/26 ip4:210.48.156.44/32 ip4:18.139.153.85/32 ip4:121.200.253.213/32 ip4:64.73.243.214/32 ip4:182.23.150.192/26 ip4:182.23.150.20/30 include:spf.protection.outlook.com ip4:23.21.109.212/32 ip4:23.21.109.197/32 , ip4:147.160.167.0/26 include:_merchant.razer.com include:mail.zendesk.com include:amazonses.com include:sendgrid.net include:email.prnewswire.com include:_spf.salesforce.com -all",NOERROR,,razer-com.mail.protection.outlook.com,,,,"ns0.razerzone.com, ns1.razerzone.com, ns2.razerzone.com, ns3.razerzone.com, ns4.razerzone.com, ns5.razerzone.com",,,
[x],razercarestore.razer.com,"54.177.48.143, 52.52.100.77","ns-699.awsdns-23.net, awsdns-hostmaster.amazon.com",,NOERROR,www-razerid-razercom-redirect-100492113.us-west-1.elb.amazonaws.com,,,,,,,,
[x],razerid-dev.razer.com,"52.0.119.33, 18.210.69.204, 3.223.246.208","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,ecs-alb-1706601067.us-east-1.elb.amazonaws.com,,,,,,,,
[x],razerid-prod.razer.com,"3.223.246.208, 52.0.119.33, 18.210.69.204","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,ecs-alb-1706601067.us-east-1.elb.amazonaws.com,,,,,,,,
[x],razerid.razer.com,"23.53.43.26, 23.53.43.27","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"razerid.razer.com-v1.edgekey.net, e29596.b.akamaiedge.net",,,,,,,,
[x],rc.layout.razer.com,"92.122.95.192, 92.122.95.153","n0d.akamai.net, hostmaster.akamai.com",,NOERROR,"rc.layout.razer.com.edgesuite.net, a1161.d.akamai.net",,,,,,,,
[x],redis.zgold-dev.razer.com,172.10.0.200,"ns-931.awsdns-52.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],repo.m.razer.com,"54.149.162.31, 52.40.31.205, 35.163.194.42","ns-1308.awsdns-35.org, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=cis-west,external-dns/resource=service/ops/sonatype-nexus",NOERROR,,,,,,,,,
[x],report.merchant.razer.com,"54.255.0.121, 18.142.207.247","ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",,NOERROR,rms-1633660458.ap-southeast-1.elb.amazonaws.com,,,,,,,,
[x],reportapi-distribution.gold.razer.com,"95.101.74.133, 95.101.74.135","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"reportapi-distribution.gold.razer.com.edgekey.net, e28040.dscb.akamaiedge.net",,,,"2a02:26f0:c900:9::5f65:4a85, 2a02:26f0:c900:9::5f65:4a87",,,,
[x],reseller-api-distribution.gold.razer.com,"104.114.73.104, 104.114.73.40","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"reseller-api-distribution.gold.razer.com.edgekey.net, e28040.dscb.akamaiedge.net",,,,"2600:1408:7400::17de:4fa8, 2600:1408:7400::17de:4fa3",,,,
[x],reseller.gold.razer.com,"2.17.100.203, 2.17.100.163","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"reseller.gold.razer.com.edgekey.net, e28040.dscb.akamaiedge.net",,,,"2a02:26f0:7100::210:152, 2a02:26f0:7100::210:112",,,,
[x],reseller.zgold-dev.razer.com,52.74.80.84,"ns-931.awsdns-52.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],reseller.zgold-qa.razer.com,"52.204.208.150, 52.86.218.133, 34.230.192.74, 18.213.47.247","ns-849.awsdns-42.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],resource.razer.com,52.237.214.221,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,"mv-portal-aunsw-prod.azurewebsites.net, waws-prod-sy3-015.vip.azurewebsites.windows.net, waws-prod-sy3-015.cloudapp.net",,True,azure,,,,,
[x],reward.zgold-dev.razer.com,"13.228.198.233, 18.139.157.150","ns-931.awsdns-52.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],rmsreloads.razer.com,,"ns-600.awsdns-11.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,"ns-1476.awsdns-56.org, ns-1706.awsdns-21.co.uk, ns-185.awsdns-23.com, ns-600.awsdns-11.net",,,
[x],rw.zvault.razer.com,"107.22.89.128, 3.216.165.241, 35.175.14.230, 3.212.97.204","ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,"ns-121.awsdns-15.com, ns-1439.awsdns-51.org, ns-1782.awsdns-30.co.uk, ns-809.awsdns-37.net",,,
[x],sandbox.merchant.razer.com,"13.228.85.5, 18.140.225.253, 18.139.20.6","ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",,NOERROR,rms-oos-568134880.ap-southeast-1.elb.amazonaws.com,,,,,,,,
[x],sandbox.razer.com,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,,
[x],sbcsg.razer.com,182.23.151.163,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,,
[x],sea-api.gold-sandbox.razer.com,"52.76.16.130, 13.251.187.162, 52.221.130.131","ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",,NOERROR,dev-mpgw2s-483328798.ap-southeast-1.elb.amazonaws.com,,,,,,,,
[x],sea-s2s-molthailand.zgold-qa.razer.com,61.47.41.163,"ns-849.awsdns-42.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],sea-sdk-molthailand.zgold-qa.razer.com,61.47.41.163,"ns-849.awsdns-42.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],sea-services.gold.razer.com,"3.0.135.170, 18.136.24.196, 52.76.10.108","ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",,NOERROR,sea-services-1772776790.ap-southeast-1.elb.amazonaws.com,,,,,,,,
[x],seafrsvr.razer.com,202.42.100.131,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,,
[x],service.zgold-qa.razer.com,"52.45.94.28, 18.215.216.1, 54.159.191.114, 35.153.121.209","ns-849.awsdns-42.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],silver-sandbox.razer.com,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,,
[x],silver.razer.com,"2.17.100.203, 2.17.100.163","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"silver.razer.com.edgekey.net, e28040.dscb.akamaiedge.net",,,,"2a02:26f0:7100::210:152, 2a02:26f0:7100::210:112",,,,
[x],silver.zgold-qa.razer.com,"18.215.216.1, 52.45.94.28, 54.159.191.114, 35.153.121.209","ns-849.awsdns-42.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,"ns-1440.awsdns-52.org, ns-1567.awsdns-03.co.uk, ns-341.awsdns-42.com, ns-849.awsdns-42.net",,,
[x],silverconsole.gold.razer.com,,"n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"silverconsole.gold.razer.com.edgekey.net, e28040.dscb.akamaiedge.net",,,,"2a02:26f0:3100::1735:2b9a, 2a02:26f0:3100::1725:e260",,,,
[x],silvermerchant.gold.razer.com,"23.213.161.199, 23.213.161.204","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"silvermerchant.gold.razer.com-v1.edgekey.net, e28040.dscb.akamaiedge.net",,,,"2a02:26f0:3500:14::1724:a24a, 2a02:26f0:3500:14::1724:a255",,,,
[x],silvermerchant.zgold-qa.razer.com,"35.153.121.209, 54.159.191.114, 18.215.216.1, 52.45.94.28","ns-849.awsdns-42.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],sip.razer.com,52.112.192.11,"admin.nsatc.net, dns.level3.net",,NOERROR,sipdir.online.lync.com,,,,2603:1027:0:48::20,,,,
[x],sonar-test.phoenix.razer.com,20.96.73.80,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,ingress-t.phoenix.razer.com,,,,,,,,
[x],sp1.merchant.razer.com,"172.67.6.33, 104.22.67.239, 104.22.66.239","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,sp1.merchant.razer.com.cdn.cloudflare.net,,True,cloudflare,"2606:4700:10::ac43:621, 2606:4700:10::6816:42ef, 2606:4700:10::6816:43ef",,,,
[x],spintowin.silver.razer.com,"2.17.100.203, 2.17.100.163","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"spintowin.silver.razer.com.edgekey.net, e28040.dscb.akamaiedge.net",,,,"2a02:26f0:7100::210:152, 2a02:26f0:7100::210:112",,,,
[x],spintowin.zgold-dev.razer.com,"13.228.198.233, 18.139.157.150","ns-931.awsdns-52.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],spintowin.zgold-qa.razer.com,"18.213.47.247, 52.204.208.150, 52.86.218.133, 34.230.192.74","ns-849.awsdns-42.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],spintowin.zvault.razer.com,"99.84.108.98, 99.84.108.93, 99.84.108.5, 99.84.108.77",,,NOERROR,,,True,cloudfront,,,,,
[x],status.merchant.razer.com,"104.22.67.239, 104.22.66.239, 172.67.6.33","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,status.merchant.razer.com.cdn.cloudflare.net,,True,cloudflare,"2606:4700:10::6816:43ef, 2606:4700:10::ac43:621, 2606:4700:10::6816:42ef",,,,
[x],status.razer.com,52.215.192.132,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,n9wshs14rl0t.stspg-customer.com,,,,,,"globalsign.com;, letsencrypt.org",,
[x],storefront-p1.phoenix.razer.com,"104.16.191.67, 104.16.190.67","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,storefront-p1.phoenix.razer.com.cdn.cloudflare.net,,True,cloudflare,"2606:4700::6810:bf43, 2606:4700::6810:be43",,,,
[x],storefront-p3.phoenix.razer.com,"104.16.190.67, 104.16.191.67","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,storefront-p3.phoenix.razer.com.cdn.cloudflare.net,,True,cloudflare,"2606:4700::6810:be43, 2606:4700::6810:bf43",,,,
[x],storefront-p4.phoenix.razer.com,"104.16.190.67, 104.16.191.67","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,storefront-p4.phoenix.razer.com.cdn.cloudflare.net,,True,cloudflare,"2606:4700::6810:be43, 2606:4700::6810:bf43",,,,
[x],storefront-s1.phoenix.razer.com,"104.16.191.67, 104.16.190.67","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,storefront-s1.phoenix.razer.com.cdn.cloudflare.net,,True,cloudflare,"2606:4700::6810:be43, 2606:4700::6810:bf43",,,,
[x],storefront-s2.phoenix.razer.com,"104.16.191.67, 104.16.190.67","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,storefront-s2.phoenix.razer.com.cdn.cloudflare.net,,True,cloudflare,"2606:4700::6810:be43, 2606:4700::6810:bf43",,,,
[x],storefront-smoke.phoenix.razer.com,20.7.158.129,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,ingress.phoenix.razer.com,,,,,,,,
[x],subscribe.razer.com,"104.16.191.67, 104.16.190.67","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,subscribe.razer.com.cdn.cloudflare.net,,True,cloudflare,"2606:4700::6810:be43, 2606:4700::6810:bf43",,,,
[x],subscription.zgold-dev.razer.com,"18.139.157.150, 13.228.198.233","ns-931.awsdns-52.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],support.harmony-staging.razer.com,"104.16.191.67, 104.16.190.67","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,support.harmony-staging.razer.com.cdn.cloudflare.net,,True,cloudflare,"2606:4700::6810:bf43, 2606:4700::6810:be43",,,,
[x],test.zgold-qa.razer.com,"10.12.3.132, 10.12.10.64, 10.12.9.217, 10.12.1.108","ns-849.awsdns-42.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,True,"10.12.3.132, 10.12.10.64, 10.12.9.217, 10.12.1.108"
[x],thumbor-nonprod.phoenix.razer.com,"104.16.191.67, 104.16.190.67","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,thumbor-nonprod.phoenix.razer.com.cdn.cloudflare.net,,True,cloudflare,"2606:4700::6810:be43, 2606:4700::6810:bf43",,,,
[x],ticket.merchant.razer.com,"54.254.5.206, 18.139.10.166, 52.76.225.115","ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",,NOERROR,oos-alb-rms-internal-689062044.ap-southeast-1.elb.amazonaws.com,,,,,"ns-1125.awsdns-12.org, ns-1973.awsdns-54.co.uk, ns-210.awsdns-26.com, ns-785.awsdns-34.net",,,
[x],tiktok.merchant.razer.com,"172.67.6.33, 104.22.66.239, 104.22.67.239","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,tiktok.merchant.razer.com.cdn.cloudflare.net,,True,cloudflare,"2606:4700:10::6816:42ef, 2606:4700:10::6816:43ef, 2606:4700:10::ac43:621",,,,
[x],tipstream-api.razer.com,"18.205.86.135, 34.233.241.69, 54.92.232.91","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,web-alb-production-1216365154.us-east-1.elb.amazonaws.com,,,,,,,,
[x],tipstream-media-preprod.razer.com,"23.213.161.18, 23.213.161.15","n0dscd.akamai.net, hostmaster.akamai.com",,NOERROR,"tipstream-media-preprod.razer.com.edgesuite.net, a1971.dscd.akamai.net",,,,"2a01:4a0:1338:28::c38a:ff12, 2a01:4a0:1338:28::c38a:ff13",,,,
[x],tipstream-media-staging.razer.com,"95.101.54.242, 95.101.54.240","n0dscd.akamai.net, hostmaster.akamai.com",,NOERROR,"tipstream-media-staging.razer.com.edgesuite.net, a1939.dscd.akamai.net",,,,"2a02:26f0:480:f::213:7ec5, 2a02:26f0:480:f::213:7ec8",,,,
[x],tipstream-media.razer.com,"185.225.250.72, 185.225.250.27","n0dscd.akamai.net, hostmaster.akamai.com",,NOERROR,"tipstream-media.razer.com.edgesuite.net, a1973.dscd.akamai.net",,,,"2a02:26f0:a600::b9e1:fa1b, 2a02:26f0:a600::b9e1:fa48",,,,
[x],tipstream.razer.com,"104.16.190.67, 104.16.191.67","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,tipstream.razer.com.cdn.cloudflare.net,,True,cloudflare,,,,,
[x],tmx.razer.com,"104.16.190.67, 104.16.191.67","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,tmx.razer.com.cdn.cloudflare.net,,True,cloudflare,"2606:4700::6810:bf43, 2606:4700::6810:be43",,,,
[x],topupapi.gold.razer.com,"23.222.79.163, 23.222.79.168","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"topupapi.gold.razer.com.edgekey.net, e28040.dscb.akamaiedge.net",,,,"2600:1408:7400::17de:4fa3, 2600:1408:7400::17de:4fa8",,,,
[x],topupapi.zgold-qa.razer.com,"35.153.121.209, 52.45.94.28, 54.159.191.114, 18.215.216.1","ns-849.awsdns-42.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],topupbills.merchant.razer.com,"172.67.6.33, 104.22.67.239, 104.22.66.239","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,topupbills.merchant.razer.com.cdn.cloudflare.net,,True,cloudflare,"2606:4700:10::ac43:621, 2606:4700:10::6816:43ef, 2606:4700:10::6816:42ef",,,,
[x],training.razer.com,"104.16.190.67, 104.16.191.67","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,training.razer.com.cdn.cloudflare.net,,True,cloudflare,"2606:4700::6810:bf43, 2606:4700::6810:be43",,,,
