new,host,soa,status_code,a,txt,cdn,cdn-name,cname,aaaa,ns,caa,mx
[x],_spf.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,v=spf1 ip4:83.125.115.150 ip4:212.1.60.26 ip4:213.95.13.133 ip4:213.95.13.132 ip4:213.198.99.210 ip4:213.198.99.211 ip4:81.25.202.82 -all,,,,,,,
[x],admin-service.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,35.195.148.34,,True,google,,,,,
[x],agenteimmobiliare.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,35.186.199.237,,True,google,,,,,
[x],alertmanager.ev-cloud-platform.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,34.95.111.165,,True,google,,,,,
[x],alt.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,35.190.46.123,,True,google,,,,,
[x],analytics-service-bq.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,35.186.199.237,,True,google,,,,,
[x],analytics-service.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,35.187.191.253,,True,google,,,,,
[x],analytics.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,34.117.46.165,,True,google,,,,,
[x],artifactory01.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,34.95.111.165,,True,google,,,,,
[x],authenticate.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,34.77.58.235,,True,google,gcpwpfac01.engelvoelkers.com,,,,
[x],belgium.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,35.190.46.123,,True,google,,,,,
[x],brandportal.engelvoelkers.com,"ns-340.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,"13.225.78.80, 13.225.78.112, 13.225.78.125, 13.225.78.51",,True,cloudfront,"brandportal_engelvoelkers_com.prod.brandmaster.cloud, d22gu9qxv929n1.cloudfront.net",,"ns-1343.awsdns-39.org, ns-1797.awsdns-32.co.uk, ns-340.awsdns-42.com, ns-667.awsdns-19.net",,
[x],c.engelvoelkers.com,,NOERROR,35.190.80.149,,True,google,,,,,
[x],competencies.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,188.94.249.29,,,,,,,,
[x],competenciesbackend.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,188.94.249.29,,,,,,,,
[x],consent.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,35.186.199.237,,True,google,,,,,
[x],content-tools-solr.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,35.186.199.237,,True,google,,,,,
[x],content-tools.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,35.186.199.237,,True,google,,,,,
[x],delivery-dev.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,130.211.18.191,,True,google,,,,,
[x],delivery-stage.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,35.190.43.115,,True,google,,,,,
[x],delivery.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,35.186.199.237,,True,google,,,,,
[x],dev.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,"alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, alt1.aspmx.l.google.com"
[x],digital-stage.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,
[x],digital.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,
[x],drive.engelvoelkers.com,"ns1.google.com, dns-admin.google.com",NOERROR,64.233.165.121,,,,ghs.googlehosted.com,2a00:1450:4010:c0b::79,,,
[x],edeals.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,35.186.199.237,,True,google,,,,,
[x],em.engelvoelkers.com,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,v=spf1 ip4:167.89.89.191 -all,,,u2687756.wl007.sendgrid.net,,,,mx.sendgrid.net
[x],email.leadhub.engelvoelkers.com,"ns-508.awsdns-63.com, awsdns-hostmaster.amazon.com",NOERROR,34.111.99.212,v=spf1 include:_spf.eu.mailgun.org ~all,True,google,eu.mailgun.org,,"ns-1452.awsdns-53.org, ns-2026.awsdns-61.co.uk, ns-508.awsdns-63.com, ns-619.awsdns-13.net","digicert.com, letsencrypt.org, ;","mxa.eu.mailgun.org, mxb.eu.mailgun.org"
[x],email.t-box.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,34.149.222.154,,True,google,,,,,
[x],emprego.engelvoelkers.com,"dee.ns.cloudflare.com, dns.cloudflare.com",NOERROR,52.50.25.15,,,,ats.bizneo.com,,,,
[x],engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,35.190.46.123,"v=spf1 include:_spf.google.com include:_spf.salesforce.com include:sendgrid.net include:_spf.engelvoelkers.com include:spf.mailjet.com -all, atlassian-domain-verification=3oJ/PIKLUY7eMgd3E44NjgmV3CoacQz+br0S8OLSZ69qbEPAIfnoc0mbxYmxo1y7, google-site-verification=dJIUDP0-6xTa4NqTBJBpWjjuhqKsRx3UYNxe7snLPd4, apple-domain-verification=G1B0PzmOLGCvr9VS, google-site-verification=Mb9nir4fZxrKyiJWyv3CFUN35cuBa58M_LUg0Cq8z6M, ZOOM_verify_0nIVGIg9SGmP9ME-v7nUwA, google-site-verification=5goPOOTpxRKsVMf4ul3d1p3Zkjc3cb45yCGT3FMoRXs, facebook-domain-verification=098lmy5pgwdlm5asrip4tipredgjpz, google-site-verification=tMFjk1T3YQFq3CWi5vdodw39Ubc0Nlukf4cF7DmvNi4, MS=2351AD78C13A31E9EC0EFF61EB3195E210DB25F1, MS=ms59857307, h1-domain-verification=wUp3kFzRwSxkv8mR16AsXTKEEA1NNWQUSJDzszq9aKFd4wt5",True,google,,,"ns-cloud-b4.googledomains.com, ns-cloud-b2.googledomains.com, ns-cloud-b3.googledomains.com, ns-cloud-b1.googledomains.com",,"alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, aspmx3.googlemail.com, aspmx2.googlemail.com"
[x],erlangen.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,35.190.46.123,,True,google,,,,,
[x],es.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,35.190.46.123,,True,google,,,,,
[x],ev-udi.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,35.186.199.237,,True,google,,,,,
[x],evaluation-tool.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,34.95.111.165,,True,google,,,,,
[x],events.engelvoelkers.com,"ns1.eurodns.com, hostmaster.eurodns.com",NOERROR,34.65.78.110,,True,google,evenito.site,,"ns1.eurodns.com, ns2.eurodns.com, ns3.eurodns.com, ns4.eurodns.com","sectigo.com, pki.goog",
[x],export-data-provider.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,34.110.224.143,,True,google,,,,,
[x],export-property-status.engelvoelkers.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,34.111.239.188,,True,google,,,,,
