input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,final_url,csp_domains_,tls_expired
account.buffer.com,Buffer - Account,200,5900,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,account.buffer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-23T23:59:59Z,"CN=buffer.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",buffer.com,"Cloudflare, Inc.",buffer.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",67ccffe4dabc37f6ef78ae2bd04fe7fa,6f7085703a670feb69d6bcf891ae24d78c48ef89641e662bd104487feb155f9f,True,ctls,account.buffer.com,cloudflare,443,https://account.buffer.com:443,https,cloudflare,text/html,GET,104.16.140.52,/,1815828194,2606:4700::6810:8c34,HTTP/3,81,False,True,,,,
account.dev.buffer.com,Buffer - Account,200,5515,AS14618,AMAZON-AES,US,52.200.0.0/13,account.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-07-01T23:59:59Z,CN=*.buffer.com,*.buffer.com,,*.analyze.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f2c431c62fe0699b8a9827c39810c779,8ca18e07f9f1098b2b6b10a139f961af1e95022a2e0818d9c50abdf38ce7706a,True,ctls,account.dev.buffer.com,,443,https://account.dev.buffer.com:443,https,nginx/1.23.4,text/html,GET,52.203.119.74,/,1088172174,18.205.229.110,Nginx:1.23.4,80,False,,True,,,
admin.buffer.com,Buffer - Log In,200,21349,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,login.buffer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-23T23:59:59Z,"CN=buffer.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",buffer.com,"Cloudflare, Inc.",buffer.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",67ccffe4dabc37f6ef78ae2bd04fe7fa,6f7085703a670feb69d6bcf891ae24d78c48ef89641e662bd104487feb155f9f,True,ctls,login.buffer.com,cloudflare,443,https://admin.buffer.com:443,https,cloudflare,text/html,GET,104.16.141.52,/,-229842543,2606:4700::6810:8c34,HTTP/3,250,False,True,,https://login.buffer.com/login?redirect=https%3A%2F%2Fadmin.buffer.com%2F,,
amplify-engage.buffer.com,Buffer Engage,200,4014,AS16509,AMAZON-02,US,143.204.232.0/24,amplify-engage.buffer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-01-11T23:59:59Z,CN=*.amplify-engage.buffer.com,*.amplify-engage.buffer.com,,amplify-engage.buffer.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,b3526602646fb553dc565e5f4bda1a95,ea1da50d835800c7e6775047fbd4f5f054b932e5ef6383f3167309d338f9cb50,True,ctls,amplify-engage.buffer.com,cloudfront,443,https://amplify-engage.buffer.com:443,https,AmazonS3,text/html,GET,143.204.231.76,/,1092658248,2600:9000:225b:4c00:1b:914a:8340:93a1,Amazon Web Services,38,False,True,,,,
analyze-api.buffer.com,,200,4,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,analyze-api.buffer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-23T23:59:59Z,"CN=buffer.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",buffer.com,"Cloudflare, Inc.",buffer.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",67ccffe4dabc37f6ef78ae2bd04fe7fa,6f7085703a670feb69d6bcf891ae24d78c48ef89641e662bd104487feb155f9f,True,ctls,analyze-api.buffer.com,cloudflare,443,https://analyze-api.buffer.com:443,https,cloudflare,text/html,GET,104.16.141.52,/,-1435157876,2606:4700::6810:8c34,PHP:8.2.0,1,False,True,,,,
blog.buffer.com,Buffer Blog - Thoughts on Social Media & Online Marketing,200,101685,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,buffer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-23T23:59:59Z,"CN=buffer.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",buffer.com,"Cloudflare, Inc.",buffer.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",67ccffe4dabc37f6ef78ae2bd04fe7fa,6f7085703a670feb69d6bcf891ae24d78c48ef89641e662bd104487feb155f9f,True,ctls,buffer.com,cloudflare,443,https://blog.buffer.com:443,https,cloudflare,text/html,GET,104.16.141.52,/,-1811661550,2606:4700::6810:8c34,Varnish,883,False,True,,https://buffer.com/resources/,,
branches.dev.buffer.com,404 Not Found,404,548,AS14618,AMAZON-AES,US,44.213.52.0/23,branches.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,branches.dev.buffer.com,,443,https://branches.dev.buffer.com:443,https,,text/html,GET,44.208.178.86,/,566218143,54.196.169.28,,14,False,,True,,,
buffer.com,Buffer: All-you-need social media toolkit for small businesses,200,205042,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,buffer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-23T23:59:59Z,"CN=buffer.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",buffer.com,"Cloudflare, Inc.",buffer.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",67ccffe4dabc37f6ef78ae2bd04fe7fa,6f7085703a670feb69d6bcf891ae24d78c48ef89641e662bd104487feb155f9f,True,ctls,buffer.com,cloudflare,443,https://buffer.com:443,https,cloudflare,text/html,GET,104.16.140.52,/,-839307715,2606:4700::6810:8d34,webpack,356,False,True,,,,
button.buffer.com,Buffer Button,200,12092,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,button.buffer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-23T23:59:59Z,"CN=buffer.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",buffer.com,"Cloudflare, Inc.",buffer.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",67ccffe4dabc37f6ef78ae2bd04fe7fa,6f7085703a670feb69d6bcf891ae24d78c48ef89641e662bd104487feb155f9f,True,ctls,button.buffer.com,cloudflare,443,https://button.buffer.com:443,https,cloudflare,text/html,GET,104.16.141.52,/,1674389753,2606:4700::6810:8c34,HTTP/3,21,False,True,,,,
data.publish.buffer.com,pendo.io,200,3122,AS15169,GOOGLE,US,172.217.0.0/19,data.publish.buffer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-03T04:57:41Z,2023-08-01T05:45:51Z,CN=data.publish.buffer.com,data.publish.buffer.com,,data.publish.buffer.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,d33eb9062310972e7f476e6dc9942990,42e91ad8c935d99dc171c85cca6a8cf6ec10bcbf162a348465a15118d5a7bd0a,,ctls,data.publish.buffer.com,,443,https://data.publish.buffer.com:443,https,Google Frontend,text/html,GET,172.217.16.211,/,406012577,2a00:1450:4001:806::2013,Google Cloud Trace,1,False,,,,,
