new,host,status_code,soa,txt,a,ns,aaaa,cdn,cdn-name,mx,cname,caa,has_internal_ips,internal_ips
,au-syd.functions.cloud.ibm.com,NOERROR,"brenda.ns.cloudflare.com, dns.cloudflare.com",,172.65.195.175,,2606:4700:90:0:ee32:6a18:5007:35a1,True,cloudflare,,1c0621f65283438b9b96800fa75edb52.pacloudflare.com,,,
,au-syd.git.cloud.ibm.com,NOERROR,"ns105.name.cloud.ibm.com, dns.cloudflare.com",,172.65.235.143,"ns105.name.cloud.ibm.com, ns178.name.cloud.ibm.com",2606:4700:90:0:8770:c551:f517:6087,True,cloudflare,,,,,
,au-syd.global-search-tagging.cloud.ibm.com,NOERROR,"ns025.name.cloud.ibm.com, dns.cloudflare.com",,,"ns025.name.cloud.ibm.com, ns120.name.cloud.ibm.com",,,,,,,,
,au-syd.hs-crypto.cloud.ibm.com,NOERROR,"ns043.name.cloud.ibm.com, dns.cloudflare.com",,,"ns043.name.cloud.ibm.com, ns144.name.cloud.ibm.com",,,,,,,,
,au-syd.hyperwarp.cloud.ibm.com,NOERROR,"n0x.akamaiedge.net, hostmaster.akamai.com",,104.64.34.117,,,,,,"bss.bluemix.net.edgekey.net, e16680.x.akamaiedge.net",,,
,au-syd.ibm-blockchain-5-prod.cloud.ibm.com,NOERROR,"ns001.name.cloud.ibm.com, dns.cloudflare.com",,,,,,,,,,,
,au-syd.kms.cloud.ibm.com,NOERROR,"brenda.ns.cloudflare.com, dns.cloudflare.com",mlj3wl0zl7hy59lf2qthrq5r1w445yn5,,,2606:4700:90:0:a898:9cbe:ddec:c4c4,True,cloudflare,,263c2e6d414d460ea1c693ad1477dd48.pacloudflare.com,,,
,au-syd.knowledge-studio.watson.cloud.ibm.com,NOERROR,"n0b.akamaiedge.net, hostmaster.akamai.com",,"92.123.189.16, 92.123.189.98",,,,,,"au-syd.knowledge-studio.watson.cloud.ibm.com.edgekey.net, e35143.b.akamaiedge.net",,,
,au-syd.language-translator.watson.cloud.ibm.com,NOERROR,"n0b.akamaiedge.net, hostmaster.akamai.com",,"96.6.127.11, 96.6.127.56",,,,,,"au-syd.language-translator.watson.cloud.ibm.com.edgekey.net, e39583.b.akamaiedge.net",,,
,au-syd.monitoring.cloud.ibm.com,NOERROR,"internal.akadns.net, hostmaster.akamai.com",,"168.1.213.78, 130.198.80.155, 135.90.73.100",,,,,,"app.prod-au-syd.au-syd.containers.appdomain.cloud, prod-au-syd.au-syd.containers.appdomain.cloud, prod-au-syd.73c39a8b0f65401694fc5c330e3f7a46.akadns.net",,,
,au-syd.mq.cloud.ibm.com,NOERROR,"ns017.name.cloud.ibm.com, dns.cloudflare.com",,"104.22.45.157, 172.67.31.9, 104.22.44.157",,"2606:4700:10::6816:2d9d, 2606:4700:10::ac43:1f09, 2606:4700:10::6816:2c9d",True,cloudflare,,,,,
,au-syd.natural-language-understanding.watson.cloud.ibm.com,NOERROR,"n0b.akamaiedge.net, hostmaster.akamai.com",,"2.16.187.35, 2.16.187.106",,,,,,"au-syd.natural-language-understanding.watson.cloud.ibm.com.edgekey.net, e35516.b.akamaiedge.net",,,
,au-syd.pmkts.cloud.ibm.com,NOERROR,,,,,,,,,,,,
,au-syd.resource-controller.cloud.ibm.com,NOERROR,"n0x.akamaiedge.net, hostmaster.akamai.com",,23.212.222.47,,,,,,"bss.bluemix.net.edgekey.net, e16680.x.akamaiedge.net",,,
,au-syd.rmc.cloud.ibm.com,NOERROR,,,,,,,,,,,,
,au-syd.secrets-manager.cloud.ibm.com,NOERROR,"ns036.name.cloud.ibm.com, dns.cloudflare.com",,"104.18.11.148, 104.18.10.148","ns067.name.cloud.ibm.com, ns036.name.cloud.ibm.com","2606:4700::6812:b94, 2606:4700::6812:a94",True,cloudflare,,,,,
,au-syd.speech-to-text.watson.cloud.ibm.com,NOERROR,"n0b.akamaiedge.net, hostmaster.akamai.com",,"2.16.187.26, 2.16.187.33",,,,,,"au-syd.speech-to-text.watson.cloud.ibm.com.edgekey.net, e38668.b.akamaiedge.net",,,
,au-syd.streaming-analytics.cloud.ibm.com,NOERROR,,,54.144.128.85,,,,,,,,,
