input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,final_url,a_,tech_,lines,failed,favicon,tls_wildcard_certificate,cdn_name,cdn,tls_mismatched,csp_domains_
jihg.a2m.bluejeans.com,Video Conferencing | Online Meetings Platform | BlueJeans,200,81045,www.bluejeans.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-21T00:00:00Z,2023-10-24T23:59:59Z,"CN=www.bluejeans.com, O=Blue Jeans Network\, Inc., L=Mountain View, ST=California, C=US",www.bluejeans.com,"Blue Jeans Network, Inc.",www-dev.bluejeans.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,d1f8070400042dc17ceee77cf0593e45,7833eeabe8e0c2987e9cbb1b91e54abbc0276e1bb0d91ab6f2a9072a7e77f344,ctls,www.bluejeans.com,443,https://jihg.a2m.bluejeans.com:443,https,nginx,text/html,GET,35.80.24.196,/,https://www.bluejeans.com/,35.80.24.196,Varnish,1845,False,-1150303391,,,,,
jira.corp.bluejeans.com,"Blue Jeans Network, Inc. - Prod - Sign In",200,21800,bluejeans.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,"Okta, Inc.",okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,ctls,bluejeans.okta.com,443,https://jira.corp.bluejeans.com:443,https,nginx,text/html,GET,54.71.161.107,/,https://bluejeans.okta.com/app/bluejeans_jiraoag_2/exk1mzfa7c40eVew41d8/sso/saml?SAMLRequest=fVLLbtswEPwVgXeJ1DMOYRtwawQx4KaG7bhALwZFrWImIqlwqTbp11eS0zo9NCcCw52Znd2dotBNyxedP5ktPHeAPnjRjUE%2BfsxI5wy3AhVyIzQg95LvFl%2FWPIkYb531VtqGvKN8zBCI4LyyhgSr5Ywcy%2BKquJ4kecVKqNOiFDXLsgLYdSGLuipZHsu8ZqmoMxIcwGHPnJFeqKcjdrAy6IXxPcSSNGR5GCf7hHGW8rz4ToJln0YZ4UfWyfsWOaVl08EjCIORffIiklZT0bYX%2BPionLDi4ZhQeHmK9a9aXMmMwQF%2BZnE1oYiWDkFJcGOdhHFyM%2BJdByRY%2FIn32RrsNLgduB9Kwv12fWlg0O9tXRtdWhm6eF3f2UmzfdZU26prIGpP7ehE8fwmoZA4ogf2TVRpubYk2Lzt4JMylTIPH4%2B%2FPBchv93vN%2BHm625P5tNBmo%2FjdPO%2FwlP6Hp6er%2BSuF1wtN7ZR8nVIr4X%2Fv18cxSOiqrAeS3lnsAWpagUVofOzw7%2BnN%2F8N&RelayState=https%3A%2F%2Fjira.corp.bluejeans.com,54.71.161.107,Nginx,501,False,,True,,,,*.authenticatorlocalprod.com:65151
jl.a2m.bluejeans.com,Video Conferencing | Online Meetings Platform | BlueJeans,200,81045,www.bluejeans.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-21T00:00:00Z,2023-10-24T23:59:59Z,"CN=www.bluejeans.com, O=Blue Jeans Network\, Inc., L=Mountain View, ST=California, C=US",www.bluejeans.com,"Blue Jeans Network, Inc.",www-dev.bluejeans.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,d1f8070400042dc17ceee77cf0593e45,7833eeabe8e0c2987e9cbb1b91e54abbc0276e1bb0d91ab6f2a9072a7e77f344,ctls,www.bluejeans.com,443,https://jl.a2m.bluejeans.com:443,https,nginx,text/html,GET,35.80.24.196,/,https://www.bluejeans.com/,35.80.24.196,Varnish,1845,False,-1150303391,,,,,
jlab.bluejeans.com,Blue Jeans Network | Video Collaboration in the Cloud,200,4127,jlab.bluejeans.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-15T00:00:00Z,2023-09-15T23:59:59Z,"CN=*.bluejeans.com, O=Blue Jeans Network\, Inc., L=Mountain View, ST=California, C=US",*.bluejeans.com,"Blue Jeans Network, Inc.",bluejeans.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,1739f9f828d64c21136e0507dccbb4fa,7e588a3b36b9e0a4a306fd8c6f93afb0a8d494cc3225088406360bdc0f7e399f,ctls,jlab.bluejeans.com,443,https://jlab.bluejeans.com:443,https,BlueJeans Proxy,text/html,GET,35.80.24.196,/,,35.80.24.196,Python,145,False,-1150303391,True,,,,
jocogov.bluejeans.com,Blue Jeans Network | Video Collaboration in the Cloud,200,2767,jocogov.bluejeans.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-15T00:00:00Z,2023-09-15T23:59:59Z,"CN=*.bluejeans.com, O=Blue Jeans Network\, Inc., L=Mountain View, ST=California, C=US",*.bluejeans.com,"Blue Jeans Network, Inc.",bluejeans.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,1739f9f828d64c21136e0507dccbb4fa,7e588a3b36b9e0a4a306fd8c6f93afb0a8d494cc3225088406360bdc0f7e399f,ctls,jocogov.bluejeans.com,443,https://jocogov.bluejeans.com:443,https,BlueJeans Proxy,text/html,GET,35.80.24.196,/,,35.80.24.196,Python,47,False,-1150303391,True,,,,
jointbasecharleston-141-236-140-14.bluejeans.com,Video Conferencing | Online Meetings Platform | BlueJeans,200,81045,www.bluejeans.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-21T00:00:00Z,2023-10-24T23:59:59Z,"CN=www.bluejeans.com, O=Blue Jeans Network\, Inc., L=Mountain View, ST=California, C=US",www.bluejeans.com,"Blue Jeans Network, Inc.",www-dev.bluejeans.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,d1f8070400042dc17ceee77cf0593e45,7833eeabe8e0c2987e9cbb1b91e54abbc0276e1bb0d91ab6f2a9072a7e77f344,ctls,www.bluejeans.com,443,https://jointbasecharleston-141-236-140-14.bluejeans.com:443,https,nginx,text/html,GET,35.80.24.196,/,https://www.bluejeans.com/,35.80.24.196,Varnish,1845,False,-1150303391,,,,,
jpmc.bluejeans.com,Video Conferencing | Online Meetings Platform | BlueJeans,200,81045,www.bluejeans.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-21T00:00:00Z,2023-10-24T23:59:59Z,"CN=www.bluejeans.com, O=Blue Jeans Network\, Inc., L=Mountain View, ST=California, C=US",www.bluejeans.com,"Blue Jeans Network, Inc.",www-dev.bluejeans.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,d1f8070400042dc17ceee77cf0593e45,7833eeabe8e0c2987e9cbb1b91e54abbc0276e1bb0d91ab6f2a9072a7e77f344,ctls,www.bluejeans.com,443,https://jpmc.bluejeans.com:443,https,nginx,text/html,GET,35.80.24.196,/,https://www.bluejeans.com/,35.80.24.196,Varnish,1845,False,-1150303391,,,,,
jww-0.a2m.bluejeans.com,Video Conferencing | Online Meetings Platform | BlueJeans,200,81045,www.bluejeans.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-21T00:00:00Z,2023-10-24T23:59:59Z,"CN=www.bluejeans.com, O=Blue Jeans Network\, Inc., L=Mountain View, ST=California, C=US",www.bluejeans.com,"Blue Jeans Network, Inc.",www-dev.bluejeans.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,d1f8070400042dc17ceee77cf0593e45,7833eeabe8e0c2987e9cbb1b91e54abbc0276e1bb0d91ab6f2a9072a7e77f344,ctls,www.bluejeans.com,443,https://jww-0.a2m.bluejeans.com:443,https,nginx,text/html,GET,35.80.24.196,/,https://www.bluejeans.com/,35.80.24.196,Varnish,1845,False,-1150303391,,,,,
jww-1.a2m.bluejeans.com,Video Conferencing | Online Meetings Platform | BlueJeans,200,81045,www.bluejeans.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-21T00:00:00Z,2023-10-24T23:59:59Z,"CN=www.bluejeans.com, O=Blue Jeans Network\, Inc., L=Mountain View, ST=California, C=US",www.bluejeans.com,"Blue Jeans Network, Inc.",www-dev.bluejeans.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,d1f8070400042dc17ceee77cf0593e45,7833eeabe8e0c2987e9cbb1b91e54abbc0276e1bb0d91ab6f2a9072a7e77f344,ctls,www.bluejeans.com,443,https://jww-1.a2m.bluejeans.com:443,https,nginx,text/html,GET,35.80.24.196,/,https://www.bluejeans.com/,35.80.24.196,Varnish,1845,False,-1150303391,,,,,
jww-4.a2m.bluejeans.com,Video Conferencing | Online Meetings Platform | BlueJeans,200,81045,www.bluejeans.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-21T00:00:00Z,2023-10-24T23:59:59Z,"CN=www.bluejeans.com, O=Blue Jeans Network\, Inc., L=Mountain View, ST=California, C=US",www.bluejeans.com,"Blue Jeans Network, Inc.",www-dev.bluejeans.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,d1f8070400042dc17ceee77cf0593e45,7833eeabe8e0c2987e9cbb1b91e54abbc0276e1bb0d91ab6f2a9072a7e77f344,ctls,www.bluejeans.com,443,https://jww-4.a2m.bluejeans.com:443,https,nginx,text/html,GET,35.80.24.196,/,https://www.bluejeans.com/,35.80.24.196,Varnish,1845,False,-1150303391,,,,,
jww7.a2m.bluejeans.com,Video Conferencing | Online Meetings Platform | BlueJeans,200,81045,www.bluejeans.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-21T00:00:00Z,2023-10-24T23:59:59Z,"CN=www.bluejeans.com, O=Blue Jeans Network\, Inc., L=Mountain View, ST=California, C=US",www.bluejeans.com,"Blue Jeans Network, Inc.",www-dev.bluejeans.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,d1f8070400042dc17ceee77cf0593e45,7833eeabe8e0c2987e9cbb1b91e54abbc0276e1bb0d91ab6f2a9072a7e77f344,ctls,www.bluejeans.com,443,https://jww7.a2m.bluejeans.com:443,https,nginx,text/html,GET,35.80.24.196,/,https://www.bluejeans.com/,35.80.24.196,Varnish,1845,False,-1150303391,,,,,
