input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url
calendar.boozt.com,Sign in - Google Accounts,200,1402,AS15169,GOOGLE,US,216.58.192.0/19,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,,ctls,www.google.com,,80,http://calendar.boozt.com:80,http,GSE,text/html,GET,216.58.212.147,/,-1661552761,2a00:1450:4001:82b::2013,OpenGSE,32,False,,url=https://www.google.com/accounts/AccountChooser?hd=boozt.com&continue=https%3A%2F%2Fcalendar.google.com%2Fcalendar%2F&followup=https%3A%2F%2Fcalendar.google.com%2Fcalendar%2F&osid=1&service=cl,https://www.google.com/a/boozt.com/ServiceLogin?service=cl&continue=https://calendar.google.com/calendar/&followup=https://calendar.google.com/calendar/&osid=1&passive=1209600
click.email.boozt.com,403 - Forbidden: Access is denied.,403,1233,AS22606,EXACT-7,US,13.111.0.0/16,click.email.boozt.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-17T00:00:00Z,2024-01-17T23:59:59Z,"CN=click.email.boozt.com, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",click.email.boozt.com,"SALESFORCE.COM, INC.",click.email.boozt.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8283320f24776215ba75ea6d4f913538,dc5c26debb97fd7a34463666d2df356a39faa8e587bf66e1131021bba6b0f53b,,ctls,click.email.boozt.com,,443,https://click.email.boozt.com:443,https,,text/html,GET,13.111.45.146,/,1631801191,13.111.45.146,HSTS,30,False,,,
click.email.booztlet.com,403 - Forbidden: Access is denied.,403,1233,AS22606,EXACT-7,US,13.111.0.0/16,click.email.booztlet.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-17T00:00:00Z,2024-01-17T23:59:59Z,"CN=click.email.booztlet.com, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",click.email.booztlet.com,"SALESFORCE.COM, INC.",click.email.booztlet.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,330087b97f6b8500fde670f5ad6d22c1,c905f5f05ae23f12469fbf64683b62719237a8eca29c44d3059696c88e699ce1,,ctls,click.email.booztlet.com,,443,https://click.email.booztlet.com:443,https,,text/html,GET,13.111.45.147,/,1631801191,13.111.45.147,HSTS,30,False,,,
drive.boozt.com,Sign in - Google Accounts,200,1449,AS15169,GOOGLE,US,142.250.0.0/15,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,,ctls,www.google.com,,80,http://drive.boozt.com:80,http,GSE,text/html,GET,142.250.184.211,/,-1801776304,2a00:1450:4001:82b::2013,OpenGSE,32,False,,url=https://www.google.com/accounts/AccountChooser?hd=boozt.com&continue=https%3A%2F%2Fdrive.google.com%2Fa%2Fboozt.com%2F&followup=https%3A%2F%2Fdrive.google.com%2Fa%2Fboozt.com%2F&osid=1&service=wise&faa=1,https://www.google.com/a/boozt.com/ServiceLogin?service=wise&passive=1209600&osid=1&continue=https://drive.google.com/a/boozt.com/&followup=https://drive.google.com/a/boozt.com/&faa=1
fpt.boozt.com,403 Forbidden,403,295,AS15169,GOOGLE,US,35.227.192.0/18,fpt.boozt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T16:56:08Z,2023-07-12T17:51:02Z,CN=fpt.boozt.com,fpt.boozt.com,,fpt.boozt.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,d0dad11bdafe8063997d6e2cd963478e,688dbb7840f1a968a6fc277dd4a132e44e15927695cd8c966f6d546aa34b5b04,,ctls,fpt.boozt.com,google,443,https://fpt.boozt.com:443,https,Google Frontend,text/html,GET,35.227.225.212,/,298740160,2600:1901:0:576::,HTTP/3,11,False,True,,
image.email.booztlet.com,Access Denied,403,277,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,image.email.booztlet.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=akamai-san18.exacttarget.com, O=Salesforce.com\, Inc., L=San Francisco, ST=California, C=US",akamai-san18.exacttarget.com,"Salesforce.com, Inc.",image.sfmc.chanbrothers.com.sg,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e72b5a0bb226c3581523d31fa2334b0c,5e091a3a04132ac971df568c522368bff9a263e3f8f5e67132ba3ff235f85775,,ctls,image.email.booztlet.com,,443,https://image.email.booztlet.com:443,https,AkamaiGHost,text/html,GET,23.212.220.248,/,-1049532008,23.212.220.248,,10,False,,,
mail.boozt.com,Sign in - Google Accounts,200,1290,AS15169,GOOGLE,US,142.250.0.0/15,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,,ctls,www.google.com,,80,http://mail.boozt.com:80,http,GSE,text/html,GET,142.250.185.211,/,,2a00:1450:4001:812::2013,OpenGSE,32,False,,url=https://www.google.com/accounts/AccountChooser?hd=boozt.com&continue=https%3A%2F%2Fmail.google.com%2Fmail%2F&osid=1&service=mail&ss=1&ltmpl=googlemail,https://www.google.com/a/boozt.com/ServiceLogin?service=mail&passive=true&rm=false&continue=https://mail.google.com/mail/&ss=1&ltmpl=googlemail&emr=1&osid=1
nw.booztlet.com,,200,14,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,nw.booztlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-28T00:00:00Z,2024-04-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",booztlet.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2f5fc5ea6c077bf50f3d92b4b7b50577,1d19be04f396f5202a2ecd3acaf6bec848cf0346efbbd9a663138940d4512931,True,ctls,nw.booztlet.com,cloudflare,443,https://nw.booztlet.com:443,https,cloudflare,text/html,GET,104.18.177.197,/,2028370544,2606:4700::6812:b5c5,HTTP/3,1,False,True,,
nw2.booztlet.com,,200,14,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,nw2.booztlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-28T00:00:00Z,2024-04-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",booztlet.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2f5fc5ea6c077bf50f3d92b4b7b50577,1d19be04f396f5202a2ecd3acaf6bec848cf0346efbbd9a663138940d4512931,True,ctls,nw2.booztlet.com,cloudflare,443,https://nw2.booztlet.com:443,https,cloudflare,text/html,GET,104.18.181.197,/,2028370544,2606:4700::6812:b5c5,HTTP/3,1,False,True,,
pages.email.booztlet.com,403 - Forbidden: Access is denied.,403,1233,AS22606,EXACT-7,US,136.147.128.0/20,,,,,,,,,,,,,,,,,,,,,80,http://pages.email.booztlet.com:80,http,,text/html,GET,136.147.129.25,/,-207424980,136.147.129.25,,30,False,,,
