new,host,a,mx,soa,ns,txt,status_code,cname,aaaa,cdn,cdn-name,has_internal_ips,internal_ips
[x],analytics.boozt.com,"50.17.201.241, 3.214.53.254, 34.199.50.80, 3.208.70.8, 44.193.127.48, 107.22.45.86, 205.251.195.97, 205.251.197.237",,"ns-1517.awsdns-61.org, awsdns-hostmaster.amazon.com","ns-865.awsdns-44.net, ns-80.awsdns-10.com, ns-1909.awsdns-46.co.uk, ns-1517.awsdns-61.org",v=spf1 -all,NOERROR,everestengagement.com,,,,,
[x],analytics.booztlet.com,"44.193.127.48, 107.22.45.86, 3.208.70.8, 3.214.53.254, 34.199.50.80, 50.17.201.241",,"ns-1517.awsdns-61.org, awsdns-hostmaster.amazon.com","ns-865.awsdns-44.net, ns-1517.awsdns-61.org, ns-1909.awsdns-46.co.uk, ns-80.awsdns-10.com",v=spf1 -all,NOERROR,everestengagement.com,,,,,
[x],boozt.com,"104.16.129.31, 104.16.254.30, 104.16.255.30, 104.16.130.31, 104.16.128.31","aspmx2.googlemail.com, aspmx4.googlemail.com, alt2.aspmx.l.google.com, aspmx3.googlemail.com, aspmx5.googlemail.com, aspmx.l.google.com, alt1.aspmx.l.google.com","adel.ns.cloudflare.com, dns.cloudflare.com","adel.ns.cloudflare.com, ned.ns.cloudflare.com","google-site-verification=QjXPc5JVO-7tE2kPFwjAOU_9Qt9TOK6DpgQgdxs3yuc, google-site-verification=HUQ_u-2FoJhUgYtHicS11xYRV0YnFWX5Bsmz76LR_8Y, google-site-verification=xsPgBp8ncez1kfUqQueFJ-qKwDwxajejj1JgIoz6nTs, atlassian-domain-verification=RE1kxbcTK5LNcaHk4qjynSaWI2favjfVbOpA6CmoHBr4jJBYy7/Wt78YdIpVbU4D, google-site-verification=ubfSCp3Tf5mTQoFk_pAf4oNv85ts4jbieAcnyxZYIJo, gm8mnm1fymck675s7858lbgqh9cfnyk2, v=spf1 mx include:_spf.google.com ?include:trustpilotservice.com ?include:sendgrid.net ?include:carmamail.com ?include:relays.gooddata.com -all, apple-domain-verification=G8Um4F7GH1kwvjGY, 0QbLd5DvO0a0fUI4sWZUo4IVulcySac6V5MINrRUr/Q=, ahrefs-site-verification_b20fcdbb57e6b6b8cf724d1f911817256ea6b9be9f0fe3164d7b48d984c60b18, google-site-verification=X90fwf5rfD7OtuXxnFhB1Xd8KEhLszqwkIWcnKfWgnQ",NOERROR,,"2606:4700::6810:821f, 2606:4700::6810:811f, 2606:4700::6810:ff1e, 2606:4700::6810:801f, 2606:4700::6810:fe1e",True,cloudflare,,
[x],booztlet.com,"104.18.179.197, 104.18.180.197, 104.18.181.197, 104.18.178.197, 104.18.177.197",,"adel.ns.cloudflare.com, dns.cloudflare.com","adel.ns.cloudflare.com, ned.ns.cloudflare.com","ahrefs-site-verification_b20fcdbb57e6b6b8cf724d1f911817256ea6b9be9f0fe3164d7b48d984c60b18, SFMC-kSzRa--2GT7ObtZ4cqkZvnyOj5MYOuWRoNC1qK5T, google-site-verification=hdUvI1eLEXC_FVQnptqi__KSK_uHIANRCoQgva-12w4, pcys651th523kf1z9x911x8k8rg5ks6l, google-site-verification=G772eWmxThkAkwLkBrZmeQUI0Uv0f50YxowHPs-yob0, google-site-verification=R43iyNSLAzHHjlyOOXkNV6knDoeigHveBreO70afWzc, v=spf1 mx include:_spf.google.com ?include:trustpilotservice.com ?include:sendgrid.net ?include:carmamail.com -all",NOERROR,,"2606:4700::6812:b5c5, 2606:4700::6812:b3c5, 2606:4700::6812:b1c5, 2606:4700::6812:b4c5, 2606:4700::6812:b2c5",True,cloudflare,,
[x],bztesx01.warehouse.boozt.com,,,"adel.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,
[x],bztesx02.warehouse.boozt.com,,,"adel.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,
[x],bztvc01.warehouse.boozt.com,,,"adel.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,
[x],calendar.boozt.com,172.253.122.121,,"ns1.google.com, dns-admin.google.com",,,NOERROR,ghs.googlehosted.com,2607:f8b0:4004:c09::79,,,,
[x],click.boozt.com,"104.16.128.31, 104.16.129.31, 104.16.130.31, 104.16.254.30, 104.16.255.30",,"adel.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,"2606:4700::6810:801f, 2606:4700::6810:811f, 2606:4700::6810:821f, 2606:4700::6810:fe1e, 2606:4700::6810:ff1e",True,cloudflare,,
[x],click.booztlet.com,"104.18.178.197, 104.18.179.197, 104.18.180.197, 104.18.181.197, 104.18.177.197",,"adel.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,"2606:4700::6812:b5c5, 2606:4700::6812:b1c5, 2606:4700::6812:b2c5, 2606:4700::6812:b3c5, 2606:4700::6812:b4c5",True,cloudflare,,
[x],click.email.boozt.com,13.111.45.146,,"ns1.exacttarget.com, hostmaster.exacttarget.com",,,NOERROR,,,,,,
[x],click.email.booztlet.com,13.111.45.147,,"ns1.exacttarget.com, hostmaster.exacttarget.com",,,NOERROR,,,,,,
[x],drive.boozt.com,172.253.115.121,,"ns1.google.com, dns-admin.google.com",,,NOERROR,ghs.googlehosted.com,2607:f8b0:4004:c06::79,,,,
[x],email.boozt.com,136.147.129.27,,"ns1.exacttarget.com, hostmaster.exacttarget.com","ns3.exacttarget.com, ns2.exacttarget.com, ns1.exacttarget.com, ns4.exacttarget.com",,NOERROR,,,,,,
[x],email.booztlet.com,136.147.129.27,inbound-reply.s7.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com","ns4.exacttarget.com, ns1.exacttarget.com, ns2.exacttarget.com, ns3.exacttarget.com","spf2.0/pra include:cust-senderid.exacttarget.com -all, google-site-verification=8g_G4eKAkGO1dWp1IWSjb2TjwgLUOh_Hq9xhMuuv8j8, google-site-verification=Yzrs0IX-MYaSL8MxfMbSZuTPuMLaI8M02Nf5fo81g7I, v=spf1 include:cust-spf.exacttarget.com -all",NOERROR,,,,,,
[x],emv.boozt.com,54.144.128.85,,,,,NOERROR,,,,,,
[x],fb.boozt.com,"104.16.254.30, 104.16.128.31, 104.16.129.31, 104.16.130.31, 104.16.255.30",,"adel.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,"2606:4700::6810:fe1e, 2606:4700::6810:ff1e, 2606:4700::6810:821f, 2606:4700::6810:811f, 2606:4700::6810:801f",True,cloudflare,,
[x],fpt.boozt.com,35.227.225.212,,"adel.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,2600:1901:0:576::,True,google,,
[x],gcp.booztlet.com,"104.18.179.197, 104.18.177.197, 104.18.178.197, 104.18.181.197, 104.18.180.197",,"adel.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,"2606:4700::6812:b3c5, 2606:4700::6812:b4c5, 2606:4700::6812:b1c5, 2606:4700::6812:b5c5, 2606:4700::6812:b2c5",True,cloudflare,,
[x],groups.boozt.com,172.217.23.115,,"ns1.google.com, dns-admin.google.com",,,NOERROR,ghs.googlehosted.com,2a00:1450:4001:800::2013,,,,
[x],ia.boozt.com,,,"adel.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,
[x],ib.boozt.com,,,"adel.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,
[x],image.email.booztlet.com,104.102.51.224,,"n0x.akamaiedge.net, hostmaster.akamai.com",,,NOERROR,"akamai-san18.exacttarget.com.edgekey.net, e14762.x.akamaiedge.net",,,,,
[x],localhost.email.booztlet.com,127.0.0.1,,"ns1.exacttarget.com, hostmaster.exacttarget.com",,,NOERROR,,,,,True,127.0.0.1
[x],m.boozt.com,"104.16.130.31, 104.16.254.30, 104.16.128.31, 104.16.255.30, 104.16.129.31",,"adel.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,"2606:4700::6810:801f, 2606:4700::6810:fe1e, 2606:4700::6810:ff1e, 2606:4700::6810:811f, 2606:4700::6810:821f",True,cloudflare,,
[x],mail.boozt.com,142.250.185.83,,"ns1.google.com, dns-admin.google.com",,,NOERROR,ghs.googlehosted.com,2a00:1450:4001:831::2013,,,,
[x],mta.email.boozt.com,13.111.16.180,,"ns1.exacttarget.com, hostmaster.exacttarget.com",,,NOERROR,,,,,,
[x],mta.email.booztlet.com,13.111.4.41,,"ns1.exacttarget.com, hostmaster.exacttarget.com",,,NOERROR,,,,,,
[x],mta2.email.boozt.com,13.111.4.66,,"ns1.exacttarget.com, hostmaster.exacttarget.com",,,NOERROR,,,,,,
[x],nw.boozt.com,"104.16.130.31, 104.16.254.30, 104.16.128.31, 104.16.255.30, 104.16.129.31",,"adel.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,"2606:4700::6810:821f, 2606:4700::6810:ff1e, 2606:4700::6810:811f, 2606:4700::6810:fe1e, 2606:4700::6810:801f",True,cloudflare,,
[x],nw.booztlet.com,"104.18.181.197, 104.18.180.197, 104.18.178.197, 104.18.179.197, 104.18.177.197",,"adel.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,"2606:4700::6812:b2c5, 2606:4700::6812:b1c5, 2606:4700::6812:b5c5, 2606:4700::6812:b4c5, 2606:4700::6812:b3c5",True,cloudflare,,
[x],nw2.booztlet.com,"104.18.178.197, 104.18.180.197, 104.18.177.197, 104.18.179.197, 104.18.181.197",,"adel.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,"2606:4700::6812:b3c5, 2606:4700::6812:b2c5, 2606:4700::6812:b5c5, 2606:4700::6812:b1c5, 2606:4700::6812:b4c5",True,cloudflare,,
[x],o1.sendgrid.boozt.com,50.31.61.173,,"adel.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,
[x],o2.ptr4956.boozt.com,149.72.189.164,,"adel.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,
[x],pages.email.booztlet.com,136.147.129.25,,"ns1.exacttarget.com, hostmaster.exacttarget.com",,,NOERROR,pages.virt.s7.exacttarget.com,,,,,
[x],parcel-api.boozt.com,"104.16.129.31, 104.16.130.31, 104.16.254.30, 104.16.255.30, 104.16.128.31",,"adel.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,"2606:4700::6810:811f, 2606:4700::6810:821f, 2606:4700::6810:fe1e, 2606:4700::6810:ff1e, 2606:4700::6810:801f",True,cloudflare,,
[x],pub.email.boozt.com,136.147.129.35,,"ns1.exacttarget.com, hostmaster.exacttarget.com",,,NOERROR,pub.s7.exacttarget.com,,,,,
[x],sendgrid.boozt.com,"104.16.128.31, 104.16.130.31, 104.16.254.30, 104.16.255.30, 104.16.129.31",,"adel.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,"2606:4700::6810:fe1e, 2606:4700::6810:821f, 2606:4700::6810:811f, 2606:4700::6810:ff1e, 2606:4700::6810:801f",True,cloudflare,,
[x],sp-dev.boozt.com,54.144.128.85,,,,,NOERROR,,,,,,
[x],sp.boozt.com,"104.16.128.31, 104.16.130.31, 104.16.254.30, 104.16.255.30, 104.16.129.31",,"adel.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,"2606:4700::6810:821f, 2606:4700::6810:fe1e, 2606:4700::6810:ff1e, 2606:4700::6810:801f, 2606:4700::6810:811f",True,cloudflare,,
[x],t-dev.booztlet.com,"104.18.178.197, 104.18.177.197, 104.18.181.197, 104.18.180.197, 104.18.179.197",,"adel.ns.cloudflare.com, dns.cloudflare.com",,google-site-verification=e6aqOzCrzTwMlhg-yzB1hMMCLFIz8YJtG_q5eKTv_cg,NOERROR,,"2606:4700::6812:b2c5, 2606:4700::6812:b3c5, 2606:4700::6812:b1c5, 2606:4700::6812:b4c5, 2606:4700::6812:b5c5",True,cloudflare,,
[x],t.boozt.com,"104.16.128.31, 104.16.129.31, 104.16.130.31, 104.16.254.30, 104.16.255.30",,"adel.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,"2606:4700::6810:fe1e, 2606:4700::6810:821f, 2606:4700::6810:ff1e, 2606:4700::6810:811f, 2606:4700::6810:801f",True,cloudflare,,
[x],t.booztlet.com,"104.18.177.197, 104.18.179.197, 104.18.181.197, 104.18.180.197, 104.18.178.197",,"adel.ns.cloudflare.com, dns.cloudflare.com",,google-site-verification=g0XBlJeVzIzjEKRSkm-iB3KMIpmdrBBGeu7wVt77js4,NOERROR,,"2606:4700::6812:b3c5, 2606:4700::6812:b1c5, 2606:4700::6812:b4c5, 2606:4700::6812:b5c5, 2606:4700::6812:b2c5",True,cloudflare,,
[x],transactional.boozt.com,,mx.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",,v=spf1 ip4:149.72.163.190 ip4:149.72.189.164 ip4:50.31.61.173 -all,NOERROR,u49592.wl093.sendgrid.net,,,,,
[x],view.email.booztlet.com,13.111.46.147,,"ns1.exacttarget.com, hostmaster.exacttarget.com",,,NOERROR,,,,,,
[x],www.boozt.com,"104.16.130.31, 104.16.254.30, 104.16.255.30, 104.16.128.31, 104.16.129.31",,"adel.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,"2606:4700::6810:811f, 2606:4700::6810:821f, 2606:4700::6810:fe1e, 2606:4700::6810:ff1e, 2606:4700::6810:801f",True,cloudflare,,
[x],www.booztlet.com,"104.18.179.197, 104.18.180.197, 104.18.178.197, 104.18.181.197, 104.18.177.197",,"adel.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,"2606:4700::6812:b4c5, 2606:4700::6812:b5c5, 2606:4700::6812:b2c5, 2606:4700::6812:b3c5, 2606:4700::6812:b1c5",True,cloudflare,,
[x],www.parcel-api.boozt.com,142.250.184.243,,"ns1.google.com, dns-admin.google.com",,,NOERROR,ghs.googlehosted.com,2a00:1450:4001:831::2013,,,,
