new,host,soa,ns,txt,status_code,a,cdn,cdn-name,cname,mx,caa,aaaa,has_internal_ips,internal_ips
[x],redislabs.com,"ns-1900.awsdns-45.co.uk, awsdns-hostmaster.amazon.com","ns-454.awsdns-56.com, ns-534.awsdns-02.net, ns-1238.awsdns-26.org, ns-1900.awsdns-45.co.uk","google-site-verification=veeUXWFwjbYMrlXLO8_Y_0H3Erb9rVQvaXMPKESk_lw, status-page-domain-verification=t0y77fhm0qxl , v=spf1 include:us._netblocks.mimecast.com include:mktomail.com include:_spf.google.com include:sendgrid.net include:stspg-customer.com include:mail.zendesk.com include:spf.mandrillapp.com include:spf.eventsforce.net -all, MS=A0B32E29A74277E3AC46B3366949C836F22B34B5, _globalsign-domain-verification=0xHsAhjUGH6VsOvvzrPKpVJZeN1iH7wEwWIOaKfeDI, _globalsign-domain-verification=BKiSSX_Jp9ZRTyGpUHktBKTpLbPiFodT7BzDigqQxM, apple-domain-verification=epShMtDZgRA4wsAC, atlassian-domain-verification=l9AJIQnEUwoU3JUWAChOYu3jc+gW8Yb3eltC+BW8M2s5UK5hsURpwkrFZNL6pUSu, cloudflare-verify=777927551-252976345, docker-verification=b90e7539-fc3d-428d-99d0-e442002085c0, docusign=d1a10230-ca4a-485b-8679-af8318644003, globalsign-domain-verification=170008aac0f4d39fdee16075be509c9b, globalsign-domain-verification=3415f4d4b4237432d28512a0fd382553, globalsign-domain-verification=9A68522D47A117A41C8B0789A98A6D93, globalsign-domain-verification=D7B09B3678AFDC6AD8EB31B0A93E8CB4, google-site-verification=ePg9Bb3H5tvJwYDkBKXk67uYFFcAvdt2cC36xxuQp_Q",NOERROR,"45.60.131.1, 45.60.121.1",True,incapsula,,"us-smtp-inbound-2.mimecast.com, us-smtp-inbound-1.mimecast.com",,"2a02:e980:12f::1, 2a02:e980:127::1",,
[x],redisstars.redislabs.com,"ns-1354.awsdns-41.org, awsdns-hostmaster.amazon.com",,,NOERROR,"52.23.59.102, 52.204.233.198, 34.192.229.91",,,redislabs.influitive.com,,,,,
[x],reports-staging.dev.redislabs.com,"ns-1103.awsdns-09.org, awsdns-hostmaster.amazon.com",,,NOERROR,35.158.107.33,,,,,,,,
[x],reports.dev.redislabs.com,"ns-1103.awsdns-09.org, awsdns-hostmaster.amazon.com",,,NOERROR,3.72.79.29,,,,,,,,
[x],rlchat.redis.com,"ns-1133.awsdns-13.org, awsdns-hostmaster.amazon.com",,,NOERROR,3.224.26.80,,,,,,,,
[x],rlchat.redislabs.com,"ns-1900.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,,
[x],rs_automation_sanity-rfwxvp.env0.qa.redislabs.com,"ns-915.awsdns-50.net, awsdns-hostmaster.amazon.com",,,NOERROR,52.201.252.178,,,,,,,,
[x],rs_upgrades-cvtwmp.env0.qa.redislabs.com,"ns-915.awsdns-50.net, awsdns-hostmaster.amazon.com",,,NOERROR,52.201.252.178,,,,,,,,
[x],rundeck-qa.rundeck.qa.redislabs.com,"ns-596.awsdns-10.net, awsdns-hostmaster.amazon.com",,,NOERROR,"3.143.97.67, 3.136.60.236",,,,,,,,
[x],service1.redislabs.com,"ns-1900.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,63.35.119.49,,,,,,,,
[x],sftp.cs.redislabs.com,"ns1.actionverb.com, info.actionverb.com",,,NOERROR,67.208.93.232,,,"redislabs.exavault.com, pod-sjc1.exavault.com",,,,,
[x],sm-das.dev.redislabs.com,"ns-1103.awsdns-09.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,,
[x],splunk.demo.redislabs.com,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,True,google,,,,,,
