new,host,soa,status_code,a,aaaa,cname,caa,mx,ns,txt,cdn,cdn-name,has_internal_ips,internal_ips
,gglessonapp1.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.135,,,,,,,,,,
,gglessonapp2.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.136,,,,,,,,,,
,goinggoinggone.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,"165.160.15.20, 165.160.13.20",,,,,,,,,,
,golfgalaxy.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,67.88.8.53,,,,,,,,,,
,golfonline.golfgalaxy.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,216.42.131.120,,,,,,,,,,
,green.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.116,,,,,,,,,,
,guestpub.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.199,,,,,,,,,,
,h-135-197-236-40.vrst.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,"165.160.13.20, 165.160.15.20",,,,,,,,,,
,hardwareloan-dev.dcsg.com,"ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,40.70.147.13,,"innovation-hal-front-end-dev.azurewebsites.net, waws-prod-bn1-067.sip.azurewebsites.windows.net, waws-prod-bn1-067.eastus2.cloudapp.azure.com",,,,,True,azure,,
,horizonsec1.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.29,,,,,,,,,,
,horizonsec2.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.35,,,,,,,,,,
,host126.vrst.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,"165.160.13.20, 165.160.15.20",,,,,,,,,,
,hosted.golfgalaxy.com,,NOERROR,208.94.20.11,,view.ed4.net,,,,,,,,
,hostmaster.vrst.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,"165.160.15.20, 165.160.13.20",,,,,,,,,,
,hqcubeteams02.dcsg.com,,NOERROR,172.31.251.32,,,,,,,,,True,172.31.251.32
,hybrid.dcsg.com,"lbns2.dcsgomni.com, hostmaster.lbns2.dcsgomni.com, lbns1.dcsgomni.com, hostmaster.lbns1.dcsgomni.com",NOERROR,199.30.195.192,,hybrid.dns.dcsgomni.com,,,,,,,,
,image.dickssportinggoods.com,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,173.223.113.24,,"image.dickssportinggoods.com.edgekey.net, e9691.x.akamaiedge.net",,,,,,,,
,image.golfgalaxy.com,"n0g1.akamai.net, hostmaster.akamai.com",NOERROR,"104.126.117.152, 104.126.117.155",,"img.ed4.net, instantconfig.ed4.net, instantconfig.ed4.net.mdc.edgesuite.net, a1819.g1.akamai.net",,,,,,,,
,images.dickssportinggoods.com,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,23.197.109.220,,"images.dickssportinggoods.com.edgekey.net, e9691.x.akamaiedge.net",,,,,,,,
,img.dickssportinggoods.com,"n0g1.akamai.net, hostmaster.akamai.com",NOERROR,"23.32.238.192, 23.32.238.224",,"img.ed4.net, instantconfig.ed4.net, instantconfig.ed4.net.mdc.edgesuite.net, a1819.g1.akamai.net",,,,,,,,
,img.fieldandstreamshop.com,"n0g1.akamai.net, hostmaster.akamai.com",NOERROR,"23.32.238.224, 23.32.238.192",,"img.ed4.net, instantconfig.ed4.net, instantconfig.ed4.net.mdc.edgesuite.net, a1819.g1.akamai.net",,,,,,,,
,inclusion.dickssportinggoods.com,"n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,173.223.113.24,"2a02:26f0:c900:280::25db, 2a02:26f0:c900:296::25db, 2a02:26f0:c900:28f::25db, 2a02:26f0:c900:290::25db, 2a02:26f0:c900:28b::25db","inclusion.dickssportinggoods.com.edgekey.net, e9691.dscx.akamaiedge.net",,,,,,,,
,index.dickssportinggoods.com,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,173.223.113.24,,"index.dickssportinggoods.com.edgekey.net, e9691.x.akamaiedge.net",,,,,,,,
,inqjal.dickssportinggoods.com,"ns23.criteo.com, dns.criteo.com",NOERROR,,2a02:2638:3::c,"dnsdelegation.io, gum.criteo.com, gum.nl3.vip.prod.criteo.com",,,,,,,,
,instacart.dickssportinggoods.com,,NOERROR,"104.18.14.237, 104.18.15.237",,"dicks-sporting-goods.instacart.com, dicks-sporting-goods.pbis-cf.instacart.com",,,,,True,cloudflare,,
,intelscs.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,,,,,,,,,,,
,iq.vrst.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,"165.160.15.20, 165.160.13.20",,,,,,,,,,
,ir.dickssportinggoods.com,,NOERROR,"95.101.133.10, 80.239.254.43",,"dicks-sports-ir.prod-use1.investis.com, is.prod-use1.edgekey.net, e25398.b.akamaiedge.net",,,,,,,,
,iso-pr.an01.pcf.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,,,,,,,,,,,
,iso-pr.ap03.pcf.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,,,,,,,,,,,
,iso.ap01.pcf.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,,,,,,,,,,,
,iso.ap03.pcf.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,,,,,,,,,,,
,iso.vn01.pcf.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,,,,,,,,,,,
,iso.vp01.pcf.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,,,,,,,,,,,
,isosec.an01.pcf.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,,,,,,,,,,,
,isosec.vp01.pcf.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,,,,,,,,,,,
,jabber.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.11,,,,,"ns.domainnetwork.se, ns2.domainnetwork.se, ns3.domainnetwork.com",,,,,
,jira7.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.72,,,,,,,,,,
,jirabug.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.54,,,,,,,,,,
,jiraint.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.72,,,,,,,,,,
,jirastag.dcsg.com,,NOERROR,199.30.195.162,,,,,,,,,,
,jiraxm.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.74,,,,,,,,,,
,jobs.fieldandstreamshop.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,"165.160.13.20, 165.160.15.20",,,,,,,,,,
,kappa.dickssportinggoods.com,"n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,2.18.162.137,"2a02:26f0:1700:38f::25db, 2a02:26f0:1700:393::25db, 2a02:26f0:1700:394::25db, 2a02:26f0:1700:384::25db, 2a02:26f0:1700:38d::25db","kappa.dickssportinggoods.com.edgekey.net, e9691.dscx.akamaiedge.net",,,,,,,,
,kenna.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.38,,,,,,,,,,
,kirby.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.216,,,,,,,,,,
,launch.dickssportinggoods.com,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,184.51.234.197,,"launch.dickssportinggoods.com.edgekey.net, e9691.x.akamaiedge.net",,,,,,,,
,lbns1.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.194.24,,,,,,,,,,
,lbns10.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.194.24,,,,,"ns.domainnetwork.se, ns2.domainnetwork.se, ns3.domainnetwork.com",,,,,
,lbns11.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.192.24,,,,,,,,,,
,lbns2.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.192.24,,,,,,,,,,
,lbns3.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.194.24,,,,,,,,,,
,lbns4.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.192.24,,,,,,,,,,
,lee-132-159-244-0.goinggoinggone.com,,NOERROR,"165.160.13.20, 165.160.15.20",,,,,,,,,,
,lessons.golfgalaxy.com,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,23.78.196.115,,"lessons.golfgalaxy.com.edgekey.net, e13910.x.akamaiedge.net",,,,,,,,
,lessons.qa.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,63.161.110.41,,,,,,,,,,
,link.fieldandstreamshop.com,"internal.akadns.net, hostmaster.akamai.com",NOERROR,208.94.20.19,,"fieldandstreamshop.ed10.net, redirect.bo3.ed10.net.akadns.net",,,,,,,,
,linkto.dickssportinggoods.com,"ns-1795.awsdns-32.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"52.73.128.175, 54.243.144.119, 3.217.252.85, 35.168.73.186",,linkto-dickssportinggoods-com.ct.impactradius.com,,,"ns-1172.awsdns-18.org, ns-1795.awsdns-32.co.uk, ns-37.awsdns-04.com, ns-903.awsdns-48.net",,,,,
,login-nonprod.dickssportinggoods.com,"maya.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.4.63, 104.18.5.63","2606:4700::6812:53f, 2606:4700::6812:43f",dcsg-athlete-cd-ibvarbfa5uuanjec.edge.dickssportinggoods-dev.auth0.com,,,,,True,cloudflare,,
,login-prod.dickssportinggoods.com,"maya.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.1.129, 104.18.0.129","2606:4700::6812:181, 2606:4700::6812:81",dcsg-athlete-cd-udzpxjupro3ffumb.edge.dickssportinggoods.auth0.com,,,,,True,cloudflare,,
,logistics-mda.dcsg.com,,NOERROR,88.221.99.96,"2001:2030:21:193::1fb3, 2001:2030:21:18a::1fb3","logistics-mda.dcsg.com.edgekey.net, e8115.dscx.akamaiedge.net",,,,,,,,
,logistics.dcsg.com,"n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,23.37.60.116,"2a02:26f0:3100:794::1fb3, 2a02:26f0:3100:78c::1fb3","logistics.dcsg.com.edgekey.net, e8115.dscx.akamaiedge.net",,,,,,,,
,logistics2019-mda.dcsg.com,,NOERROR,23.37.60.116,"2a02:26f0:480:290::1fb3, 2a02:26f0:480:28d::1fb3","logistics2019-mda.dcsg.com.edgekey.net, e8115.dscx.akamaiedge.net",,,,,,,,
,logistics2019-mip.dcsg.com,"n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,23.201.252.24,"2a02:26f0:3500:585::1fb3, 2a02:26f0:3500:59a::1fb3","logistics2019-mip.dcsg.com.edgekey.net, e8115.dscx.akamaiedge.net",,,,,,,,
,logisticsd-ca.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,63.161.110.157,,,,,,,,,,
,logisticsd-lg.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,63.161.110.158,,,,,,,,,,
,logisticsd-mda.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,63.161.110.187,,,,,,,,,,
,logisticsd-mip.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,63.161.110.186,,,,,,,,,,
,logisticsd.dcsg.com,,NOERROR,184.51.232.38,"2001:2030:21:18a::1fb3, 2001:2030:21:193::1fb3","logisticsd.dcsg.com.edgekey.net, e8115.dscx.akamaiedge.net",,,,,,,,
,logisticsgatewayq.dcsg.com,"n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,23.201.252.24,"2a02:26f0:1700:38f::1fb3, 2a02:26f0:1700:38d::1fb3","logisticsgatewayq.dcsg.com.edgekey.net, e8115.dscx.akamaiedge.net",,,,,,,,
,logisticsq-mda.dcsg.com,"n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,23.37.60.116,"2a02:26f0:3100:794::1fb3, 2a02:26f0:3100:78c::1fb3","logisticsq-mda.dcsg.com.edgekey.net, e8115.dscx.akamaiedge.net",,,,,,,,
,logisticsq-mip.dcsg.com,,NOERROR,23.37.60.116,"2a02:26f0:480:290::1fb3, 2a02:26f0:480:28d::1fb3","logisticsq-mip.dcsg.com.edgekey.net, e8115.dscx.akamaiedge.net",,,,,,,,
,logisticsq.dcsg.com,"n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,23.201.252.24,"2a02:26f0:480:985::1fb3, 2a02:26f0:480:98e::1fb3","logisticsq.dcsg.com.edgekey.net, e8115.dscx.akamaiedge.net",,,,,,,,
,logisticsq2019-mda.dcsg.com,,NOERROR,23.37.60.116,,"logisticsq2019-mda.dcsg.com.edgekey.net, e8115.dscx.akamaiedge.net",,,,,,,,
,logisticsq2019-mip.dcsg.com,,NOERROR,23.65.198.5,,"logisticsq2019-mip.dcsg.com.edgekey.net, e8115.dscx.akamaiedge.net",,,,,,,,
,logisticsq2019.dcsg.com,,NOERROR,23.78.165.191,"2600:1408:9000:6b2::1fb3, 2600:1408:9000:6a9::1fb3","logisticsq2019.dcsg.com.edgekey.net, e8115.dscx.akamaiedge.net",,,,,,,,
,lsvpn.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.194.150,,,,,,,,,,
,lyncdiscover.dcsg.com,"admin.nsatc.net, dns.level3.net",NOERROR,52.112.192.14,2603:1027:0:48::21,webdir.online.lync.com,,,,,,,,
,m.dcsg.com,,NOERROR,72.246.169.41,,"m.dickssportinggoods.com, m.dickssportinggoods.com-v1.edgekey.net, e9691.x.akamaiedge.net",,,,,,,,
,m.dickssportinggoods.com,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,72.246.169.41,,"m.dickssportinggoods.com-v1.edgekey.net, e9691.x.akamaiedge.net",,,,,,,,
,m.fieldandstreamshop.com,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,184.85.144.118,,"m.fieldandstreamshop.com.edgekey.net, e13508.x.akamaiedge.net",,,,,,,,
,m2.dickssportinggoods.com,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,23.192.153.18,,"m2.dickssportinggoods.com-v1.edgekey.net, e9691.x.akamaiedge.net",,,,,,,,
,mail.dcsg.com,"lbns2.dcsgomni.com, hostmaster.lbns2.dcsgomni.com",NOERROR,"199.30.195.194, 199.30.193.194",,mail.dns.dcsgomni.com,,,,,,,,
,mail.golfgalaxy.com,,NOERROR,206.169.240.154,,,,,,,,,,
,mail2.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,63.170.51.66,,,,,,,,,,
,mail2.dickssportinggoods.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,63.170.51.66,,,,,,,,,,
,mail2.golfgalaxy.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,206.169.240.155,,,,,,,,,,
,marilyn-dev.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,34.110.216.157,,,,,,,True,google,,
,marilyn-prod.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,34.120.214.143,,,,,,,True,google,,
,meta.dickssportinggoods.com,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,2.18.162.137,,"meta.dickssportinggoods.com.edgekey.net, e9691.x.akamaiedge.net",,,,,,,,
,meta.fieldandstreamshop.com,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,95.100.64.24,,"meta.fieldandstreamshop.com.edgekey.net, e13508.x.akamaiedge.net",,,,,,,,
,metrics.calia.com,"ns201.adobe.net, hostmaster.adobe.com",NOERROR,"63.140.62.135, 63.140.62.164, 63.140.62.160",,caliastudio.com.sc.omtrdc.net,,,,,,,,
,metrics.dickssportinggoods.com,"ns201.adobe.net, hostmaster.adobe.com",NOERROR,"63.140.62.160, 63.140.62.164, 63.140.62.135",,dickssportinggoods.com.sc.omtrdc.net,,,,,,,,
,metrics.fieldandstreamshop.com,"ns201.adobe.net, hostmaster.adobe.com",NOERROR,"63.140.62.135, 63.140.62.160, 63.140.62.164",,fieldandstreamshop.com.sc.omtrdc.net,,,,,,,,
,metrics.goinggoinggone.com,,NOERROR,"63.140.62.160, 63.140.62.164, 63.140.62.135",,goinggoing.com.sc.omtrdc.net,,,,,,,,
,metrics.golfgalaxy.com,"ns201.adobe.net, hostmaster.adobe.com",NOERROR,"63.140.62.160, 63.140.62.164, 63.140.62.135",,golfgalaxy.com.sc.omtrdc.net,,,,,,,,
,metrics.publiclands.com,"ns201.adobe.net, hostmaster.adobe.com",NOERROR,"63.140.38.165, 63.140.38.225, 63.140.38.178, 63.140.38.12, 63.140.38.149, 63.140.38.123, 63.140.38.160, 63.140.38.169, 63.140.38.201, 63.140.38.186",,publiclands.com.sc.omtrdc.net,,,,,,,,
,mfa.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.63,,,,,,,,,,
,mhsi-47-247-9.vrst.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,"165.160.15.20, 165.160.13.20",,,,,,,,,,
,mi.calia.com,,NOERROR,"13.225.78.18, 13.225.78.114, 13.225.78.125, 13.225.78.44",,d2t68cvt4dnbrf.cloudfront.net,,,,,True,cloudfront,,
,mi.dickssportinggoods.com,,NOERROR,"99.86.4.125, 99.86.4.41, 99.86.4.25, 99.86.4.82",,d17gy131liry44.cloudfront.net,,,,,True,cloudfront,,
,mi.fieldandstreamshop.com,"ns-1815.awsdns-34.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"18.66.122.102, 18.66.122.19, 18.66.122.39, 18.66.122.108",,d1pgrscddfejht.cloudfront.net,,,,,True,cloudfront,,
,mi.goinggoinggone.com,"ns-219.awsdns-27.com, awsdns-hostmaster.amazon.com",NOERROR,"99.86.4.107, 99.86.4.116, 99.86.4.123, 99.86.4.19",,d13ttrf49fhcw4.cloudfront.net,,,"ns-219.awsdns-27.com, ns-555.awsdns-05.net, ns-1453.awsdns-53.org, ns-1672.awsdns-17.co.uk",,True,cloudfront,,
,mi.golfgalaxy.com,"ns-960.awsdns-56.net, awsdns-hostmaster.amazon.com",NOERROR,"13.32.145.77, 13.32.145.101, 13.32.145.12, 13.32.145.102",,d1dpj83k3qhw55.cloudfront.net,,,"ns-1480.awsdns-57.org, ns-1823.awsdns-35.co.uk, ns-444.awsdns-55.com, ns-960.awsdns-56.net",,True,cloudfront,,
,mkt.calia.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,104.211.46.29,,,,,,,True,azure,,
,mkt.dickssportinggoods.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,20.231.100.35,,,,,,,,,,
,mkt.golfgalaxy.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,20.185.179.255,,,,,,,True,azure,,
,mkt.publiclands.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,20.231.201.96,,,,,"dns1.cscdns.net, dns2.cscdns.net",,,,,
,mkt.vrst.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,20.115.11.149,,,,,,,,,,
,ml-dev.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,35.237.115.144,,,,,,,True,google,,
,ml.dickssportinggoods.com,"n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,23.74.173.52,"2a02:26f0:d8:109e::25db, 2a02:26f0:d8:10a1::25db, 2a02:26f0:d8:1083::25db, 2a02:26f0:d8:1085::25db, 2a02:26f0:d8:1099::25db","ml.dickssportinggoods.com.edgekey.net, e9691.dscx.akamaiedge.net",,,,,,,,
,mobilegateway.dcsg.com,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,23.206.94.240,,"mobilegateway.dcsg.com.edgekey.net, e8115.x.akamaiedge.net",,,,,,,,
,move.dickssportinggoods.com,"n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,173.223.113.24,"2a02:26f0:c900:283::25db, 2a02:26f0:c900:28e::25db, 2a02:26f0:c900:288::25db, 2a02:26f0:c900:291::25db, 2a02:26f0:c900:295::25db","move.dickssportinggoods.com.edgekey.net, e9691.dscx.akamaiedge.net",,,,,,,,
,myaccount.dickssportinggoods.com,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,173.223.113.24,,"meta.dickssportinggoods.com.edgekey.net, e9691.x.akamaiedge.net",,,,,,,,
,myauth-flex.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.141,,,,,,,,,,
,myauth-np.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,63.161.110.119,,,,,,,,,,
,mycloudclient.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.49,,,,,,,,,,
,myclouddev.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.192.106,,,,,,,,,,
,mycloudsbx.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.192.105,,,,,,,,,,
,mydialin.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.60,,,,,"ns.domainnetwork.se, ns2.domainnetwork.se, ns3.domainnetwork.com",,,,,
,myfinance.dcsg.com,,NOERROR,23.37.60.116,"2a02:26f0:480:290::1fb3, 2a02:26f0:480:28d::1fb3","myfinance.dcsg.com.edgekey.net, e8115.dscx.akamaiedge.net",,,,,,,,
,myfinancedev.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,63.161.110.87,,,,,,,,,,
,myfinanceqa.dcsg.com,"n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,23.201.252.24,"2a02:26f0:480:98e::1fb3, 2a02:26f0:480:985::1fb3","myfinanceqa.dcsg.com-v1.edgekey.net, e8115.dscx.akamaiedge.net",,,,,,,,
,myfinanceuat.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.192.111,,,,,,,,,,
,myhrdev.dcsg.com,,NOERROR,63.161.110.39,,,,,,,,,,
,myhrdevext.dcsg.com,"n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,23.206.94.240,"2a02:26f0:c900:288::1fb3, 2a02:26f0:c900:290::1fb3","myhrdevext.dcsg.com.edgekey.net, e8115.dscx.akamaiedge.net",,,,,,,,
,myhrext.dcsg.com,"n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,23.6.68.173,"2600:1408:9000:6a9::1fb3, 2600:1408:9000:6b2::1fb3","myhrext.dcsg.com.edgekey.net, e8115.dscx.akamaiedge.net",,,,,,,,
,myhrqa.dcsg.com,"n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,23.37.38.239,"2a02:26f0:6c00:1ab::1fb3, 2a02:26f0:6c00:192::1fb3","myhrqa.dcsg.com.edgekey.net, e8115.dscx.akamaiedge.net",,,,,,,,
,myhrqaext.dcsg.com,"n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,23.37.38.239,"2a02:26f0:6c00:192::1fb3, 2a02:26f0:6c00:1ab::1fb3","myhrqaext.dcsg.com.edgekey.net, e8115.dscx.akamaiedge.net",,,,,,,,
,myhruat.dcsg.com,,NOERROR,88.221.99.96,,"myhruat.dcsg.com.edgekey.net, e8115.dscx.akamaiedge.net",,,,,,,,
,myhrunitext.dcsg.com,,NOERROR,23.2.225.110,,"myhrunitext.dcsg.com.edgekey.net, e8115.dscx.akamaiedge.net",,,,,,,,
,mylockerdev.dcsg.com,,NOERROR,63.161.110.83,,,,,,,,,,
,mylockerqa.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,63.161.110.84,,,,,"ns.domainnetwork.se, ns2.domainnetwork.se, ns3.domainnetwork.com",,,,,
,mymobileappstest.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.48,,,,,,,,,,
,mymobileconfig.dcsg.com,,NOERROR,199.30.195.110,,,,,,,,,,
,mymobilemail.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.114,,,,,,,,,,
,mymobilemailkerberos.dcsg.com,,NOERROR,199.30.195.101,,,,,,,,,,
,mymobilemailkerberostest.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.102,,,,,,,,,,
,mymobilemailtest.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.47,,,,,,,,,,
,mymobilevpn1.dcsg.com,,NOERROR,199.30.194.207,,,,,,,,,,
,nikefieldhouse.dickssportinggoods.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,"165.160.15.20, 165.160.13.20",,,,,,,,,,
,notifications.dcsg.com,,NOERROR,159.127.198.162,,,,,,,,,,
,notifications.fieldandstreamshop.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,159.127.187.121,,,,,,,,,,
,notifications.publiclands.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,159.127.187.10,,,,,,,,,,
,ool.dcsg.com,,NOERROR,199.30.195.193,,ool.dns.dcsgomni.com,,,,,,,,
,origin-gateway2.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,65.153.56.61,,,,,,,,,,
,origin-m.fieldandstreamshop.com,,NOERROR,205.216.49.97,,,,,,,,,,
,origin-qa.fieldandstreamshop.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,205.219.236.130,,,,,,,,,,
