new,host,a,soa,status_code,cname,has_internal_ips,internal_ips,ns,cdn,cdn-name,mx,txt,aaaa,caa
[x],1.cloud.flipkart.com,13.71.119.7,"PDNS1.ULTRADNS.NET, sysadmin.flipkart.com",NOERROR,,,,,True,azure,,v=spf1 include:1715970f8.spf2.netcorecloud.net -all,,
[x],1.fdp.api.flipkart.com,103.243.32.9,"PDNS1.ULTRADNS.NET, sysadmin.flipkart.com",NOERROR,,,,,,,,,,
[x],1.finapi.flipkart.com,103.243.32.82,"PDNS1.ULTRADNS.NET, sysadmin.flipkart.com",NOERROR,,,,,,,,,,
[x],1.sonic.fdp.api.flipkart.com,103.243.33.5,"PDNS1.ULTRADNS.NET, sysadmin.flipkart.com",NOERROR,1.rome.api.flipkart.com,,,,,,,,,
[x],2.cloud.flipkart.com,13.71.119.7,"PDNS1.ULTRADNS.NET, sysadmin.flipkart.com",NOERROR,,,,,True,azure,,v=spf1 include:1715970f8.spf2.netcorecloud.net -all,,
[x],2.rome.api.flipkart.com,163.53.76.64,"PDNS1.ULTRADNS.NET, sysadmin.flipkart.com",NOERROR,,,,,,,,,,
[x],306fc.store.flipkart.com,163.53.78.131,"PDNS1.ULTRADNS.NET, sysadmin.flipkart.com",NOERROR,,,,,,,,,,
[x],81.store.flipkart.com,163.53.78.131,"PDNS1.ULTRADNS.NET, sysadmin.flipkart.com",NOERROR,,,,"sdns14.ultradns.org, sdns14.ultradns.net, sdns14.ultradns.com, sdns14.ultradns.biz",,,,,,
[x],abc-9-10-3.store.flipkart.com,163.53.78.131,"PDNS1.ULTRADNS.NET, sysadmin.flipkart.com",NOERROR,,,,,,,,,,
[x],accounts-demo-dal12.store.flipkart.com,163.53.78.131,"PDNS1.ULTRADNS.NET, sysadmin.flipkart.com",NOERROR,,,,,,,,,,
[x],accounts.flipkart.com,103.243.32.90,"PDNS1.ULTRADNS.NET, sysadmin.flipkart.com",NOERROR,,,,,,,,,,
[x],adfs.flipkart.com,115.114.191.195,"PDNS1.ULTRADNS.NET, sysadmin.flipkart.com",NOERROR,,,,,,,,,,
[x],adp.flipkart.com,103.243.32.24,"PDNS1.ULTRADNS.NET, sysadmin.flipkart.com",NOERROR,,,,,,,,,,
[x],ads.cloud.flipkart.com,163.53.76.13,"PDNS1.ULTRADNS.NET, sysadmin.flipkart.com",NOERROR,,,,,,,,,,
[x],affiliate.flipkart.com,103.243.32.94,"pdns1.ultradns.net, sysadmin.flipkart.com",NOERROR,,,,,,,,,,
[x],airtel.store.flipkart.com,103.243.32.90,"PDNS1.ULTRADNS.NET, sysadmin.flipkart.com",NOERROR,,,,,,,,,,
[x],api.translation.cloud.flipkart.com,163.53.76.33,"PDNS1.ULTRADNS.NET, sysadmin.flipkart.com",NOERROR,,,,,,,,,,
[x],axis.store.flipkart.com,163.53.76.86,"PDNS1.ULTRADNS.NET, sysadmin.flipkart.com",NOERROR,,,,,,,,,,
[x],betaarteeformas-sidneytorres.store.flipkart.com,163.53.78.131,"PDNS1.ULTRADNS.NET, sysadmin.flipkart.com",NOERROR,,,,,,,,,,
[x],bhaskar.store.flipkart.com,163.53.76.86,"PDNS1.ULTRADNS.NET, sysadmin.flipkart.com",NOERROR,,,,,,,,,,
[x],bid46zx.store.flipkart.com,163.53.78.131,"PDNS1.ULTRADNS.NET, sysadmin.flipkart.com",NOERROR,,,,,,,,,,
[x],blog.store.flipkart.com,163.53.78.131,"PDNS1.ULTRADNS.NET, sysadmin.flipkart.com",NOERROR,,,,,,,,,,
[x],brandmanager.flipkart.com,103.243.32.111,"PDNS1.ULTRADNS.NET, sysadmin.flipkart.com",NOERROR,advertising.flipkart.com,,,,,,,,,
[x],ch.flipkart.com,,"PDNS1.ULTRADNS.NET, sysadmin.flipkart.com",NOERROR,,,,,,,,,,
[x],checkout.cloud.flipkart.com,,"PDNS1.ULTRADNS.NET, sysadmin.flipkart.com",NOERROR,,,,,,,,,,
[x],chennai-79.fknet.flipkart.com,,,NOERROR,,,,,,,,,,
[x],codereview.flipkart.com,142.250.185.211,"ns1.google.com, dns-admin.google.com",NOERROR,ghs.google.com,,,,,,,,2a00:1450:4001:812::2013,
[x],comeoutwithpride.store.flipkart.com,163.53.78.131,"PDNS1.ULTRADNS.NET, sysadmin.flipkart.com",NOERROR,,,,,,,,,,
[x],console.cloud.flipkart.com,163.53.76.95,"pdns1.ultradns.net, sysadmin.flipkart.com",NOERROR,,,,,,,,,,
[x],console.nm.flipkart.com,10.65.30.232,"PDNS1.ULTRADNS.NET, sysadmin.flipkart.com",NOERROR,,True,10.65.30.232,,,,,,,
[x],ctl.weread.flipkart.com,103.4.254.11,"PDNS1.ULTRADNS.NET, sysadmin.flipkart.com",NOERROR,,,,,,,,,,
[x],delivery.cloud.flipkart.com,34.117.197.73,"ns11.constellix.com, dns.constellix.com",NOERROR,elnk.netcorecloud.net,,,,True,google,bounceapi.netcorecloud.net,"v=spf1 exists:%{ir}._spf.netcorecloud.net -all, google-site-verification=FKMDT_I-lhCBr2ALalsR5RyhdfeyxSb1F673mZ9KF2o",,
[x],delivery.ncb.flipkart.com,"34.93.155.8, 34.117.197.73, 35.200.150.166, 34.93.175.175","ns11.constellix.com, dns.constellix.com",NOERROR,spf.pepipost.com,,,,True,google,envmx.pepipost.com,v=spf1 exists:%{ir}._spf.netcorecloud.net -all,,
[x],delivery.ncp.flipkart.com,"35.200.150.166, 34.93.175.175, 34.93.155.8, 34.117.197.73","ns11.constellix.com, dns.constellix.com",NOERROR,spf.pepipost.com,,,,True,google,envmx.pepipost.com,v=spf1 exists:%{ir}._spf.netcorecloud.net -all,,
