new,host,a,soa,status_code,cname,ns,aaaa,cdn,cdn-name,has_internal_ips,internal_ips,txt,caa,mx
[x],sld-rch1-2-a.cisco.com,173.37.231.225,"ns1.cisco.com, postmaster.cisco.com",NOERROR,,,,,,,,,,
[x],sleepalice88.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],sm.community-staging.it-managed.meraki.com,2.22.37.159,"n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,"yuzje69629.stage.lithium.com, community-staging.meraki.com.edgekey.net, e5919.dsca.akamaiedge.net",,"2001:2030:21:1a9::171f, 2001:2030:21:1a7::171f",,,,,,,
[x],sm.community.it-managed.meraki.com,23.45.102.2,"n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,"yuzje69629.lithium.com, community.meraki.com.edgekey.net, e5919.dsca.akamaiedge.net",,"2a02:26f0:1700:78b::171f, 2a02:26f0:1700:792::171f",,,,,,,
[x],smadem.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],smadem.meraki-go.ikarem.io,,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],smalladi.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],smalladi.meraki-go.ikarem.io,52.9.40.198,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com, dns-external-master.amazon.com, root.amazon.com",NOERROR,"dev-proxy.meraki.com, dev005.meraki.com, ec2-52-9-40-198.us-west-1.compute.amazonaws.com, dev006.meraki.com",,,,,,,,,
[x],smarshall.dev.ikarem.io,,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],smarshall.dev.network-auth.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],smarshall.meraki-go.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],smartphone.cisco.com,72.163.4.154,"ns1.cisco.com, postmaster.cisco.com",NOERROR,redirect.cisco.com,,2001:420:1101:1::b,,,,,,,
[x],smartservices.xglb.cisco.com,72.163.15.137,,NOERROR,,,,,,,,,,
[x],smartsheet.cisco.com,"3.215.234.162, 50.17.38.43, 3.219.210.1","ns-919.awsdns-50.net, awsdns-hostmaster.amazon.com",NOERROR,sso.smartsheet.com,"ns-1242.awsdns-27.org, ns-1588.awsdns-06.co.uk, ns-490.awsdns-61.com, ns-919.awsdns-50.net",,,,,,,,
[x],smb-register.xglb.cisco.com,72.163.15.137,,NOERROR,,,,,,,,,,
[x],sminchin.dev.network-auth.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],sminchin.meraki-go.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],smo.cisco.com,"173.37.181.37, 72.163.5.201, 64.102.255.44, 173.37.146.41","ns1.cisco.com, postmaster.cisco.com",NOERROR,gtrc-tools.cisco.com,"ns1.cisco.com, ns3.cisco.com, ns2.cisco.com","2001:420:1101:6::a, 2001:420:2041:5000::a, 2001:420:1201:7::a",,,,,,,
[x],smoketown.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],smr.meraki.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],smsf1-tmp.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],smtp.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],snalla.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],snalla.dev.network-auth.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
