new,host,a,soa,status_code,cname,ns,aaaa,cdn,cdn-name,has_internal_ips,internal_ips,txt,caa,mx
[x],0.sdg.artifactory.int.ikarem.io,"54.215.169.169, 54.215.162.74","ns-1096.awsdns-09.org, awsdns-hostmaster.amazon.com",NOERROR,"sdg.artifactory.int.ikarem.io, sdg-fallback.artifactory.int.ikarem.io, artifactory.int.ikarem.io",,,,,,,,,
[x],000-996.okta.dev2.network-auth.com,184.169.255.35,"dns-external-master.amazon.com, root.amazon.com",NOERROR,ec2-184-169-255-35.us-west-1.compute.amazonaws.com,,,,,,,,,
[x],07a.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],0f23.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com","ns-112.awsdns-14.com, ns-1423.awsdns-49.org, ns-1777.awsdns-30.co.uk, ns-855.awsdns-42.net",,,,,,,,
[x],10-3-10-219.device1.jscoles-testing.ikarem.io,10.3.10.219,"ns-765.awsdns-31.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,10.3.10.219,,,
[x],1232mun-falltagomi.artifactory.prod.ikarem.io,"54.241.79.109, 52.8.126.9, 52.9.39.24, 52.53.139.200, 52.8.151.200, 54.193.63.128, 50.18.90.209, 54.151.91.117","ns-1466.awsdns-55.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],13okta-self-okta-self-servicemun-falltagomi.artifactory.prod.ikarem.io,"54.177.53.43, 54.183.104.128, 54.219.125.151, 54.215.76.237, 50.18.90.209, 54.183.148.32, 54.151.91.117, 54.241.79.109","ns-1466.awsdns-55.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],14-courier.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],155-9-203-38.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],155-9-213-27.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],155-9-223-26.dev.ikarem.io,52.9.40.198,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"dev-proxy.meraki.com, dev005.meraki.com, ec2-52-9-40-198.us-west-1.compute.amazonaws.com",,,,,,,,,
[x],155-9-223-41.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],155-9-51-39.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],16-aws.dev.ikarem.io,52.9.40.198,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"dev-proxy.meraki.com, dev005.meraki.com, ec2-52-9-40-198.us-west-1.compute.amazonaws.com",,,,,,,,,
[x],17-121-112-1.dev.ikarem.io,52.9.40.198,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"dev-proxy.meraki.com, dev005.meraki.com, ec2-52-9-40-198.us-west-1.compute.amazonaws.com",,,,,,,,,
[x],17-121-112-69.dev.ikarem.io,52.9.40.198,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"dev-proxy.meraki.com, dev005.meraki.com, ec2-52-9-40-198.us-west-1.compute.amazonaws.com",,,,,,,,,
[x],17-121-112-89.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],17-121-117-79.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],17-121-118-4.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com","ns-112.awsdns-14.com, ns-1423.awsdns-49.org, ns-1777.awsdns-30.co.uk, ns-855.awsdns-42.net",,,,,,,,
[x],17-121-120-74.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com","ns-112.awsdns-14.com, ns-1423.awsdns-49.org, ns-1777.awsdns-30.co.uk, ns-855.awsdns-42.net",,,,,,,,
[x],17-121-123-38.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],17-121-124-21.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],17-121-124-47.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],17-121-124-49.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],17-121-125-82.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],17-121-127-43.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],17-121-127-57.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],17-58-100-23.dev.ikarem.io,52.9.40.198,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"dev-proxy.meraki.com, dev005.meraki.com, ec2-52-9-40-198.us-west-1.compute.amazonaws.com",,,,,,,,,
[x],17-58-100-39.dev.ikarem.io,52.9.40.198,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"dev-proxy.meraki.com, dev005.meraki.com, ec2-52-9-40-198.us-west-1.compute.amazonaws.com",,,,,,,,,
[x],173-38-113-0.cisco.com,173.38.113.1,"ns1.cisco.com, postmaster.cisco.com",NOERROR,,,,,,,,,,
[x],17sonybravia.dev.network-auth.com,52.52.168.165,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"dev001.meraki.com, ec2-52-52-168-165.us-west-1.compute.amazonaws.com",,,,,,,,,
[x],18engine.dev.ikarem.io,52.9.40.198,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"dev-proxy.meraki.com, dev005.meraki.com, ec2-52-9-40-198.us-west-1.compute.amazonaws.com",,,,,,,,,
[x],18tqawww-harrisbank.dev.network-auth.com,52.52.168.165,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"dev001.meraki.com, ec2-52-52-168-165.us-west-1.compute.amazonaws.com",,,,,,,,,
[x],19-tqavgn-harrisbank.dev.network-auth.com,52.52.168.165,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"dev001.meraki.com, ec2-52-52-168-165.us-west-1.compute.amazonaws.com",,,,,,,,,
[x],1calendar-fra-pro--coinbase-w3ica.artifactory.ikarem.io,"52.9.39.24, 54.241.79.109, 54.215.76.237, 52.8.151.200, 54.151.91.117, 54.183.104.128, 52.53.139.200, 52.8.126.9","ns-1367.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],28-39.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],315d0.sdg.artifactory.int.ikarem.io,"54.215.162.74, 54.215.169.169","ns-1096.awsdns-09.org, awsdns-hostmaster.amazon.com",NOERROR,"sdg.artifactory.int.ikarem.io, sdg-fallback.artifactory.int.ikarem.io, artifactory.int.ikarem.io",,,,,,,,,
[x],40e2.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],423g23.dev.ikarem.io,52.9.40.198,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"dev-proxy.meraki.com, dev005.meraki.com, ec2-52-9-40-198.us-west-1.compute.amazonaws.com",,,,,,,,,
[x],4e8b.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],7wkb5.dev.ikarem.io,52.9.40.198,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"dev-proxy.meraki.com, dev005.meraki.com, ec2-52-9-40-198.us-west-1.compute.amazonaws.com",,,,,,,,,
[x],7wkdd.artifactory.ikarem.io,"54.193.63.128, 52.53.139.200, 54.219.125.151, 52.8.151.200, 54.215.76.237, 54.177.53.43, 54.183.104.128, 52.53.39.202","ns-1367.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],8sr8c.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],a-96-118-5-49.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],a-96-119-181-94.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com","ns-112.awsdns-14.com, ns-1423.awsdns-49.org, ns-1777.awsdns-30.co.uk, ns-855.awsdns-42.net",,,,,,,,
[x],a-96-119-225-56.dev.ikarem.io,,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],a-p-infwjmp-01a.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],a46.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],a52arora.dev.network-auth.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],a52arora.meraki-go.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],aaa.meraki.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],aaesample-dev.cloudapps.cisco.com,,,NOERROR,lae-lb-rtp1-int.cloudapps.cisco.com,,,,,,,,,
[x],aahackne-sec.labs.cdo.cisco.com,"52.7.129.33, 54.205.124.254","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,lab-us-east-1-aahackne-sec-nlb-9677fc4b177297b7.elb.us-east-1.amazonaws.com,,,,,,,,,
[x],aalawy.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],aalawy.dev.network-auth.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],aalawy.meraki-go.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],aaydin.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],abbas.dev.ikarem.io,52.9.40.198,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"dev-proxy.meraki.com, dev005.meraki.com, ec2-52-9-40-198.us-west-1.compute.amazonaws.com",,,,,,,,,
[x],abbas.meraki-go.ikarem.io,52.9.40.198,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"dev-proxy.meraki.com, dev005.meraki.com, ec2-52-9-40-198.us-west-1.compute.amazonaws.com",,,,,,,,,
[x],abdhamma.dev.network-auth.ikarem.io,52.9.40.198,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"dev-proxy.meraki.com, dev005.meraki.com, ec2-52-9-40-198.us-west-1.compute.amazonaws.com",,,,,,,,,
[x],abdhamma.meraki-go.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],abhishan.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],abm.cisco.com,"23.32.238.51, 23.32.238.64","n0dscb.akamai.net, hostmaster.akamai.com",NOERROR,"v3gateway.folloze.com, custom-hostname.edgesuite.net, a1210.dscb.akamai.net",,"2a02:26f0:3500:12::1730:17a1, 2a02:26f0:3500:12::1730:1786",,,,,_fastly-domain-delegation-MQYgWUbsFsnz1ZN1abnz,,
[x],abmc.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],aca.cisco.com,"173.38.123.152, 72.163.5.201, 64.102.255.44, 173.37.146.41","ns1.cisco.com, postmaster.cisco.com",NOERROR,,"ns3.cisco.com, ns2.cisco.com, ns1.cisco.com","2001:420:1101:6::a, 2001:420:2041:5000::a, 2001:420:1201:7::a",,,,,,,
[x],academy.cisco.com,"72.163.4.154, 72.163.5.201, 64.102.255.44, 173.37.146.41","ns1.cisco.com, postmaster.cisco.com",NOERROR,redirect.cisco.com,"ns2.cisco.com, ns3.cisco.com, ns1.cisco.com","2001:420:1101:6::a, 2001:420:2041:5000::a, 2001:420:1201:7::a, 2001:420:1101:1::b",,,,,,,
[x],access-controller-vpn.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],access-mta23.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],accessalt.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],accessapi.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],accesscms.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],accesserror-backupssso-miembros.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],accessjira.dev.ikarem.io,,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],accesssystem-v2-debug-help-corporate-gitvpn.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],account-debug-upgrade-paymentsmysqlbackups-www-test.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],account-meraki.dev.meraki.com,52.52.168.165,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"dev001.meraki.com, ec2-52-52-168-165.us-west-1.compute.amazonaws.com",,,,,,,,,
[x],account-staging.meraki.com,209.206.52.222,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,dal895.meraki.com,,2620:12f:c002:0:46ae:25ff:fee2:d400,,,,,,,
[x],account-staging.network-auth.com,209.206.52.222,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,dal895.meraki.com,,2620:12f:c002:0:46ae:25ff:fee2:d400,,,,,,,
[x],account-staging.sandbox.meraki.com,209.206.49.56,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sdg307.meraki.com,,2620:12f:c000:0:92e2:baff:fecb:f26c,,,,,,,
[x],account-stagingmiembros.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],account-vpn-upload-wwww-backups-www-test.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],account.network-auth.com,209.206.49.184,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,sdg953.meraki.com,,2620:12f:c000:0:3673:2dff:fe46:ba3c,,,,,,,
[x],account.test.ikarem.io,52.52.96.66,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"usw471.meraki.com, ec2-52-52-96-66.us-west-1.compute.amazonaws.com",,,,,,,,,
[x],account.yatinjan.ephemeral.exp.ikarem.io,54.68.250.131,"ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,k8s-cloudeph-ephemera-65535ad360-c74266fd45380eba.elb.us-west-2.amazonaws.com,,,,,,,,,
[x],accounts-login22.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],accounts-postgresmx.dev.ikarem.io,52.56.239.190,,NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],ace.cisco.com,173.37.223.157,,NOERROR,dng-prod.xglb.cisco.com,,,,,,,,,
[x],achakrab.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],achakrab.dev.network-auth.ikarem.io,52.9.40.198,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"dev-proxy.meraki.com, dev005.meraki.com, ec2-52-9-40-198.us-west-1.compute.amazonaws.com",,,,,,,,,
[x],achakrab.meraki-go.ikarem.io,52.9.40.198,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"dev-proxy.meraki.com, dev005.meraki.com, ec2-52-9-40-198.us-west-1.compute.amazonaws.com",,,,,,,,,
[x],acme.cisco.com,"52.45.4.4, 54.83.40.21, 18.204.82.159","ns-791.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,"ns-41.awsdns-05.com, ns-791.awsdns-34.net, ns-1236.awsdns-26.org, ns-1991.awsdns-56.co.uk",,,,,,,,
[x],acpatel.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],acpatel.dev.network-auth.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],acpatel.meraki-go.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],adamberm.dev.network-auth.ikarem.io,52.9.40.198,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"dev-proxy.meraki.com, dev005.meraki.com, ec2-52-9-40-198.us-west-1.compute.amazonaws.com",,,,,,,,,
[x],adbmail.dev.ikarem.io,52.9.40.198,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"dev-proxy.meraki.com, dev005.meraki.com, ec2-52-9-40-198.us-west-1.compute.amazonaws.com",,,,,,,,,
[x],admin-configwiki.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],admin-ssh-docs.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],admin.dev.meraki.com,52.52.168.165,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"dev001.meraki.com, ec2-52-52-168-165.us-west-1.compute.amazonaws.com",,,,,,,,,
[x],admincloud-x2p-edge-http-shv-01-otp1.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com","ns-112.awsdns-14.com, ns-1423.awsdns-49.org, ns-1777.awsdns-30.co.uk, ns-855.awsdns-42.net",,,,,,,,
[x],adminconfluence-betaipv6.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com","ns-112.awsdns-14.com, ns-1423.awsdns-49.org, ns-1777.awsdns-30.co.uk, ns-855.awsdns-42.net",,,,,,,,
[x],adminipv6.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],adminvpn-downloadslink-tunnel-mx.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],admisiondca.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],ads.cisco.com,173.38.1.112,"ns1.cisco.com, postmaster.cisco.com",NOERROR,sym-rtp-002.cisco.com,,,,,,,,,
[x],ae.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],ae.dev.network-auth.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],ae.meraki-go.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],aer-opgw-1.cisco.com,173.38.212.133,"ns1.cisco.com, postmaster.cisco.com",NOERROR,,,,,,,,,,
[x],aer01-hda1-asavpn-cluster-1.cisco.com,144.254.221.43,"ns1.cisco.com, postmaster.cisco.com",NOERROR,,,,,,,,,,
[x],aer01-hda1-vpn-cluster-1.cisco.com,144.254.221.38,"ns1.cisco.com, postmaster.cisco.com",NOERROR,,,,,,,,,,
[x],aer01-hda1-vpn-cluster-1.dev.ikarem.io,52.9.40.198,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"dev-proxy.meraki.com, dev005.meraki.com, ec2-52-9-40-198.us-west-1.compute.amazonaws.com",,,,,,,,,
[x],aer01-mda1-corp-gw1-ten0-0-0.cisco.com,173.38.208.178,"ns1.cisco.com, postmaster.cisco.com",NOERROR,,,2001:420:4620:1b::1,,,,,,,
[x],aer01-mda1-corp-gw1-ten1-0-0.cisco.com,173.38.208.130,"ns1.cisco.com, postmaster.cisco.com",NOERROR,,,2001:420:4620:d::1,,,,,,,
[x],aer01-mda1-dmzdos-grd1-tmsx0-0.cisco.com,173.38.209.33,"ns1.cisco.com, postmaster.cisco.com",NOERROR,,,,,,,,,,
[x],aer01-mda1-dmznet-rp1-gig0-0-0.cisco.com,173.38.209.194,"ns1.cisco.com, postmaster.cisco.com",NOERROR,,,,,,,,,,
[x],aer01-mda1-dmznet-rp1-gig0-1-0.cisco.com,173.38.209.198,"ns1.cisco.com, postmaster.cisco.com",NOERROR,,,,,,,,,,
[x],aer01-mda2-cci-gw2-te2-3-0.cisco.com,173.38.208.197,"ns1.cisco.com, postmaster.cisco.com",NOERROR,,,,,,,,,,
[x],aer01-mda2-corp-gw2-ten1-0-0.cisco.com,173.38.208.131,"ns1.cisco.com, postmaster.cisco.com",NOERROR,,,2001:420:4620:d::2,,,,,,,
[x],aer01-mda2-ipv6-gw2-gig0-0-0.cisco.com,173.38.192.54,"ns1.cisco.com, postmaster.cisco.com",NOERROR,,,,,,,,,,
[x],aer01-mda2-isp-gw2-ten1-2-0.cisco.com,173.38.209.35,"ns1.cisco.com, postmaster.cisco.com",NOERROR,,,,,,,,,,
[x],aer01-wxcvoip-sbc1-loo100.cisco.com,128.107.10.115,"ns1.cisco.com, postmaster.cisco.com",NOERROR,,,,,,,,,,
[x],aet-7-2-1.dev.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],agbodike.dev.ikarem.io,52.9.40.198,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"dev-proxy.meraki.com, dev005.meraki.com, ec2-52-9-40-198.us-west-1.compute.amazonaws.com",,,,,,,,,
[x],agbodike.dev.network-auth.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
[x],agbodike.meraki-go.ikarem.io,52.56.239.190,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"dev-proxy.meraki.com, dev006.meraki.com",,,,,,,,,
