new,host,a,soa,txt,status_code,ns,cname,cdn,cdn-name,aaaa,caa,mx
[x],a1i1007mssql.smtp2go.com,104.196.201.1,"jim.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,"www.smtp2go.com, smtp2go.wpengine.com",True,google,,,
[x],a1i1016mysql.smtp2go.com,104.196.201.1,"jim.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,"www.smtp2go.com, smtp2go.wpengine.com",True,google,,,
[x],ais.smtp2go.com,104.196.201.1,"jim.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,"www.smtp2go.com, smtp2go.wpengine.com",True,google,,,
[x],bid46a6.groupmail.smtp2go.com,104.196.201.1,"jim.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,"www.smtp2go.com, smtp2go.wpengine.com",True,google,,,
[x],error-accountcache-gcp-rdpgw.smtp2go.com,104.196.201.1,"jim.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,"www.smtp2go.com, smtp2go.wpengine.com",True,google,,,
[x],raw-a1i1011.smtp2go.com,104.196.201.1,"jim.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,"www.smtp2go.com, smtp2go.wpengine.com",True,google,,,
[x],status-tempalpha-cms.smtp2go.com,104.196.201.1,"jim.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,"www.smtp2go.com, smtp2go.wpengine.com",True,google,,,
[x],tor157-158-pda.groupmail.smtp2go.com,104.196.201.1,"jim.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,"www.smtp2go.com, smtp2go.wpengine.com",True,google,,,
,a.acc.smtp2go.com,104.196.201.1,"jim.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,"www.smtp2go.com, smtp2go.wpengine.com",True,google,,,
,a0i92.smtp2go.com,104.196.201.1,"jim.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,"www.smtp2go.com, smtp2go.wpengine.com",True,google,,,
,a1i1000.smtp2go.com,43.228.187.232,"ns2.smtpcorp.com, hostmaster.smtp2go.com",v=spf1 A -all,NOERROR,,,,,,,
,a1i1001.smtp2go.com,43.228.187.233,"ns2.smtpcorp.com, hostmaster.smtp2go.com",v=spf1 A -all,NOERROR,,,,,,,
,a1i1002.smtp2go.com,43.228.187.234,"ns2.smtpcorp.com, hostmaster.smtp2go.com",v=spf1 A -all,NOERROR,,,,,,,
,a1i1003.smtp2go.com,43.228.187.235,"ns2.smtpcorp.com, hostmaster.smtp2go.com",v=spf1 A -all,NOERROR,,,,,,,
,a1i1007.smtp2go.com,43.228.187.239,"ns2.smtpcorp.com, hostmaster.smtp2go.com",v=spf1 A -all,NOERROR,,,,,,,
