new,host,a,cname,mx,soa,ns,txt,caa,status_code,cdn,cdn-name,aaaa
[x],api-futures.kucoin.com,"104.18.8.15, 104.18.9.15",api-futures.kucoin.com.cdn.cloudflare.net,,"ns1.cloudflare.net, dns.cloudflare.com",,,,NOERROR,True,cloudflare,"2606:4700::6812:80f, 2606:4700::6812:90f"
[x],api-sandbox-futures.kucoin.com,"104.18.9.15, 104.18.8.15",api-sandbox-futures.kucoin.com.cdn.cloudflare.net,,"ns1.cloudflare.net, dns.cloudflare.com",,,,NOERROR,True,cloudflare,"2606:4700::6812:80f, 2606:4700::6812:90f"
[x],api.kucoin.com,"104.18.9.15, 104.18.8.15",api.kucoin.com.cdn.cloudflare.net,,"ns1.cloudflare.net, dns.cloudflare.com",,,,NOERROR,True,cloudflare,"2606:4700::6812:90f, 2606:4700::6812:80f"
[x],assethub.kucoin.com,"104.18.8.15, 104.18.9.15",www.kucoin.com.cdn.cloudflare.net,,"ns1.cloudflare.net, dns.cloudflare.com",,,,NOERROR,True,cloudflare,"2606:4700::6812:80f, 2606:4700::6812:90f"
[x],assets-cdn.kucoin.com,,d1oswqws5r4ay5.cloudfront.net,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",,,,NOERROR,,,
[x],assets-currency.kucoin.com,"18.66.112.55, 18.66.112.35, 18.66.112.32, 18.66.112.34",d2r4dukiu9zvbr.cloudfront.net,,"ns-643.awsdns-16.net, awsdns-hostmaster.amazon.com","ns-1721.awsdns-23.co.uk, ns-221.awsdns-27.com, ns-643.awsdns-16.net, ns-1412.awsdns-48.org",,,NOERROR,True,cloudfront,"2600:9000:223f:3400:0:5762:95c0:93a1, 2600:9000:223f:6200:0:5762:95c0:93a1, 2600:9000:223f:a00:0:5762:95c0:93a1, 2600:9000:223f:a800:0:5762:95c0:93a1, 2600:9000:223f:9a00:0:5762:95c0:93a1, 2600:9000:223f:6e00:0:5762:95c0:93a1, 2600:9000:223f:8a00:0:5762:95c0:93a1, 2600:9000:223f:e400:0:5762:95c0:93a1"
[x],assets-sdb.kucoin.com,"13.32.121.66, 13.32.121.24, 13.32.121.34, 13.32.121.91",dfqdga3m7zcij.cloudfront.net,,"ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com","ns-636.awsdns-15.net, ns-1508.awsdns-60.org, ns-1591.awsdns-06.co.uk, ns-2.awsdns-00.com",,,NOERROR,True,cloudfront,"2600:9000:236e:ec00:1a:9196:46c0:93a1, 2600:9000:236e:0:1a:9196:46c0:93a1, 2600:9000:236e:9a00:1a:9196:46c0:93a1, 2600:9000:2240:e200:1a:9196:46c0:93a1, 2600:9000:2240:e600:1a:9196:46c0:93a1, 2600:9000:236e:c600:1a:9196:46c0:93a1, 2600:9000:2240:3200:1a:9196:46c0:93a1, 2600:9000:236e:dc00:1a:9196:46c0:93a1"
[x],assets-v2.kucoin.com,"52.85.132.101, 52.85.132.92, 52.85.132.60, 52.85.132.116, 205.251.193.79, 205.251.195.107, 205.251.197.154, 205.251.198.45",d2wbgoau0axdr1.cloudfront.net,,"ns-1581.awsdns-05.co.uk, awsdns-hostmaster.amazon.com","ns-1581.awsdns-05.co.uk, ns-875.awsdns-45.net, ns-335.awsdns-41.com, ns-1434.awsdns-51.org",,,NOERROR,True,cloudfront,"2600:9000:2073:b000:a:c9b:7740:93a1, 2600:9000:2073:4200:a:c9b:7740:93a1, 2600:9000:2073:1400:a:c9b:7740:93a1, 2600:9000:2073:ce00:a:c9b:7740:93a1, 2600:9000:2073:8800:a:c9b:7740:93a1, 2600:9000:2073:f200:a:c9b:7740:93a1, 2600:9000:2073:d200:a:c9b:7740:93a1, 2600:9000:2073:a800:a:c9b:7740:93a1"
[x],assets.kucoin.com,"18.160.18.35, 18.160.18.93, 18.160.18.77, 18.160.18.43, 205.251.192.208, 205.251.194.76, 205.251.196.181, 205.251.199.132",d17wtqqc1fsfix.cloudfront.net,,"ns-1924.awsdns-48.co.uk, awsdns-hostmaster.amazon.com","ns-1205.awsdns-22.org, ns-1924.awsdns-48.co.uk, ns-208.awsdns-26.com, ns-588.awsdns-09.net",,,NOERROR,True,cloudfront,"2600:9000:250b:1e00:17:4924:2640:93a1, 2600:9000:250b:8e00:17:4924:2640:93a1, 2600:9000:250b:4c00:17:4924:2640:93a1, 2600:9000:250b:0:17:4924:2640:93a1, 2600:9000:250b:3000:17:4924:2640:93a1, 2600:9000:250b:c800:17:4924:2640:93a1, 2600:9000:250b:dc00:17:4924:2640:93a1, 2600:9000:250b:7200:17:4924:2640:93a1"
[x],attachments.kucoin.com,,d2cljfxtwt8tju.cloudfront.net,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",,,,NOERROR,,,
