input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,cdn,tls_wildcard_certificate
a.researchgate.net,,526,,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,a.researchgate.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-29T06:44:00Z,2023-10-31T06:43:59Z,CN=*.researchgate.net,*.researchgate.net,researchgate.net,"CN=AlphaSSL CA - SHA256 - G2, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G2,GlobalSign nv-sa,3c8cf60449cd0cc394dbca49bee7ed86,2a58bdf55806990f41ab8585ab1e8c424d123b5ba48b16535a73f9a830962bc7,ctls,a.researchgate.net,cloudflare,443,https://a.researchgate.net:443,https,cloudflare,,GET,104.17.32.105,/,565996499,,104.17.33.105,Cloudflare Bot Management,1,False,True,True
blog.researchgate.net,Just a moment...,403,7086,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,www.researchgate.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-29T06:44:00Z,2023-10-31T06:43:59Z,CN=*.researchgate.net,*.researchgate.net,researchgate.net,"CN=AlphaSSL CA - SHA256 - G2, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G2,GlobalSign nv-sa,3c8cf60449cd0cc394dbca49bee7ed86,2a58bdf55806990f41ab8585ab1e8c424d123b5ba48b16535a73f9a830962bc7,ctls,www.researchgate.net,cloudflare,443,https://blog.researchgate.net:443,https,cloudflare,text/html,GET,104.17.33.105,/,-1549610024,https://www.researchgate.net/blog,104.17.32.105,Cloudflare Bot Management,87,False,True,True
bounce.researchgate.net,ResearchGate - Temporarily Unavailable,530,31865,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,bounce.researchgate.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-29T06:44:00Z,2023-10-31T06:43:59Z,CN=*.researchgate.net,*.researchgate.net,researchgate.net,"CN=AlphaSSL CA - SHA256 - G2, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G2,GlobalSign nv-sa,3c8cf60449cd0cc394dbca49bee7ed86,2a58bdf55806990f41ab8585ab1e8c424d123b5ba48b16535a73f9a830962bc7,ctls,bounce.researchgate.net,cloudflare,443,https://bounce.researchgate.net:443,https,cloudflare,text/html,GET,104.17.33.105,/,1656926429,,104.17.32.105,Cloudflare,36,False,True,True
dmarc.researchgate.net,ResearchGate - Temporarily Unavailable,530,31863,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,dmarc.researchgate.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-29T06:44:00Z,2023-10-31T06:43:59Z,CN=*.researchgate.net,*.researchgate.net,researchgate.net,"CN=AlphaSSL CA - SHA256 - G2, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G2,GlobalSign nv-sa,3c8cf60449cd0cc394dbca49bee7ed86,2a58bdf55806990f41ab8585ab1e8c424d123b5ba48b16535a73f9a830962bc7,ctls,dmarc.researchgate.net,cloudflare,80,http://dmarc.researchgate.net:80,http,cloudflare,text/html,GET,104.17.32.105,/,-629983659,https://dmarc.researchgate.net/,104.17.33.105,Cloudflare,36,False,True,True
enterpriseregistration.researchgate.net,Service,404,1565,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.196.0.0/18,,,,,,,,,,,,,,,,,,azure,80,http://enterpriseregistration.researchgate.net:80,http,,text/html,GET,20.190.137.40,/,-2070773535,,20.190.137.40,HSTS,14,False,True,
explore.researchgate.net,Security check,403,7702,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,help.researchgate.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-13T10:28:14Z,2023-08-14T10:28:13Z,CN=help.researchgate.net,help.researchgate.net,help.researchgate.net,"CN=AlphaSSL CA - SHA256 - G2, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G2,GlobalSign nv-sa,c8047f1ed62be585643fbdd050cc1aed,ac8ac2d07055f636f3ef39e21a8eaaef97669b2efed2a9be79ad60b823569c1c,ctls,help.researchgate.net,cloudflare,443,https://explore.researchgate.net:443,https,cloudflare,text/html,GET,104.17.32.105,/,1771544777,https://help.researchgate.net/hc/en-us,104.17.33.105,Cloudflare,103,False,True,
feedback.researchgate.net,Just a moment...,403,7103,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,www.researchgate.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-29T06:44:00Z,2023-10-31T06:43:59Z,CN=*.researchgate.net,*.researchgate.net,researchgate.net,"CN=AlphaSSL CA - SHA256 - G2, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G2,GlobalSign nv-sa,3c8cf60449cd0cc394dbca49bee7ed86,2a58bdf55806990f41ab8585ab1e8c424d123b5ba48b16535a73f9a830962bc7,ctls,www.researchgate.net,cloudflare,443,https://feedback.researchgate.net:443,https,cloudflare,text/html,GET,104.17.32.105,/,1474639699,https://www.researchgate.net/contact,104.17.33.105,Cloudflare Bot Management,87,False,True,True
help.researchgate.net,Security check,403,7648,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,help.researchgate.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-13T10:28:14Z,2023-08-14T10:28:13Z,CN=help.researchgate.net,help.researchgate.net,help.researchgate.net,"CN=AlphaSSL CA - SHA256 - G2, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G2,GlobalSign nv-sa,c8047f1ed62be585643fbdd050cc1aed,ac8ac2d07055f636f3ef39e21a8eaaef97669b2efed2a9be79ad60b823569c1c,ctls,help.researchgate.net,cloudflare,443,https://help.researchgate.net:443,https,cloudflare,text/html,GET,104.16.53.111,/,-1279294674,https://help.researchgate.net/hc/en-us,104.16.51.111,Cloudflare,103,False,True,
news.researchgate.net,Just a moment...,403,6999,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,www.researchgate.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-29T06:44:00Z,2023-10-31T06:43:59Z,CN=*.researchgate.net,*.researchgate.net,researchgate.net,"CN=AlphaSSL CA - SHA256 - G2, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G2,GlobalSign nv-sa,3c8cf60449cd0cc394dbca49bee7ed86,2a58bdf55806990f41ab8585ab1e8c424d123b5ba48b16535a73f9a830962bc7,ctls,www.researchgate.net,cloudflare,80,http://news.researchgate.net:80,http,cloudflare,text/html,GET,104.17.32.105,/,-1191989493,https://www.researchgate.net/blog,104.17.33.105,Cloudflare Bot Management,87,False,True,True
perf.researchgate.net,ResearchGate - Temporarily Unavailable,530,31860,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,perf.researchgate.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-29T06:44:00Z,2023-10-31T06:43:59Z,CN=*.researchgate.net,*.researchgate.net,researchgate.net,"CN=AlphaSSL CA - SHA256 - G2, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G2,GlobalSign nv-sa,3c8cf60449cd0cc394dbca49bee7ed86,2a58bdf55806990f41ab8585ab1e8c424d123b5ba48b16535a73f9a830962bc7,ctls,perf.researchgate.net,cloudflare,443,https://perf.researchgate.net:443,https,cloudflare,text/html,GET,104.17.33.105,/,-118289959,,104.17.32.105,Cloudflare,36,False,True,True
researchgate.net,ResearchGate | Find and share research,200,38597,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,www.researchgate.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-29T06:44:00Z,2023-10-31T06:43:59Z,CN=*.researchgate.net,*.researchgate.net,researchgate.net,"CN=AlphaSSL CA - SHA256 - G2, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G2,GlobalSign nv-sa,3c8cf60449cd0cc394dbca49bee7ed86,2a58bdf55806990f41ab8585ab1e8c424d123b5ba48b16535a73f9a830962bc7,ctls,www.researchgate.net,cloudflare,443,https://researchgate.net:443,https,cloudflare,text/html,GET,104.17.33.105,/,-1065278746,https://www.researchgate.net/,104.17.32.105,HSTS,216,False,True,True
wordpress.researchgate.net,403 Forbidden,403,146,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,wordpress.researchgate.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-29T06:44:00Z,2023-10-31T06:43:59Z,CN=*.researchgate.net,*.researchgate.net,researchgate.net,"CN=AlphaSSL CA - SHA256 - G2, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G2,GlobalSign nv-sa,3c8cf60449cd0cc394dbca49bee7ed86,2a58bdf55806990f41ab8585ab1e8c424d123b5ba48b16535a73f9a830962bc7,ctls,wordpress.researchgate.net,cloudflare,80,http://wordpress.researchgate.net:80,http,cloudflare,text/html,GET,104.17.32.105,/,-1728692616,https://wordpress.researchgate.net/,104.17.33.105,Cloudflare Bot Management,8,False,True,True
