new,host,a,soa,status_code,ns,cname,cdn,cdn-name,has_internal_ips,internal_ips,aaaa,caa,txt,mx
[x],0-11.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],0-courier2.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,"ns1.mtnbusiness.net, ns3.mtnbusiness.net",,,,,,,,,
[x],01.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],02b.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],07.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],07a.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],0fd7.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],0fzho9yfzw.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],0ler.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],10-5-10-5.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],100-91.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],10b.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],10convert.staging-my.mtn.com,,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],11-courier2.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],116bde-s4u.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,"ns3.mtnbusiness.net, ns1.mtnbusiness.net",,,,,,,,,
[x],1188.mtn.com.gh,89.234.37.32,"ns1.mtnonlineservices.net, hostmaster.mtn.com.gh",NOERROR,,,,,,,,,,
[x],155-9-171-81.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],155-9-171-93.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],155-9-171-98.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],155-9-172-20.staging-my.mtn.com,20.87.205.64,,NOERROR,,,,,,,,,,
[x],155-9-173-73.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],155-9-182-32.staging-my.mtn.com,,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],155-9-183-29.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],155-9-183-60.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],155-9-183-95.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],155-9-184-71.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],155-9-185-4.staging-my.mtn.com,,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],155-9-185-52.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],155-9-185-84.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,"ns3.mtnbusiness.net, ns1.mtnbusiness.net",,,,,,,,,
[x],155-9-187-5.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],155-9-187-6.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],155-9-187-96.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],155-9-192-95.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],155-9-193-51.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],155-9-193-66.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],155-9-197-96.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],155-9-198-68.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],155-9-199-14.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],155-9-199-34.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],155-9-202-12.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],155-9-202-63.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],155-9-202-92.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
[x],155-9-203-24.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,"ns3.mtnbusiness.net, ns1.mtnbusiness.net",,,,,,,,,
[x],155-9-203-38.staging-my.mtn.com,20.87.205.64,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,,
