new,host,a,cname,soa,status_code,cdn,cdn-name,ns,has_internal_ips,internal_ips,txt,mx,aaaa
[x],abi.upwork.com,"104.18.90.237, 104.18.89.237",,"fay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],adobe.upwork.com,"104.18.90.237, 104.18.89.237",,"fay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],agate.upwork.com,,,"ns-1329.awsdns-38.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-119.awsdns-14.com, ns-1329.awsdns-38.org, ns-1985.awsdns-56.co.uk, ns-673.awsdns-20.net",,,,,
[x],aljazeera.upwork.com,"104.18.90.237, 104.18.89.237",,"fay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],amazon.upwork.com,"104.18.90.237, 104.18.89.237",,"fay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],amway.upwork.com,"104.18.90.237, 104.18.89.237",,"fay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],analytics.upwork.com,"104.18.90.237, 104.18.89.237",,"fay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],aol.upwork.com,"104.18.89.237, 104.18.90.237",,"fay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],api-integration-stage.upwork.com,"104.18.90.237, 104.18.89.237",,"fay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],api-staging.upwork.com,"104.18.90.237, 104.18.89.237",,"fay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],asurion.upwork.com,"104.18.89.237, 104.18.90.237",,"fay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],auth-staging.upwork.com,"104.18.89.237, 104.18.90.237",,"fay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],auth.upwork.com,"104.18.90.237, 104.18.89.237",,"fay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],automate.z.upwork.com,34.102.236.132,"09ca4a848d5aae0ecf8a1e392677d071.upwork.luminatesec.com, connectivity.prod.us-west1.luminatesec.com, application01.connectivity.prod.us-west1.luminatesec.com","ns-501.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,
[x],bandwidth.upwork.com,"104.18.90.237, 104.18.89.237",,"fay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],beta.upwork.com,"104.18.90.237, 104.18.89.237",,"fay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,google-site-verification=Lj08ISM74leKuU19BK6PGPLlKh9sIJs-TbIIl_VDnEs,,
[x],blog.upwork.com,"104.18.90.237, 104.18.89.237",,"fay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],bloomberg.upwork.com,"104.18.89.237, 104.18.90.237",,"fay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],brand.upwork.com,"104.18.89.237, 104.18.90.237",,"fay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],care.upwork.com,"104.18.89.237, 104.18.90.237",,"fay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],careers.upwork.com,"104.18.89.237, 104.18.90.237",,"fay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],chegg.upwork.com,"104.18.90.237, 104.18.89.237",,"fay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],cloudflare.upwork.com,"104.18.89.237, 104.18.90.237",,"fay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],community-static.upwork.com,"104.18.89.237, 104.18.90.237",,"fay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],community.stage.upwork.com,"18.66.147.63, 18.66.147.58, 18.66.147.6, 18.66.147.117","bpyhf24739.stage.lithium.com, du3buspql5g5f.cloudfront.net",,NOERROR,True,cloudfront,,,,,,
[x],community.upwork.com,"108.157.214.116, 108.157.214.115, 108.157.214.27, 108.157.214.106","bpyhf24739.lithium.com, dwhyl1696dzb6.cloudfront.net",,NOERROR,True,cloudfront,,,,,,
[x],content-static.upwork.com,"104.18.90.237, 104.18.89.237",,"fay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],coty.upwork.com,"104.18.89.237, 104.18.90.237",,"fay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],dash-staging.upwork.com,"104.18.89.237, 104.18.90.237",,"fay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
