new,host,a,soa,status_code,ns,mx,txt,cname,cdn,cdn-name,aaaa,has_internal_ips,internal_ips,caa
[x],131590741085.dev.cgn.kube1.iaas.checkpoint.com,,"ns-39.awsdns-04.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1102.awsdns-09.org, ns-1582.awsdns-05.co.uk, ns-39.awsdns-04.com, ns-996.awsdns-60.net",,,,,,,,,
[x],232225257827.dev.cgn.kube1.iaas.checkpoint.com,,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],253808163514.dev.cgn.kube1.iaas.checkpoint.com,"205.251.193.153, 205.251.194.197, 205.251.196.39, 205.251.198.90","ns-1626.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-409.awsdns-51.com, ns-709.awsdns-24.net, ns-1063.awsdns-04.org, ns-1626.awsdns-11.co.uk",,,,,,,,,
[x],387175912311.dev.cgn.kube1.iaas.checkpoint.com,,"ns-1387.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-77.awsdns-09.com, ns-739.awsdns-28.net, ns-1387.awsdns-45.org, ns-1648.awsdns-14.co.uk",,,,,,,,,
[x],549246567444.dev.cgn.kube1.iaas.checkpoint.com,,"ns-1881.awsdns-43.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1127.awsdns-12.org, ns-160.awsdns-20.com, ns-1881.awsdns-43.co.uk, ns-639.awsdns-15.net",,,,,,,,,
[x],586796458603.dev.cgn.kube1.iaas.checkpoint.com,,"ns-774.awsdns-32.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1565.awsdns-03.co.uk, ns-774.awsdns-32.net, ns-1062.awsdns-04.org, ns-284.awsdns-35.com",,,,,,,,,
[x],816827540050.dev.cgn.kube1.iaas.checkpoint.com,,"ns-1656.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-977.awsdns-58.net, ns-1259.awsdns-29.org, ns-1656.awsdns-15.co.uk, ns-483.awsdns-60.com",,,,,,,,,
[x],915922197445.dev.cgn.kube1.iaas.checkpoint.com,,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1357.awsdns-41.org, ns-1822.awsdns-35.co.uk, ns-332.awsdns-41.com, ns-686.awsdns-21.net",,,,,,,,,
[x],936178152299.dev.cgn.kube1.iaas.checkpoint.com,,"ns-267.awsdns-33.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1410.awsdns-48.org, ns-1653.awsdns-14.co.uk, ns-267.awsdns-33.com, ns-531.awsdns-02.net",,,,,,,,,
[x],abra.checkpoint.com,194.29.38.48,"ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,,,,,,,
[x],abuse.mailing.checkpoint.com,104.160.73.63,"ns-a-1.getresponse360.com, abuse.mailing.checkpoint.com",NOERROR,,smtp1-in.getresponse360.com,v=spf1 ip4:104.160.72.0/21 ip4:209.255.203.0/24 ip4:104.160.66.237 ip4:207.8.198.0/26 ip4:89.206.36.192/26 a mx -all,,,,,,,
[x],accad-dfw4.ts.checkpoint.com,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],accounts.checkpoint.com,"18.66.97.10, 18.66.97.26, 18.66.97.39, 18.66.97.102","ns-1894.awsdns-44.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,d134h80bwz1gma.cloudfront.net,True,cloudfront,,,,
[x],accounts.g04.checkpoint.com,194.29.39.47,"ns-1581.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],adfs.gslb.checkpoint.com,194.29.46.44,,NOERROR,,,,,,,,,,
[x],admin-alphaalt-acc-backupsauth-antiviruspre.uscpm.checkpoint.com,209.87.222.143,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],administrator.il-ebc.checkpoint.com,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],agony-meter-stg.checkpoint.com,"141.193.213.21, 141.193.213.20","darwin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,lxyn6t33rody.wpeproxy.com,,,,,,
[x],amadeus.us.checkpoint.com,209.87.222.73,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,tls-us.us.checkpoint.com,"v=spf2 a:usmail2.us.checkpoint.com, v=spf1 ip4:209.87.208.0/20 ip4:209.97.112.0/20 ip4:217.68.8.0/24 ip4:216.228.144.0/20 include:zonelabs.com mx -all",,,,,,,
[x],ap-southeast-2.g04.checkpoint.com,3.105.14.157,"ns-1581.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1215.awsdns-23.org, ns-1581.awsdns-05.co.uk, ns-296.awsdns-37.com, ns-625.awsdns-14.net",,,,,,,,,
[x],appwiki.checkpoint.com,2.20.221.189,"n0dscg.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,"www.appwiki.checkpoint.com.edgekey.net, e14576.dscg.akamaiedge.net",,,"2a02:26f0:480:992::38f0, 2a02:26f0:480:993::38f0",,,
[x],appwrapping.checkpoint.com,"54.160.82.151, 107.20.221.32, 54.160.80.197","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,a8157a195f80d11ea8eb20a8daef72b9-a27be3a56e4c3356.elb.us-east-1.amazonaws.com,,,,,,
