new,host,a,aaaa,soa,status_code,cdn,cdn-name,has_internal_ips,internal_ips,cname,ns,txt,mx,caa
[x],pos.casper.tools,"10.4.0.34, 10.4.0.69",,"ns-93.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.4.0.34, 10.4.0.69",,,,,
[x],pos2.casper.tools,"52.85.242.61, 52.85.242.112, 52.85.242.63, 52.85.242.123",,"ns-93.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],quietrooms.casper.com,"151.101.65.131, 151.101.193.131, 151.101.1.131, 151.101.129.131",,"rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,fastly,,,,,,,
[x],redash.casper.tools,"54.236.176.89, 3.88.120.121",,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,redash-alpha-2-528674010.us-east-1.elb.amazonaws.com,,,,
[x],refer.casper.com,"13.226.153.120, 13.226.153.57, 13.226.153.127, 13.226.153.41","2600:9000:2182:e000:18:20a4:9940:93a1, 2600:9000:2182:4a00:18:20a4:9940:93a1, 2600:9000:2182:b400:18:20a4:9940:93a1, 2600:9000:2182:7000:18:20a4:9940:93a1, 2600:9000:2182:ba00:18:20a4:9940:93a1, 2600:9000:2182:e800:18:20a4:9940:93a1, 2600:9000:2182:4800:18:20a4:9940:93a1, 2600:9000:2182:fa00:18:20a4:9940:93a1","ns-352.awsdns-44.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,dggajuhigpv8l.cloudfront.net,"ns-1835.awsdns-37.co.uk, ns-352.awsdns-44.com, ns-742.awsdns-28.net, ns-1294.awsdns-33.org",,,
[x],research.casper.com,"104.16.205.66, 104.16.158.76","2606:4700::6810:9e4c, 2606:4700::6810:cd42","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],reststop.casper.com,"151.101.194.49, 151.101.2.49, 151.101.66.49, 151.101.130.49",,"rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,fastly,,,,,,,
[x],sftp.casper.tools,35.169.145.86,,"ns-93.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],spa.casper.com,"104.16.158.76, 104.16.205.66","2606:4700::6810:cd42, 2606:4700::6810:9e4c","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],staging.casper.com,"104.16.158.76, 104.16.205.66","2606:4700::6810:cd42, 2606:4700::6810:9e4c","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
