input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_subject_org_,final_url,csp_domains_
1pass-scim.casper.tools,1Password SCIM bridge,200,559,1pass-scim.casper.tools,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2023-04-23T00:00:00Z,2024-05-22T23:59:59Z,CN=1pass-scim.casper.tools,1pass-scim.casper.tools,1pass-scim.casper.tools,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f345b9954ea4ed11b03d47d122e9c140,c3e33b060953dfe8a63c5f4734845fd833fb7248326a1e0a4e76a7582db14d51,ctls,1pass-scim.casper.tools,,443,https://1pass-scim.casper.tools:443,https,,text/html,GET,34.199.17.24,/,104012657,3.211.161.65,,1,False,,,,https://1pass-scim.casper.tools/app/,https://w3.org
arcade.casper.com,Bedtime Arcade,200,660,arcade.casper.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-03-24T20:57:55Z,2023-06-22T20:57:54Z,CN=arcade.casper.com,arcade.casper.com,arcade.casper.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,898496115cc040e4df468cafc0b041f1,2a62b79f2ac7a0f70cfbf684da6a3eed15121609913beaed34a704622eaab2d1,ctls,arcade.casper.com,,443,https://arcade.casper.com:443,https,GitHub.com,text/html,GET,185.199.110.153,/,-1700323260,2606:50c0:8003::153,Varnish,25,False,,,,,
artifactory.casper.tools,503 Service Temporarily Unavailable,503,564,artifactory.casper.tools,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=casper.tools,casper.tools,*.casper.tools,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,874ee9aae52beeda66fe4f6c34b20e20,d0088b42222a39a2ae822259662578563f33366f72ec06f4b36d61f45d9c1cb3,ctls,artifactory.casper.tools,,443,https://artifactory.casper.tools:443,https,awselb/2.0,text/html,GET,34.202.82.91,/,2051366281,34.202.82.91,,13,False,,True,,,
b2b.casper.com,BedPost,200,2507,b2b.casper.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,,2023-05-04T00:00:00Z,2024-05-03T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.casper.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3c041ae1436c4c024e9909f99438fc7d,23bbe4f5f0539ce61075c7819c77a1d747c719280935595ab903e7cd3c617725,ctls,b2b.casper.com,cloudflare,443,https://b2b.casper.com:443,https,cloudflare,text/html,GET,104.16.158.76,/,-1655499639,2606:4700::6810:cd42,Ruby on Rails,55,False,True,True,"Cloudflare, Inc.",https://b2b.casper.com/sign_in,https://sentry.io/api/1384371/csp-report/?sentry_key=0ebd9118f0f7412e9a4307b088dbd7e8
booking.casper.com,Casper | Unsupported browser,200,1396,legacy.casper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2022-11-04T20:42:23Z,2023-12-06T20:42:22Z,CN=*.casper.com,*.casper.com,*.casper.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q4,GlobalSign nv-sa,b05e703d2b2d06fc31c2c7009b8a6f6f,712f74c28bd7dc9a0962b606b08fa15d0bc275292ce1615710f5d861a1a45e34,ctls,legacy.casper.com,fastly,443,https://booking.casper.com:443,https,,text/html,GET,151.101.65.131,/,193884965,151.101.129.131,Varnish,37,False,True,True,,https://legacy.casper.com/unsupported-browser/,
capi.casper.tools,,403,42,capi.casper.tools,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=casper.tools,casper.tools,*.casper.tools,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,874ee9aae52beeda66fe4f6c34b20e20,d0088b42222a39a2ae822259662578563f33366f72ec06f4b36d61f45d9c1cb3,ctls,capi.casper.tools,cloudfront,443,https://capi.casper.tools:443,https,,application/json,GET,13.32.99.3,/,768769774,13.32.99.41,Amazon Web Services,1,False,True,True,,,
casper.com,The Best Bed for Better Sleep | Casper,200,156240,casper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2023-01-26T00:00:00Z,2024-01-25T23:59:59Z,"CN=casper.com, O=Casper Sleep Inc., L=New York, ST=New York, C=US",casper.com,www.casper.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ebe9ff833e72f61bf2dd9e8f6668b489,4828e11371e16f123bd41594c8031477ee966c3db80df2e063983e169b6bed3d,ctls,casper.com,cloudflare,443,https://casper.com:443,https,cloudflare,text/html,GET,104.16.158.76,/,1299828188,2606:4700::6810:cd42,Salesforce Commerce Cloud,3392,False,True,,Casper Sleep Inc.,,
click.mail.casper.com,403 - Forbidden: Access is denied.,403,1233,click.mail.casper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,,2022-10-18T00:00:00Z,2023-11-18T23:59:59Z,"CN=click.mail.casper.com, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",click.mail.casper.com,click.mail.casper.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,23ce0b68b8075eaca42c9d3a02ba6ba7,b38df964db7ee02db3173e6b08535f7d5c8f380f6c8123d475a9c1baf3c47d89,ctls,click.mail.casper.com,,443,https://click.mail.casper.com:443,https,,text/html,GET,13.111.165.147,/,1631801191,13.111.165.147,HSTS,30,False,,,"SALESFORCE.COM, INC.",,
dev.casper.com,401 - Authorization Required.,401,480,dev.casper.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,,2023-05-04T00:00:00Z,2024-05-03T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.casper.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3c041ae1436c4c024e9909f99438fc7d,23bbe4f5f0539ce61075c7819c77a1d747c719280935595ab903e7cd3c617725,ctls,dev.casper.com,cloudflare,443,https://dev.casper.com:443,https,cloudflare,text/html,GET,104.16.158.76,/,1299828188,2606:4700::6810:cd42,Salesforce Commerce Cloud,17,False,True,True,"Cloudflare, Inc.",,
docs.casper.tools,403 Forbidden,403,303,,,,,,,,,,,,,,,,,,,,,80,http://docs.casper.tools:80,http,AmazonS3,text/html,GET,52.217.200.117,/,-1634330694,52.217.135.13,Amazon Web Services,14,False,,,,,
