input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,tech_,lines,cdn
email.assetinventory.bugcrowd.com,,,19,email.assetinventory.bugcrowd.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T04:08:40Z,CN=email.assetinventory.bugcrowd.com,email.assetinventory.bugcrowd.com,,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,email.assetinventory.bugcrowd.com,443,https://email.assetinventory.bugcrowd.com:443,https,,text/plain,GET,34.102.239.211,,2,True
email.bugs.bugcrowd.com,,,19,email.bugs.bugcrowd.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T04:09:05Z,CN=email.bugs.bugcrowd.com,email.bugs.bugcrowd.com,,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,email.bugs.bugcrowd.com,443,https://email.bugs.bugcrowd.com:443,https,,text/plain,GET,34.110.180.34,,2,True
email.crowdcontrol.bugcrowd.com,,,19,email.crowdcontrol.bugcrowd.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T04:09:49Z,CN=email.crowdcontrol.bugcrowd.com,email.crowdcontrol.bugcrowd.com,,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,email.crowdcontrol.bugcrowd.com,443,https://email.crowdcontrol.bugcrowd.com:443,https,,text/plain,GET,34.110.180.34,,2,True
email.forum.bugcrowd.com,,,19,email.forum.bugcrowd.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T04:10:20Z,CN=email.forum.bugcrowd.com,email.forum.bugcrowd.com,,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,email.forum.bugcrowd.com,443,https://email.forum.bugcrowd.com:443,https,,text/plain,GET,34.110.180.34,,2,True
email.submit.bugcrowd.com,,,19,email.submit.bugcrowd.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T04:07:34Z,CN=email.submit.bugcrowd.com,email.submit.bugcrowd.com,,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,email.submit.bugcrowd.com,443,https://email.submit.bugcrowd.com:443,https,,text/plain,GET,34.110.180.34,,2,True
files.bugcrowd.com,Bugcrowd | Error,,5977,files.bugcrowd.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,files.bugcrowd.com,443,https://files.bugcrowd.com:443,https,cloudflare,text/html,GET,104.20.6.68,HSTS,33,True
forum.bugcrowd.com,Bugcrowd Forum - community for hackers & security researchers,,135326,forum.bugcrowd.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T00:00:08Z,CN=forum.bugcrowd.com,forum.bugcrowd.com,,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,forum.bugcrowd.com,443,https://forum.bugcrowd.com:443,https,nginx,text/html,GET,74.82.16.203,Ruby on Rails,739,
gslink.bugcrowd.com,404 Not Found,,564,gslink.bugcrowd.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,gslink.bugcrowd.com,443,https://gslink.bugcrowd.com:443,https,cloudflare,text/html,GET,104.20.6.68,HSTS,14,True
hooks.bugcrowd.com,,,12,hooks.bugcrowd.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,hooks.bugcrowd.com,443,https://hooks.bugcrowd.com:443,https,cloudflare,,GET,104.20.6.68,HSTS,1,True
itmoah.bugcrowd.com,2020 Inside the Mind of a Hacker Report | Bugcrowd,,934077,itmoah.bugcrowd.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,itmoah.bugcrowd.com,443,https://itmoah.bugcrowd.com:443,https,cloudflare,text/html,GET,104.20.6.68,Readymag,265,True
