input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,content_type
api.coinsbit.io,,404,84,AS13335,CLOUDFLARENET,US,172.64.192.0/20,api.coinsbit.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T04:40:58Z,2023-07-09T04:40:57Z,CN=*.coinsbit.io,*.coinsbit.io,coinsbit.io,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,5cf03a7ca8b56e0c1f52b98a481b89aa,e33fb389272b5e130fbc099504be0d9d1e134980c2991988d5ecc3b39fc7bba2,True,ctls,api.coinsbit.io,cloudflare,443,https://api.coinsbit.io:443,https,cloudflare,GET,172.64.162.32,/,-429999497,2606:4700:e4::ac40:a320,HTTP/3,1,False,True,application/json
store.coinsbit.io,Coinsbit Store,200,471320,AS13335,CLOUDFLARENET,US,172.64.192.0/20,store.coinsbit.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T04:40:58Z,2023-07-09T04:40:57Z,CN=*.coinsbit.io,*.coinsbit.io,coinsbit.io,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,5cf03a7ca8b56e0c1f52b98a481b89aa,e33fb389272b5e130fbc099504be0d9d1e134980c2991988d5ecc3b39fc7bba2,True,ctls,store.coinsbit.io,cloudflare,443,https://store.coinsbit.io:443,https,cloudflare,GET,172.64.162.32,/,-1137519629,2606:4700:e4::ac40:a220,Vue.js,852,False,True,text/html
ws.coinsbit.io,,400,34,AS13335,CLOUDFLARENET,US,172.64.192.0/20,ws.coinsbit.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T04:40:58Z,2023-07-09T04:40:57Z,CN=*.coinsbit.io,*.coinsbit.io,coinsbit.io,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,5cf03a7ca8b56e0c1f52b98a481b89aa,e33fb389272b5e130fbc099504be0d9d1e134980c2991988d5ecc3b39fc7bba2,True,ctls,ws.coinsbit.io,cloudflare,443,https://ws.coinsbit.io:443,https,cloudflare,GET,172.64.163.32,/,585746572,2606:4700:e4::ac40:a320,HTTP/3,1,False,True,
www-3.coinsbit.io,Coinsbit,200,2120953,AS13335,CLOUDFLARENET,US,172.64.192.0/20,www-3.coinsbit.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T04:40:58Z,2023-07-09T04:40:57Z,CN=*.coinsbit.io,*.coinsbit.io,coinsbit.io,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,5cf03a7ca8b56e0c1f52b98a481b89aa,e33fb389272b5e130fbc099504be0d9d1e134980c2991988d5ecc3b39fc7bba2,True,ctls,www-3.coinsbit.io,cloudflare,443,https://www-3.coinsbit.io:443,https,cloudflare,GET,172.64.162.32,/,694666185,2606:4700:e4::ac40:a320,HTTP/3,527,False,True,text/html
