new,host,a,cname,mx,soa,ns,txt,caa,status_code,aaaa
[x],05252029.qwant.com,194.187.168.99,qwant.com,,"gns21.cloudns.net, support.cloudns.net","gns24.cloudns.net, gns22.cloudns.net, gns23.cloudns.net, gns21.cloudns.net",,,NOERROR,
[x],a.qwant.com,194.187.168.99,qwant.com,qwant-com.mail.protection.outlook.com,"gns21.cloudns.net, support.cloudns.net","gns21.cloudns.net, gns22.cloudns.net, gns23.cloudns.net, gns24.cloudns.net","Dv9-b7p-47M, MS=ms90901364, apple-domain-verification=p4IYUqjmTB4BXLwx, google-site-verification=NcOr9SlS_5_ozLbftZgGKfMjASv7Ob2a7m02z7AtrFA, v=spf1 ip4:194.187.168.35 ip4:194.187.168.37 ip4:194.187.168.38 ip4:94.23.181.132 ip4:52.28.158.135 ip4:52.29.12.146 include:spf.protection.outlook.com -all",,NOERROR,
[x],algorithmgamesearch.betterweb.qwant.com,194.187.168.65,betterweb.qwant.com,,,,,,NOERROR,
[x],alpha-account-engineering-customers-backupconfig.developers.qwant.com,194.187.168.99,qwant.com,,"gns21.cloudns.net, support.cloudns.net","gns23.cloudns.net, gns21.cloudns.net, gns22.cloudns.net, gns24.cloudns.net",,,NOERROR,
[x],alphawww01uat.developers.qwant.com,194.187.168.99,qwant.com,,"gns21.cloudns.net, support.cloudns.net",,,,NOERROR,
[x],api.qwant.com,194.187.168.106,,,"gns21.cloudns.net, support.cloudns.net",,,,NOERROR,
[x],apps.qwant.com,194.187.168.99,qwant.com,qwant-com.mail.protection.outlook.com,"gns21.cloudns.net, support.cloudns.net","gns22.cloudns.net, gns23.cloudns.net, gns24.cloudns.net, gns21.cloudns.net","Dv9-b7p-47M, google-site-verification=NcOr9SlS_5_ozLbftZgGKfMjASv7Ob2a7m02z7AtrFA, apple-domain-verification=p4IYUqjmTB4BXLwx, v=spf1 ip4:194.187.168.35 ip4:194.187.168.37 ip4:194.187.168.38 ip4:94.23.181.132 ip4:52.28.158.135 ip4:52.29.12.146 include:spf.protection.outlook.com -all, MS=ms90901364",,NOERROR,
[x],as.qwant.com,194.187.168.99,qwant.com,qwant-com.mail.protection.outlook.com,"gns21.cloudns.net, support.cloudns.net","gns21.cloudns.net, gns22.cloudns.net, gns24.cloudns.net, gns23.cloudns.net","google-site-verification=NcOr9SlS_5_ozLbftZgGKfMjASv7Ob2a7m02z7AtrFA, apple-domain-verification=p4IYUqjmTB4BXLwx, Dv9-b7p-47M, v=spf1 ip4:194.187.168.35 ip4:194.187.168.37 ip4:194.187.168.38 ip4:94.23.181.132 ip4:52.28.158.135 ip4:52.29.12.146 include:spf.protection.outlook.com -all, MS=ms90901364",,NOERROR,
[x],autodiscover.qwant.com,"52.98.242.248, 40.99.150.8, 40.99.150.104, 52.98.152.168, 52.98.228.56, 52.98.241.168, 52.98.175.8, 52.98.171.232","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,NOERROR,"2603:1026:207:1::8, 2603:1026:207::8, 2603:1026:207:64::8, 2603:1026:207:109::8"
[x],betterweb.qwant.com,194.187.168.65,,,"gns21.cloudns.net, support.cloudns.net",,,,NOERROR,
