new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,ns,txt,mx,caa
[x],account-closing.upstox.com,"104.18.1.212, 104.18.0.212","2606:4700::6812:d4, 2606:4700::6812:1d4",account-closing.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],account.upstox.com,"15.207.128.236, 3.109.90.106, 3.7.247.239",,prod-ui-post-trade-4-ngav2-479629780.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],api-v2-sandbox.upstox.com,"104.18.1.212, 104.18.0.212","2606:4700::6812:1d4, 2606:4700::6812:d4",api-v2-sandbox.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],api-v2-ws.upstox.com,"104.18.1.212, 104.18.0.212","2606:4700::6812:d4, 2606:4700::6812:1d4",api-v2-ws.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],api-v2.upstox.com,"104.18.1.212, 104.18.0.212","2606:4700::6812:1d4, 2606:4700::6812:d4",api-v2-sandbox.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],api.upstox.com,"18.66.97.2, 18.66.97.124, 18.66.97.9, 18.66.97.21",,,"ns-1312.awsdns-36.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,
[x],app.upstox.com,"104.18.1.212, 104.18.0.212","2606:4700::6812:d4, 2606:4700::6812:1d4",app.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],appu-uat-cf.upstox.com,,,appu-uat-cf.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,
[x],assets.uat1.upstox.com,"18.65.39.49, 18.65.39.127, 18.65.39.87, 18.65.39.122","2600:9000:238d:2600:5:9f1b:1300:93a1, 2600:9000:238d:e600:5:9f1b:1300:93a1, 2600:9000:238d:4a00:5:9f1b:1300:93a1, 2600:9000:238d:5400:5:9f1b:1300:93a1, 2600:9000:238d:fa00:5:9f1b:1300:93a1, 2600:9000:238d:d200:5:9f1b:1300:93a1, 2600:9000:238d:3e00:5:9f1b:1300:93a1, 2600:9000:238d:5a00:5:9f1b:1300:93a1",djehzowqbkuvg.cloudfront.net,"ns-1725.awsdns-23.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-132.awsdns-16.com, ns-1361.awsdns-42.org, ns-1725.awsdns-23.co.uk, ns-787.awsdns-34.net",,,
[x],assets.upstox.com,"13.227.219.21, 13.227.219.95, 13.227.219.83, 13.227.219.5","2600:9000:21c7:2600:1b:af48:b80:93a1, 2600:9000:21c7:4400:1b:af48:b80:93a1, 2600:9000:21c7:fc00:1b:af48:b80:93a1, 2600:9000:21c7:6c00:1b:af48:b80:93a1, 2600:9000:21c7:2800:1b:af48:b80:93a1, 2600:9000:21c7:6a00:1b:af48:b80:93a1, 2600:9000:21c7:8000:1b:af48:b80:93a1, 2600:9000:21c7:de00:1b:af48:b80:93a1",d2ley9991e410u.cloudfront.net,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-683.awsdns-21.net, ns-1383.awsdns-44.org, ns-1903.awsdns-45.co.uk, ns-390.awsdns-48.com",,,
