input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,final_url,csp_domains_,tls_mismatched,tls_subject_org_
69-171-244-37.charts.mongodb.com,MongoDB: The Developer Data Platform | MongoDB,200,722628,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,80,http://69-171-244-37.charts.mongodb.com:80,http,,text/html,GET,52.206.222.245,/,-2143930371,52.21.89.200,HSTS,455,False,,True,https://www.mongodb.com/,https://*.mongodb.com,,
864a.charts.mongodb.com,MongoDB: The Developer Data Platform | MongoDB,200,722628,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://864a.charts.mongodb.com:443,https,,text/html,GET,54.175.147.155,/,,52.21.89.200,HSTS,455,False,,True,https://www.mongodb.com/,https://*.mongodb.com,,
87dd.charts.mongodb.com,MongoDB: The Developer Data Platform | MongoDB,200,722628,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://87dd.charts.mongodb.com:443,https,,text/html,GET,52.21.89.200,/,,52.206.222.245,HSTS,455,False,,True,https://www.mongodb.com/,https://*.mongodb.com,,
a-96-118-177-84.charts.mongodb.com,MongoDB: The Developer Data Platform | MongoDB,200,722628,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://a-96-118-177-84.charts.mongodb.com:443,https,,text/html,GET,54.175.147.155,/,-2143930371,52.206.222.245,HSTS,455,False,,True,https://www.mongodb.com/,https://*.mongodb.com,,
a-96-118-23-57.charts.mongodb.com,MongoDB: The Developer Data Platform | MongoDB,200,722628,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://a-96-118-23-57.charts.mongodb.com:443,https,,text/html,GET,52.206.222.245,/,-2143930371,54.175.147.155,HSTS,455,False,,True,https://www.mongodb.com/,https://*.mongodb.com,,
a-96-119-15-80.charts.mongodb.com,MongoDB: The Developer Data Platform | MongoDB,200,722628,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://a-96-119-15-80.charts.mongodb.com:443,https,,text/html,GET,54.175.147.155,/,-2143930371,52.206.222.245,HSTS,455,False,,True,https://www.mongodb.com/,https://*.mongodb.com,,
a-96-119-154-41.charts.mongodb.com,MongoDB: The Developer Data Platform | MongoDB,200,722621,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://a-96-119-154-41.charts.mongodb.com:443,https,,text/html,GET,54.175.147.155,/,,52.206.222.245,HSTS,455,False,,True,https://www.mongodb.com/,https://*.mongodb.com,,
abc.test.corp.mongodb.com,404 | MongoDB,404,10151,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://abc.test.corp.mongodb.com:443,https,,text/html,GET,54.146.255.161,/,,52.3.154.63,HSTS,148,False,,True,https://www.mongodb.com/404,https://*.mongodb.com,,
abovethefold.corp.mongodb.com,Above the Fold newsletter,200,4390,abovethefold.corp.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-01-11T23:59:59Z,CN=*.abovethefold.corp.mongodb.com,*.abovethefold.corp.mongodb.com,abovethefold.corp.mongodb.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,7c61627f12288f3d9751636d825c6f78,063b688137dd249229b001a2a0768719587b2ef56c521f80e5a58c4948faa55a,ctls,abovethefold.corp.mongodb.com,cloudfront,443,https://abovethefold.corp.mongodb.com:443,https,AmazonS3,text/html,GET,13.32.27.35,/,-1660720490,13.32.27.118,Amazon Web Services,92,False,True,True,,,,
acceptatieflux-auth.charts.mongodb.com,MongoDB: The Developer Data Platform | MongoDB,200,722621,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://acceptatieflux-auth.charts.mongodb.com:443,https,,text/html,GET,52.206.222.245,/,,52.21.89.200,HSTS,455,False,,True,https://www.mongodb.com/,https://*.mongodb.com,,
