host,a,aaaa,cname,soa,status_code,cdn,cdn-name,mx,ns,txt,caa,has_internal_ips,internal_ips
b1sfatfallen-vm11-xtqubmit.docs.kubernetes.io,"34.141.28.239, 35.156.224.161","2a05:d014:275:cb00::c8, 2a05:d014:275:cb01::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
bbqtown.docs.kubernetes.io,"3.72.140.173, 35.156.224.161","2a05:d014:275:cb02::c8, 2a05:d014:275:cb01::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
bucky.docs.k8s.io,"34.159.168.235, 35.156.224.161","2a05:d014:275:cb01::c8, 2a05:d014:275:cb00::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
blog.docs.kubernetes.io,"35.198.80.163, 35.156.224.161","2a05:d014:275:cb00::c8, 2a05:d014:275:cb01::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
bbqtown.docs.k8s.io,"34.141.103.251, 35.156.224.161","2a05:d014:275:cb02::c8, 2a05:d014:275:cb00::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
canary.683kbk8s.gcr.io,173.194.76.82,2a00:1450:400c:c00::52,googlecode.l.googleusercontent.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,,
blog.canary.k8s.io,34.107.204.206,2600:1901:0:26f3::,redirect.k8s.io,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
beta.docs.kubernetes.io,"18.192.231.252, 35.198.80.163","2a05:d014:275:cb01::c8, 2a05:d014:275:cb02::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
cherrypick.docs.k8s.io,"18.192.231.252, 35.198.80.163","2a05:d014:275:cb01::c8, 2a05:d014:275:cb02::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
blog.docs.k8s.io,"34.159.25.198, 3.72.140.173","2a05:d014:275:cb00::c8, 2a05:d014:275:cb02::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,
cdn.docs.kubernetes.io,"34.141.48.9, 18.192.231.252","2a05:d014:275:cb00::c8, 2a05:d014:275:cb01::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
bisniscepat.683kbk8s.gcr.io,142.251.163.82,2607:f8b0:4004:c1b::52,googlecode.l.googleusercontent.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,,
changelog.canary.k8s.io,34.107.204.206,2600:1901:0:26f3::,redirect.k8s.io,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
blog.k8s.io,34.107.204.206,2600:1901:0:26f3::,redirect.k8s.io,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
blog.kubernetes.io,34.107.204.206,2600:1901:0:26f3::,"blog.k8s.io, redirect.k8s.io","ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
bucket.docs.k8s.io,"34.141.28.239, 35.156.224.161","2a05:d014:275:cb02::c8, 2a05:d014:275:cb01::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,
canary.docs.k8s.io,"34.74.37.249, 35.231.210.182","2600:1f18:2489:8200::c8, 2600:1f18:2489:8202::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,
changelog.k8s.io,34.107.204.206,2600:1901:0:26f3::,redirect.k8s.io,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
changelog.kubernetes.io,34.107.204.206,2600:1901:0:26f3::,"changelog.k8s.io, redirect.k8s.io","ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
cloud-provider-vsphere.683kbk8s.gcr.io,74.125.133.82,2a00:1450:400c:c07::52,googlecode.l.googleusercontent.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,,
autoscaler.683kbk8s.gcr.io,142.251.16.82,2607:f8b0:4004:c17::52,googlecode.l.googleusercontent.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,,
cherrypick.683kbk8s.gcr.io,108.177.14.82,2a00:1450:4010:c0f::52,googlecode.l.googleusercontent.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,,
cloud.docs.kubernetes.io,"18.192.231.252, 34.141.48.9","2a05:d014:275:cb01::c8, 2a05:d014:275:cb02::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,
ci.docs.k8s.io,"34.159.168.235, 3.72.140.173","2600:1f18:2489:8202::c8, 2600:1f18:2489:8200::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
ci-test.683kbk8s.gcr.io,64.233.167.82,2a00:1450:400c:c00::52,googlecode.l.googleusercontent.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,,
builder.docs.kubernetes.io,"34.159.132.250, 3.72.140.173","2a05:d014:275:cb02::c8, 2a05:d014:275:cb01::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,
cloud-provider-aws.docs.k8s.io,"35.246.229.114, 35.156.224.161","2a05:d014:275:cb01::c8, 2a05:d014:275:cb02::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,
ci-test.k8s.io,34.107.204.206,2600:1901:0:26f3::,redirect.k8s.io,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
changelog.683kbk8s.gcr.io,172.217.218.82,2a00:1450:4013:c08::52,googlecode.l.googleusercontent.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,,
cloud.683kbk8s.gcr.io,74.125.206.82,2a00:1450:400c:c0c::52,googlecode.l.googleusercontent.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,,
canary.kubernetes.io,147.75.40.148,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,"alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","ns-cloud-b2.googledomains.com, ns-cloud-b3.googledomains.com, ns-cloud-b1.googledomains.com, ns-cloud-b4.googledomains.com","google-site-verification=oPORCoq9XU6CmaR7G_bV00CLmEz-wLGOL7SXpeEuTt8, v=spf1 include:_spf.google.com ~all, google-site-verification=qmfDqvHjWJBL78F9saApyW0VFRyymuSMpqMn8gtGmd0","letsencrypt.org, pki.goog",,
cli.docs.k8s.io,"34.159.58.69, 35.198.80.163","2a05:d014:275:cb01::c8, 2a05:d014:275:cb02::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,
ci-test.canary.kubernetes.io,34.107.204.206,2600:1901:0:26f3::,"ci-test.k8s.io, redirect.k8s.io","ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
cluster-api-aws.docs.kubernetes.io,"34.141.103.251, 34.159.25.198","2a05:d014:275:cb00::c8, 2a05:d014:275:cb01::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
cloud-provider-aws.docs.kubernetes.io,"34.159.25.198, 34.159.58.69","2a05:d014:275:cb00::c8, 2a05:d014:275:cb01::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,
chapacngelog-kootapacc-papacy.docs.kubernetes.io,"35.198.80.163, 18.192.231.252","2a05:d014:275:cb01::c8, 2a05:d014:275:cb02::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
chapacngelog.docs.kubernetes.io,"34.141.55.250, 34.159.168.235","2a05:d014:275:cb00::c8, 2a05:d014:275:cb02::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,
ci.docs.kubernetes.io,"34.159.132.250, 34.141.55.250","2a05:d014:275:cb02::c8, 2a05:d014:275:cb01::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,
cherrypick.k8s.gcr.io,66.102.1.82,2a00:1450:4013:c07::52,googlecode.l.googleusercontent.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,,
cluster.docs.k8s.io,"50.18.215.94, 34.83.11.4","2600:1f1c:471:9d00::c8, 2600:1f1c:471:9d01::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,
cloud-provider-vsphere.sigs.k8s.io,"34.148.19.16, 34.148.147.18","2a05:d014:275:cb02::c8, 2a05:d014:275:cb01::c8",kubernetes-sigs-cloud-provider-vsphere.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,
cli.triage.k8s.io,34.117.106.163,,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,
chapacngelog-kootapacc-papacy.docs.k8s.io,"34.159.168.235, 35.156.224.161","2a05:d014:275:cb01::c8, 2a05:d014:275:cb00::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
cloud-provider-azure.docs.kubernetes.io,"34.159.168.235, 35.156.224.161","2a05:d014:275:cb00::c8, 2a05:d014:275:cb01::c8",kubernetes.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
