input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,cdn_name,cdn,final_url,csp_domains_
*.actions.githubusercontent.com,Fastly error: unknown domain actions.githubusercontent.com,500,286,AS54113,AS54113,Unknown,185.199.108.0/22,actions.githubusercontent.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.github.io, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.io,githubusercontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f45a0dd4c867ee46fb7560d0015132c3,382cd42d33c02bc6678e657ce17b846d0473a7e791cdb35b8ead901af1e11a08,True,ctls,actions.githubusercontent.com,443,https://actions.githubusercontent.com:443,https,Varnish,text/html,GET,185.199.111.133,/,462200003,185.199.108.133,Varnish,8,False,"GitHub, Inc.",,,,
0.10.0k8s.gcr.io,,404,35,AS15169,GOOGLE,US,74.125.192.0/20,0.10.0k8s.gcr.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-04-17T08:24:47Z,2023-07-10T08:24:46Z,CN=*.googlecode.com,*.googlecode.com,googlecode.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccd23e40bdd6360539f037f5ccae2b49,f33ab72d0932a89322ca576477e1b8b6f94765b2b79402148778690556082337,True,ctls,0.10.0k8s.gcr.io,443,https://0.10.0k8s.gcr.io:443,https,Docker Registry,text/plain,GET,74.125.206.82,/,302920777,2a00:1450:400c:c04::52,HTTP/3,1,False,,,,,
03fcfb162e9fck8s.gcr.io,,404,42,AS15169,GOOGLE,US,74.125.136.0/21,03fcfb162e9fck8s.gcr.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-17T08:28:59Z,2023-07-10T08:28:58Z,CN=*.gcr.io,*.gcr.io,gcr.io,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,5f40d822abd8e8aa693f31929e0efacc,d312f8a506110956cdb9160ad0b0020dc7dffc1f07f2b630947bb6103be887fe,True,ctls,03fcfb162e9fck8s.gcr.io,443,https://03fcfb162e9fck8s.gcr.io:443,https,Docker Registry,text/plain,GET,74.125.133.82,/,302920777,2a00:1450:400c:c0c::52,HTTP/3,1,False,,,,,
117mbk8s.gcr.io,,404,34,AS15169,GOOGLE,US,74.125.192.0/20,117mbk8s.gcr.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-17T08:28:59Z,2023-07-10T08:28:58Z,CN=*.gcr.io,*.gcr.io,gcr.io,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,5f40d822abd8e8aa693f31929e0efacc,d312f8a506110956cdb9160ad0b0020dc7dffc1f07f2b630947bb6103be887fe,True,ctls,117mbk8s.gcr.io,443,https://117mbk8s.gcr.io:443,https,Docker Registry,text/plain,GET,74.125.206.82,/,302920777,2a00:1450:400c:c04::52,HTTP/3,1,False,,,,,
120mbk8s.gcr.io,,404,34,AS15169,GOOGLE,US,74.125.192.0/20,120mbk8s.gcr.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-17T08:28:59Z,2023-07-10T08:28:58Z,CN=*.gcr.io,*.gcr.io,gcr.io,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,5f40d822abd8e8aa693f31929e0efacc,d312f8a506110956cdb9160ad0b0020dc7dffc1f07f2b630947bb6103be887fe,True,ctls,120mbk8s.gcr.io,443,https://120mbk8s.gcr.io:443,https,Docker Registry,text/plain,GET,74.125.206.82,/,302920777,2a00:1450:400c:c04::52,HTTP/3,1,False,,,,,
17.docs.kubernetes.io,,404,50,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.159.0.0/16,17.docs.kubernetes.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-12-21T00:00:00Z,2024-01-21T23:59:59Z,"CN=*.netlify.app, O=Netlify\, Inc, L=San Francisco, ST=California, C=US",*.netlify.app,netlify.app,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,417633b3103244c3b5c76867e4b088ec,28df772cfa74243dc43f799c904905b2525b8b50541551edcd7cd9730d114610,True,ctls,17.docs.kubernetes.io,443,https://17.docs.kubernetes.io:443,https,Netlify,text/plain,GET,34.159.58.69,/,-368574537,2a05:d014:275:cb02::c8,Netlify,1,False,"Netlify, Inc",google,True,,
173mbk8s.gcr.io,,404,34,AS15169,GOOGLE,US,74.125.136.0/21,173mbk8s.gcr.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-17T08:28:59Z,2023-07-10T08:28:58Z,CN=*.gcr.io,*.gcr.io,gcr.io,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,5f40d822abd8e8aa693f31929e0efacc,d312f8a506110956cdb9160ad0b0020dc7dffc1f07f2b630947bb6103be887fe,True,ctls,173mbk8s.gcr.io,443,https://173mbk8s.gcr.io:443,https,Docker Registry,text/plain,GET,74.125.133.82,/,302920777,2a00:1450:400c:c06::52,HTTP/3,1,False,,,,,
388mbk8s.gcr.io,,404,34,AS15169,GOOGLE,US,74.125.192.0/20,388mbk8s.gcr.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-17T08:28:59Z,2023-07-10T08:28:58Z,CN=*.gcr.io,*.gcr.io,gcr.io,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,5f40d822abd8e8aa693f31929e0efacc,d312f8a506110956cdb9160ad0b0020dc7dffc1f07f2b630947bb6103be887fe,True,ctls,388mbk8s.gcr.io,443,https://388mbk8s.gcr.io:443,https,Docker Registry,text/plain,GET,74.125.206.82,/,302920777,2a00:1450:400c:c04::52,HTTP/3,1,False,,,,,
39.7mbk8s.gcr.io,,404,35,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,39.7mbk8s.gcr.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-04-17T08:24:47Z,2023-07-10T08:24:46Z,CN=*.googlecode.com,*.googlecode.com,googlecode.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccd23e40bdd6360539f037f5ccae2b49,f33ab72d0932a89322ca576477e1b8b6f94765b2b79402148778690556082337,True,ctls,39.7mbk8s.gcr.io,443,https://39.7mbk8s.gcr.io:443,https,Docker Registry,text/plain,GET,108.177.15.82,/,302920777,2a00:1450:400c:c07::52,HTTP/3,1,False,,,,,
43.8mbk8s.gcr.io,,404,35,AS15169,GOOGLE,US,173.194.96.0/21,43.8mbk8s.gcr.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-04-17T08:24:47Z,2023-07-10T08:24:46Z,CN=*.googlecode.com,*.googlecode.com,googlecode.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccd23e40bdd6360539f037f5ccae2b49,f33ab72d0932a89322ca576477e1b8b6f94765b2b79402148778690556082337,True,ctls,43.8mbk8s.gcr.io,443,https://43.8mbk8s.gcr.io:443,https,Docker Registry,text/plain,GET,173.194.76.82,/,302920777,2a00:1450:400c:c04::52,HTTP/3,1,False,,,,,
