input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,final_url,tls_subject_org_
*.atlassian.net,Products | Atlassian,200,102564,,www.atlassian.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-10T00:00:00Z,2023-06-10T23:59:59Z,"CN=*.atlassian.com, O=Atlassian Pty Ltd, L=Sydney, ST=New South Wales, C=AU",*.atlassian.com,atlassian.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,3edf964b3c1544df6bc04b41c5d25da5,e235541fefa6308aeb87159dd7969b5fc42d9794aea6dbcd35a83d242a5ddd53,ctls,www.atlassian.com,,443,https://atlassian.net:443,https,AtlassianEdge,text/html,GET,185.166.143.36,/,-1758955632,185.166.143.37,HSTS,5,False,,True,https://www.atlassian.com/software,Atlassian Pty Ltd
*.statsig.com,Statsig | #1 Feature Management and Experimentation Platform,200,155555,*.statsig.com,statsig.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T22:34:40Z,2023-07-09T22:34:39Z,CN=statsig.com,statsig.com,www.statsig.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e238f4627da047dbb1b358eae6753244,322179ed725ab7f3d0ee664ab5ee5333c08c668aa3865f1de05757d6808420d0,ctls,statsig.com,azure,443,https://statsig.com:443,https,istio-envoy,text/html,GET,40.125.127.28,/,1440550327,40.125.127.28,YouTube,1872,False,True,,,
1password-scim.infra.coda.io,1Password SCIM Bridge Login,200,1164,,1password-scim.infra.coda.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-12-01T23:59:59Z,CN=infra.coda.io,infra.coda.io,*.infra.coda.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bbad0f8e3ce2529774bb1eed27145b84,35e246b91f6457040e8e19482d07349a4670376cff013610be997fb566fc4496,ctls,1password-scim.infra.coda.io,,443,https://1password-scim.infra.coda.io:443,https,,text/html,GET,44.231.71.126,/,104012657,52.40.177.230,,34,False,,True,,
adhoc.coda.io,,200,61,,adhoc.coda.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2023-09-05T23:59:59Z,CN=adhoc.coda.io,adhoc.coda.io,*.adhoc.coda.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ab4045fe1dfd475564e9f2252af697f8,260b351082cc0a02ac0c8752e79c873db72d8a6006e511bd2f353402d1b470e8,ctls,adhoc.coda.io,,443,https://adhoc.coda.io:443,https,openresty/1.21.4.1,text/html,GET,52.40.219.27,/,1785057670,52.24.177.213,OpenResty:1.21.4.1,8,False,,True,,
admin.coda.io,"Coda Project, Inc - Sign In",200,21879,*.authenticatorlocalprod.com:65151,coda.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,ctls,coda.okta.com,,443,https://admin.coda.io:443,https,nginx,text/html,GET,44.232.153.112,/,1148462432,34.213.235.104,Nginx,503,False,,True,https://coda.okta.com/app/coda_codaadmin_2/exkcmu03pFHKIXUxV2p6/sso/saml?SAMLRequest=nVNNbxoxEP0rK9%2FZLygkFhBRUBTUtF0BiapekGPPJlbW9tbjzW7%2Ffb0L23BIOHCxpZnn92bejKc3jSqCN7AojZ6RJIzJzXyKTBUlXVTuRW%2FgTwXoAg%2FTSLvEjFRWU8NQItVMAVLH6Xbx%2FZ6mYUxLa5zhpiDBejUjezGKh%2FnVKBUQTybjJ36d52MSPPaC%2FoUHIlaw1uiYdj4Up8NB%2FGWQpLtkQpMrGo%2FCJL3%2BTYLsSP1VaiH18%2Fk6ng4gpHe7XTbIfm53JFj5TqRmrpN%2Bca5EGkXcCBaaV8dCblTEyrKL7NuDCSX1Po2geeWqiofl7d239a%2BH5jEtxxGiiVo%2FSLBABNuSLo3GSoHdgn2THB429%2B8yHVfYiUkTFeZZ6sPzg920M8Ge%2BHy%2BPdZrknmr4AXqun5v46OKp9GJUD%2FkH555vcpMIfnfS4Z8a6xi7nN0EiZdRIpB3kEpKCaLhRAWEL13RWHqpQXmYEacrYBEfWnH1QPRLaL31kFz0SIujSqZldhOHRrGXe%2F5KfGy8JZuIL9kAmdhnPKW2oczf9XGinaPgfvGdpZpLI11x9F8VM%2F8kPvEjv%2FZ0886%2Fwc%3D,"Okta, Inc."
admin.head.coda.io,"Coda Project, Inc - Sign In",200,21477,*.oktacdn.com,coda.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,ctls,coda.okta.com,,443,https://admin.head.coda.io:443,https,nginx,text/html,GET,54.148.164.2,/,-882007883,35.81.209.101,Nginx,501,False,,True,https://coda.okta.com/app/coda_codaadminhead_1/exkcmtjs4P5EL2NlG2p6/sso/saml?SAMLRequest=nVPLktowEPwVl%2B74tZgkKmCLQB5UkY0LnBxyoQZ5WJS1JUcjr8nfRzY4y2GXAxe7aqbdPdM9Ht8fy8J7RkNSqwmL%2FJDdT8cEZVHxWW0Pao1%2FaiTrOZgi3jUmrDaKayBJXEGJxK3gm9m3FY%2F9kFdGWy10wbzlYsK2MErCZJiEH0BAPEp2%2Bx2EzPvZC7ovHJCoxqUiC8q6UhjfDcJkEMVZ9I5H73k49O%2BS6Bfz0jP1R6lyqR6vz7E7gYh%2FzbJ0kH7fZMxbuE2kAttJH6ytiAeB0Dn4%2BsmCL3QZQFV1lW37gLyU6oCQb6MAj0%2BitL9pmCafVvFD8SWuRgGRDlpPmDcjQtMSz7WiukSzQfMsBf5Yr16kOj6%2FJfQ7VamDQj9KdeI4%2Bc47N8yF4df3hF6YTVsZp9I0zcs%2Br409Di6E%2BrQfHPNykepCir%2B3pP1ZmxLs2%2BjIj7qKzAf7DsqxBFnM8twgkTOwKHQzNwgWJ8yaGlnQj3a%2BQcy7i3QGWzzedJFzXVZgJLXx4xGE7T2%2FJJ4XztI17m9J4CpMcNFSu3LqXo02eXvQKNximQFFlTb2HM1r80xPvTfs%2BN%2B9%2FGun%2FwA%3D,"Okta, Inc."
admin.staging.coda.io,"Coda Project, Inc - Sign In",200,22012,http://127.0.0.1:65121,coda.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,ctls,coda.okta.com,,443,https://admin.staging.coda.io:443,https,nginx,text/html,GET,54.68.4.56,/,1898787995,44.233.173.92,Nginx,501,False,,True,https://coda.okta.com/app/coda_codaadminstaging_1/exkcmtdu9ShjjnXuW2p6/sso/saml?SAMLRequest=nVNNc9owEP0rHt3xF40LGiBDYTplJm094H5ML4wiLUGJJblaOSb%2FvrLBDYeEAxdrtPv03u7b9eT2oMrgGSxKo6ckCWNyO5sgU2VF57Xb6zX8rQFd4GEaaZeYktpqahhKpJopQOo43cy%2F3tE0jGlljTPclCRYLadkOxIsE3G6G97cZ9lomI7Hu4wEP3tB%2F8IDEWtYaXRMOx%2BK0%2BEgvhkkaZF8pMmIxh%2FCZJz%2BIUF%2Bov4ktZD64XId90cQ0i9FkQ%2Fy75uCBEvfidTMddJ75yqkUcSNYKF5cizkRkWsqrrItv0woWRb1oMn2iYRHJ64cqIeb%2FaPj%2Fp3%2FSutsgjRRK0tJJgjgm25F0ZjrcBuwD5LDj%2FWd69qHWV44gw7bWmi0vjrkeboPu08sWe2X%2B6W9dpk1ip5oaZpXrt6q%2FJJdCbUz%2FybZ14tc1NK%2FnLNzD8bq5h7H52ESReRYrDroBQUk%2BVcCAuI3sOyNM3CAnMwJc7WQKK%2BtNMmguj20nvs4HDVXi6MqpiV2C4BHBh3vefnxIvSW7qG3TUTuAjjlLfUPpz7ozFWtGsN3DdWWKaxMtadRvNWPbNj7h07%2FmfP%2F93ZPw%3D%3D,"Okta, Inc."
airflow-head.data.coda.io,Sign In - Airflow,200,17842,,airflow-head.data.coda.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-10-14T23:59:59Z,CN=data.coda.io,data.coda.io,*.data.coda.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,aa496f49adb77082550d74cc3bda900c,f1e96c7628e862e0488528f60e81b05cbc9413fb78dcb29fef966a233cef9b67,ctls,airflow-head.data.coda.io,,443,https://airflow-head.data.coda.io:443,https,gunicorn,text/html,GET,52.40.138.9,/,888856922,44.224.183.220,gunicorn,351,False,,True,https://airflow-head.data.coda.io/login/?next=https%3A%2F%2Fairflow-head.data.coda.io%2Fhome,
airflow-prod.data.coda.io,Sign In - Airflow,200,17842,,airflow-prod.data.coda.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-10-14T23:59:59Z,CN=data.coda.io,data.coda.io,*.data.coda.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,aa496f49adb77082550d74cc3bda900c,f1e96c7628e862e0488528f60e81b05cbc9413fb78dcb29fef966a233cef9b67,ctls,airflow-prod.data.coda.io,,443,https://airflow-prod.data.coda.io:443,https,gunicorn,text/html,GET,34.223.135.250,/,888856922,35.161.174.21,gunicorn,351,False,,True,https://airflow-prod.data.coda.io/login/?next=https%3A%2F%2Fairflow-prod.data.coda.io%2Fhome,
bazel-cache.dev-infra.coda.io,,401,17,,bazel-cache.dev-infra.coda.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=dev-infra.coda.io,dev-infra.coda.io,*.dev-infra.coda.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f43ac29f496f3772372c33e9e342d74c,1c8f7cee07d3185899751c503ab6106eee655e7b620060836ce744908c6459a8,ctls,bazel-cache.dev-infra.coda.io,,443,https://bazel-cache.dev-infra.coda.io:443,https,,text/plain,GET,52.42.117.9,/,797663971,44.238.117.26,Basic,2,False,,True,,
