new,host,a,cname,soa,status_code,ns,mx,txt,cdn,cdn-name,aaaa
[x],allin.movilepay.com,187.45.233.232,,"nsmaster.auinmeio.com.br, root.server.allin.movilepay.com",NOERROR,"nsmaster2.auinmeio.com.br, nsmaster.auinmeio.com.br, ns2.auinmeio.com.br, ns3.auinmeio.com.br",mx42.allin.com.br,v=spf1 include:spf1.auinmeio.com.br include:spf2.auinmeio.com.br ~all,,,
[x],e.allin.allin.movilepay.com,186.202.41.26,clique.auinmeio.com.br,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],img.allin.allin.movilepay.com,"177.153.231.26, 177.153.231.25",img.auinmeio.com.br,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],img.allin.movilepay.com,"177.153.231.26, 177.153.231.25",img.auinmeio.com.br,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],movilepay.com,"13.32.99.55, 13.32.99.89, 13.32.99.88, 13.32.99.77",,"ns-435.awsdns-54.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-435.awsdns-54.com, ns-968.awsdns-57.net, ns-1477.awsdns-56.org, ns-1819.awsdns-35.co.uk","alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, aspmx.l.google.com, alt1.aspmx.l.google.com","facebook-domain-verification=pspj6xnvd00dcvsz5hfqfdu1lzpxdf, google-site-verification=ERwStSY-w3Dy3u9xo584J-6BxgGWWV0x-jeT4pTBJpo, google-site-verification=XI99xvIV-OYndEi69a26PJTRrJ0R4OM3LFvx_-iWKjA, v=spf1 a mx include:spf1.auinmeio.com.br include:spf2.auinmeio.com.br ~all",True,cloudfront,
[x],movilepay.com.br,,,"ns-1007.awsdns-61.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1007.awsdns-61.net, ns-1227.awsdns-25.org, ns-1702.awsdns-20.co.uk, ns-23.awsdns-02.com",,,,,
[x],o1.ptr4993.movilepay.com.br,149.72.148.127,,"ns-1007.awsdns-61.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],pm03-1.allin.movilepay.com,177.70.232.67,,"nsmaster.auinmeio.com.br, root.server.allin.movilepay.com",NOERROR,,,,,,
[x],pm04-1.allin.movilepay.com,179.109.233.233,,"nsmaster.auinmeio.com.br, root.server.allin.movilepay.com",NOERROR,,,,,,
[x],www.allin.movilepay.com,187.45.233.232,,"nsmaster.auinmeio.com.br, root.server.allin.movilepay.com",NOERROR,,,,,,
[x],www.movilepay.com,"95.101.74.156, 95.101.74.159","www.movilepay.com.edgekey.net, e27065.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,"2a02:26f0:c900:9::5f65:4a9c, 2a02:26f0:c900:9::5f65:4a9f"
