input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,webserver,tech_,final_url,tls_wildcard_certificate,cdn_name,cdn
aa.hwigroup.com,,404,293,AS396982,GOOGLE-CLOUD-PLATFORM,US,35.204.0.0/15,443,https://aa.hwigroup.com:443,https,application/xml,GET,35.205.232.200,/,-1626181645,35.205.232.200,2,False,pool-dpgmedia.adhese.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-02T00:00:00Z,2023-10-06T23:59:59Z,CN=*.adhese.com,*.adhese.com,ab.hwigroup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,e7f4e5f99d91c99b617e5f46768879ac,5df437ce185680d42e15b77995ddd0e654f2ce1df860a9607acf3598fec338e7,ctls,pool-dpgmedia.adhese.com,AmazonS3,Amazon Web Services,https://pool-dpgmedia.adhese.com/,True,google,True
admin.hwigroup.com,[ Hardware Info ],200,1069,AS15703,TRUESERVER-AS TrueServer BV AS number,NL,87.233.134.0/24,80,http://admin.hwigroup.com:80,http,text/html,GET,87.233.92.27,/,-127240768,87.233.92.27,25,False,admin.hwigroup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-09T02:03:10Z,2023-08-07T02:03:09Z,CN=admin.hwigroup.com,admin.hwigroup.com,admin.hwigroup.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5fb6348dab287a0bf58f2f3eb48c4d7d,23413f9bf574b85e524dccdf605368ab9e3831880f996426a6dc8eac0dede45f,ctls,admin.hwigroup.com,nginx,PHP,https://admin.hwigroup.com/,,,
hwigroup.com,404 Not Found,404,195,AS15703,TRUESERVER-AS TrueServer BV AS number,NL,87.233.134.0/24,80,http://hwigroup.com:80,http,text/html,GET,87.233.92.28,/,-705692344,87.233.92.28,7,False,,,,,,,,,,,,,,,,,,,,,,,,
nlwebserver.hwigroup.com,404 Not Found,404,195,AS15703,TRUESERVER-AS TrueServer BV AS number,NL,87.233.134.0/24,80,http://nlwebserver.hwigroup.com:80,http,text/html,GET,87.233.92.28,/,-705692344,87.233.92.28,7,False,,,,,,,,,,,,,,,,,,,,,,,,
nlwebserverssl.hwigroup.com,404 Not Found,404,195,AS15703,TRUESERVER-AS TrueServer BV AS number,NL,87.233.134.0/24,443,https://nlwebserverssl.hwigroup.com:443,https,text/html,GET,87.233.92.27,/,-705692344,87.233.92.27,7,False,nlwebserverssl.hwigroup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-05-09T02:03:10Z,2023-08-07T02:03:09Z,CN=admin.hwigroup.com,admin.hwigroup.com,admin.hwigroup.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5fb6348dab287a0bf58f2f3eb48c4d7d,23413f9bf574b85e524dccdf605368ab9e3831880f996426a6dc8eac0dede45f,ctls,nlwebserverssl.hwigroup.com,nginx,Nginx,,,,
t.hwigroup.com,,400,,AS16509,AS16509,Unknown,54.64.0.0/12,443,https://t.hwigroup.com:443,https,,GET,54.78.247.68,/,-1840324437,54.155.59.45,1,False,t.hwigroup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-10T00:00:00Z,2023-10-06T23:59:59Z,CN=t.hwigroup.com,t.hwigroup.com,t.hwigroup.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3a54fe59275c94660980c0318368cbd3,5480111b194d06065684b0af1fa5418650f7b2aba6ef835d89368dc6d1f9a01d,ctls,t.hwigroup.com,,,,,,
www.hwigroup.com,404 Not Found,404,195,AS15703,TRUESERVER-AS TrueServer BV AS number,NL,87.233.134.0/24,80,http://www.hwigroup.com:80,http,text/html,GET,87.233.92.28,/,-705692344,87.233.92.28,7,False,,,,,,,,,,,,,,,,,,,,,,,,
