new,host,a,cname,soa,status_code,txt,has_internal_ips,internal_ips,aaaa,ns,cdn,cdn-name,mx,caa
[x],aa.hwigroup.com,"35.205.232.200, 205.251.194.189",,"ns-1743.awsdns-25.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1384.awsdns-45.org, ns-1743.awsdns-25.co.uk, ns-213.awsdns-26.com, ns-701.awsdns-23.net",True,google,,
[x],ab.hwigroup.com,"13.32.121.91, 13.32.121.109, 13.32.121.49, 13.32.121.81",,"ns-1743.awsdns-25.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,"2600:9000:2240:f000:6:4638:58c0:93a1, 2600:9000:2240:b400:6:4638:58c0:93a1, 2600:9000:2240:da00:6:4638:58c0:93a1, 2600:9000:2240:e800:6:4638:58c0:93a1, 2600:9000:236e:da00:6:4638:58c0:93a1, 2600:9000:236e:9e00:6:4638:58c0:93a1, 2600:9000:2240:d200:6:4638:58c0:93a1, 2600:9000:2240:ec00:6:4638:58c0:93a1","ns-701.awsdns-23.net, ns-1384.awsdns-45.org, ns-1743.awsdns-25.co.uk, ns-213.awsdns-26.com",True,cloudfront,,amazon.com
[x],admin.hwigroup.com,87.233.92.27,nlwebserverssl.hwigroup.com,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],cygnus.hwigroup.com,87.233.92.3,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 ip4:87.233.92.0/27 ip4:213.239.154.0/26 ip6:2001:9a8:0:e::/64 include:_spf.google.com include:aspmx.pardot.com -all,,,,,,,,
[x],hwigroup.com,87.233.92.28,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 ip4:87.233.92.0/27 ip4:213.239.154.0/26 ip6:2001:9a8:0:e::/64 include:_spf.google.com include:aspmx.pardot.com -all,,,,"ns-1848.awsdns-39.co.uk, ns-365.awsdns-45.com, ns-648.awsdns-17.net, ns-1388.awsdns-45.org",,,"fallback.mail.pcextreme.nl, primary.mail.pcextreme.nl","letsencrypt.org, amazon.com"
[x],mail.hwigroup.com,217.115.193.90,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1388.awsdns-45.org, ns-1848.awsdns-39.co.uk, ns-365.awsdns-45.com, ns-648.awsdns-17.net",,,,
[x],my16-preview.aa.hwigroup.com,0.0.0.0,,"fake-for-negative-caching.adguard.com, hostmaster.my16-preview.aa.hwigroup.com",NOERROR,,True,0.0.0.0,::,,,,,
[x],nlwebserver.hwigroup.com,87.233.92.28,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],nlwebserverssl.hwigroup.com,87.233.92.27,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],t.hwigroup.com,"54.155.59.45, 52.213.168.85, 54.78.247.68",hardware-sst.data.dpgmedia.cloud,"ns-157.awsdns-19.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],taurus.hwigroup.com,172.29.249.240,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 ip4:87.233.92.0/27 ip4:213.239.154.0/26 ip6:2001:9a8:0:e::/64 include:_spf.google.com include:aspmx.pardot.com -all,True,172.29.249.240,,,,,,
[x],upload.hwigroup.com,,,,NOERROR,,,,,,,,,
[x],www.hwigroup.com,87.233.92.28,nlwebserver.hwigroup.com,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
