new,host,aaaa,soa,status_code,a,cname,cdn,cdn-name,txt,mx,ns
[x],acc.registry.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.6.103,,,,,,
[x],access2.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.5.34,,,,,,
[x],ambitionhasanaddress.eurid.eu,"2606:4700::6810:a534, 2606:4700::6810:7c14","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.16.124.20, 104.16.165.52",trust.eurid.eu.cdn.cloudflare.net,True,cloudflare,,,
[x],av1.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.7.36,,,,,,
[x],av2.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.5.36,,,,,,
[x],barra.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.5.5,,,,,,
[x],be.dns.eu,2001:978:2:1::93:2,"si.dns.eu, tech.eurid.eu",NOERROR,149.38.1.26,,,,,,
[x],beta.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,,,,,,,
[x],beta.registry.eu,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,beta.registry.eu.cdn.cloudflare.net,True,cloudflare,,,
[x],board.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,,,,,,,
[x],cdn.yadifa.eu,"2606:4700:3032::6815:29b8, 2606:4700:3031::ac43:955c","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"172.67.149.92, 104.21.41.184",yadifa.eu.cdn.cloudflare.net,True,cloudflare,,,
[x],centr.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,,,,,,,
[x],clobba.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.7.19,,,,,,
[x],clobba.lu.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.5.19,,,,,,
[x],clobba.nl.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.7.19,,,,,,
[x],cryptshare.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,,cs.eurid.eu,,,,,
[x],cuda.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.7.5,,,,,,
[x],cvproxy01.eurid.eu,"2001:67c:9c:3937::252, 2001:67c:40:3937::252, 2001:67c:9c:3937::253, 2001:67c:40:3937::253, 2a02:568:fe00::6575","ns1.eurid.eu, tech.eurid.eu",NOERROR,"185.36.5.16, 185.36.4.252, 185.36.6.252, 185.36.4.253, 185.36.6.253, 185.151.141.1",cvproxy01.lu.eurid.eu,,,,,"ns2.eurid.eu, nsx.eurid.eu, ns4.eurid.eu, nsp.netnod.se, ns1.eurid.eu, ns3.eurid.eu"
[x],cvproxy01.nl.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.7.16,,,,,,
[x],cz-a.nic.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,93.190.128.139,,,,,,
[x],cz-b.nic.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,93.190.128.140,,,,,,"ns1.eurid.eu, ns4.eurid.eu, ns2.eurid.eu, ns3.eurid.eu"
[x],cz.dns.eu,,"si.dns.eu, tech.eurid.eu",NOERROR,93.190.128.138,,,,,,
[x],cz.nic.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,93.190.128.138,,,,,,
[x],das.eu,"2001:67c:9c:3937::252, 2001:67c:40:3937::252, 2001:67c:9c:3937::253, 2001:67c:40:3937::253, 2a01:3f1:3033::53, 2a02:568:fe00::6575","ns1.eurid.eu, tech.eurid.eu",NOERROR,"185.36.6.10, 185.36.4.252, 185.36.6.252, 185.36.4.253, 185.36.6.253, 194.58.198.33, 185.151.141.1",,,,"detectify-verification=d8da1c9a0dcf2bd5c73850dbbb7a7906, v=spf1 -all",,"ns4.eurid.eu, ns3.eurid.eu, nsx.eurid.eu, ns1.eurid.eu, ns2.eurid.eu, nsp.netnod.se"
[x],das.lu.registry.eu,2001:67c:9c:2011::10,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.4.10,,,,,,
