new,host,a,cname,soa,status_code,aaaa,ns,cdn,cdn-name,mx,txt,caa
[x],click-partnernotification.capitalone.com,,click.c1-t.msyscloud.com,"ns-223.awsdns-27.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],click-partneroffer.capitalone.com,,click.c1-t.msyscloud.com,"ns-223.awsdns-27.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],click-sparkbusinesscard.capitalone.com,13.111.42.205,,"ns1.capitalone.com, hostmaster.capitalone.com",NOERROR,,,,,,,
[x],click-springdeals.capitalone.com,13.111.165.9,,"ns1.capitalone.com, hostmaster.capitalone.com",NOERROR,,,,,,,
[x],click-takechargemail.capitalone.com,"54.187.134.7, 52.88.110.2, 35.166.255.90",spgo.io,"ns-678.awsdns-20.net, awsdns-hostmaster.amazon.com",NOERROR,,"ns-678.awsdns-20.net, ns-1380.awsdns-44.org, ns-1748.awsdns-26.co.uk, ns-277.awsdns-34.com",,,smtp.sparkpostmail.com,,
[x],click.notification.capitalone.co.uk,,click.coep.sparkpostelite.com,"ns-1755.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],client-logger-api.wikibuy.com,"104.16.189.71, 104.16.190.71",,"ivy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700::6810:be47, 2606:4700::6810:bd47",,True,cloudflare,,,
[x],clip-data.capitalone.co.uk,"52.215.76.30, 176.34.147.229, 54.228.169.108","clip-email-waf.aws-uk.capitalonegslbex.com, rpclip-prod-euw1-traffic.aws-cof-uk-core-pub-prd-waf-ew1.capitalonegslbex.com","ns-769.awsdns-32.net, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1059.awsdns-04.org, ns-1647.awsdns-13.co.uk, ns-374.awsdns-46.com, ns-769.awsdns-32.net",,,,,
[x],clip.capitalone.co.uk,"108.138.7.21, 108.138.7.84, 108.138.7.44, 108.138.7.31",clip-ui-prod.aws-uk.capitalonegslbex.com,"ns-657.awsdns-18.net, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,
[x],clo1-qa.clouddqt.capitalone.com,,,,NOERROR,,,,,,,
[x],cloud-cardcommunication.capitalone.com,136.147.129.35,"tll-7l39l55vlgppk9xpfk0rlkj1.cp-sap.sfmc-content.com, pub.s7.exacttarget.com","ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,
[x],clubbusiness.capitalone.com,"18.66.122.108, 18.66.122.32, 18.66.122.62, 18.66.122.74",vanity-url-redirects.aws-card.capitalonegslbex.com,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,
[x],cmb.capitalone.com,136.147.129.27,,"ns1.capitalone.com, hostmaster.capitalone.com",NOERROR,,,,,inbound-reply.s7.exacttarget.com,v=spf1 include:cust-spf.exacttarget.com -all,
[x],cml-cip-coordinator.capitalone.com,,oneview-coordinator-prod-east-waf.aws-cb.capitalonegslbex.com,"ns-295.awsdns-36.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],cml-cip.capitalone.com,,oneview-onboarding-ui-prod-cf.asvcmldocexchange.aws-cb.capitalonegslbex.com,"ns-295.awsdns-36.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],cml.capitalone.com,"52.38.11.44, 35.167.97.218, 52.32.146.65","cct-waf.aws-cb.capitalonegslbex.com, courier-prodcourweb-w-traffic.aws-cof-cml-core-pub-prd-waf-uw2.capitalonegslbex.com","ns-1277.awsdns-31.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],coaf-dealer-idp-qa.capitalone.com,"99.86.4.36, 99.86.4.21, 99.86.4.15, 99.86.4.109",coaf-dealer-idp.aws-fs1-qa.capitalonegslbex.com,"ns-156.awsdns-19.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,
[x],coaf-fs-identity-qa.capitalone.com,"18.66.147.107, 18.66.147.57, 18.66.147.31, 18.66.147.44",coaf-fs-identity.aws-fs1-qa.capitalonegslbex.com,"ns-156.awsdns-19.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,
[x],coaf-fs-idp.capitalone.com,"18.66.122.104, 18.66.122.17, 18.66.122.115, 18.66.122.96","coaf-fs-idp-ui.aws-coaf.capitalonegslbex.com, deo5r03nsmaut.cloudfront.net","ns-1458.awsdns-54.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-231.awsdns-28.com, ns-1554.awsdns-02.co.uk, ns-928.awsdns-52.net, ns-1458.awsdns-54.org",True,cloudfront,,,
[x],coaf-lo-consumer-search-web-ui.capitalone.com,"108.156.60.45, 108.156.60.78, 108.156.60.93, 108.156.60.73",coaf-lo-consumer-search-web-ui.aws-fs1.capitalonegslbex.com,"ns-1085.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,
[x],coaf-np-mfe.capitalone.com,"18.244.114.9, 18.244.114.46, 18.244.114.62, 18.244.114.65",coaf-np-mfe.aws-fs1.capitalonegslbex.com,"ns-1085.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1085.awsdns-07.org, ns-1655.awsdns-14.co.uk, ns-216.awsdns-27.com, ns-941.awsdns-53.net",True,cloudfront,,,
[x],coaf-refi-referrals.capitalone.com,,coaf-refi-referrals.aws-fs1.capitalonegslbex.com,"ns-1085.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,
[x],coaf-refi-web-ui-qa.capitalone.com,,coaf-refi-web-ui.aws-fs1-qa.capitalonegslbex.com,"ns-156.awsdns-19.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,
