new,host,a,soa,status_code,cname,cdn,cdn-name,aaaa,ns,caa,txt,has_internal_ips,internal_ips,mx
[x],adfs.kkr.com,12.185.51.157,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],aedphantom01.kkr.com,8.45.119.51,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],aepphantom01.kkr.com,,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],aezesportallb01.kkr.com,63.116.77.27,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],apacvpn.kkr.com,202.95.104.25,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],api.dev.dash.kkr.com,"18.211.25.53, 54.165.129.247, 44.214.194.195","ns-1466.awsdns-55.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.preprod.dash.kkr.com,"34.232.75.47, 52.45.74.66, 18.209.189.147","ns-1466.awsdns-55.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.qa.dash.kkr.com,"34.195.236.149, 54.88.232.78, 44.198.130.218","ns-1466.awsdns-55.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],assets.kkr.com,"18.66.97.12, 18.66.97.5, 18.66.97.28, 18.66.97.73","ns-582.awsdns-08.net, awsdns-hostmaster.amazon.com",NOERROR,kkr.bynder.com,True,cloudfront,,,amazonaws.com,,,,
[x],autodiscover.consultant.kkr.com,99.129.194.150,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],autodiscover.kkr.com,62.190.87.65,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,emeamailext.kkr.com,,,,,,,,,
[x],av.kkr.com,65.216.176.41,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,lync.kkr.com,,,,,,,,,
[x],aws.kkr.com,65.216.176.44,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,redirect.kkr.com,,,,,,,,,
[x],bjvpn.kkr.com,,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],cba-uat.identity.kkr.com,"3.90.159.105, 54.236.156.209","ns-1275.awsdns-31.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1275.awsdns-31.org, ns-1653.awsdns-14.co.uk, ns-443.awsdns-55.com, ns-998.awsdns-60.net",,,,,
[x],cinfra.kkr.cloud,,"ns-1446.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],click.communications.kkr.com,128.245.97.182,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],cloud.cinfra.kkr.com,,"ns-1284.awsdns-32.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1284.awsdns-32.org, ns-1989.awsdns-56.co.uk, ns-353.awsdns-44.com, ns-905.awsdns-49.net",,,,,
[x],cloud.communications.kkr.com,128.245.82.27,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
