new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,has_internal_ips,internal_ips
[x],de.docs.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:49f, 2606:4700::6812:59f","nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],deimos.kali.org,,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],dionysus.kali.org,144.217.75.200,,,NOERROR,,,,,
[x],discord.kali.org,"104.18.5.159, 104.18.4.159","2606:4700::6812:49f, 2606:4700::6812:59f","nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],docs.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:49f, 2606:4700::6812:59f",,NOERROR,True,cloudflare,,,
[x],docs.offensive-security.com,45.79.131.24,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],download-dev.offensive-security.com,,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],download-pr.offensive-security.com,192.116.158.6,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],download-preprod.offensive-security.com,,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],download.offensive-security.com,3.231.7.212,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],downloads.kali.org,"188.114.98.234, 188.114.99.234",,,NOERROR,True,cloudflare,,,
[x],downloads2.offensive-security.com,66.232.103.192,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],en.docs.kali.org,"104.18.5.159, 104.18.4.159","2606:4700::6812:59f, 2606:4700::6812:49f","nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],engineeringinfra-sql.docs.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:59f, 2606:4700::6812:49f","nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],eos.kali.org,,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],epimetheus.kali.org,"104.18.5.159, 104.18.4.159",,,NOERROR,True,cloudflare,,,
[x],eratos.kali.org,149.56.16.175,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],eris.kali.org,,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],eros.kali.org,,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],es.docs.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:49f, 2606:4700::6812:59f","nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],eur-p-gen-6-126-76-19.docs.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:49f, 2606:4700::6812:59f",,NOERROR,True,cloudflare,,,
[x],exploit-db.com,192.124.249.13,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],forums.kali.org,192.124.249.12,,,NOERROR,,,,,
[x],fr.docs.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:59f, 2606:4700::6812:49f",,NOERROR,True,cloudflare,,,
[x],fwdash.offensive-security.com,,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],get.kali.org,"104.18.4.159, 104.18.5.159",,,NOERROR,True,cloudflare,,,
[x],git.kali.org,"104.18.4.159, 104.18.5.159",,,NOERROR,True,cloudflare,,,
[x],gq1-attach.docs.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:49f, 2606:4700::6812:59f","nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],gsi4.docs.kali.org,"188.114.98.234, 188.114.99.234",,,NOERROR,True,cloudflare,,,
[x],gsp46.docs.kali.org,"188.114.99.234, 188.114.98.234",,,NOERROR,True,cloudflare,,,
[x],h-135-207-32-34.docs.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:49f, 2606:4700::6812:59f","nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],h-135-207-55-57.docs.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:59f, 2606:4700::6812:49f","nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],he.docs.kali.org,"104.18.4.159, 104.18.5.159",,,NOERROR,True,cloudflare,,,
[x],hecate.kali.org,176.31.228.102,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],helios.kali.org,,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],help.offensive-security.com,217.70.184.56,,,NOERROR,,,webredir.gandi.net,,
[x],hephaestus.kali.org,,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],hermes.kali.org,,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],hestia.kali.org,192.99.150.26,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],http-staging.kali.org,158.69.125.93,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,poseidon.kali.org,,
[x],http.kali.org,192.99.200.113,,,NOERROR,,,hebe.kali.org,,
[x],iapetus.kali.org,45.56.107.246,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],id.docs.kali.org,"104.18.5.159, 104.18.4.159","2606:4700::6812:59f, 2606:4700::6812:49f","nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],image.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:59f, 2606:4700::6812:49f",,NOERROR,True,cloudflare,,,
[x],images.kali.org,"104.18.5.159, 104.18.4.159","2606:4700::6812:49f, 2606:4700::6812:59f",,NOERROR,True,cloudflare,,,
[x],images.offensive-security.com,"51.161.86.17, 54.39.243.50, 54.39.243.51, 51.222.8.235",,,NOERROR,,,,,
[x],intwww-test.docs.kali.org,"104.18.5.159, 104.18.4.159","2606:4700::6812:49f, 2606:4700::6812:59f",,NOERROR,True,cloudflare,,,
[x],iris.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:59f, 2606:4700::6812:49f",,NOERROR,True,cloudflare,,,
[x],it.docs.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:59f, 2606:4700::6812:49f",,NOERROR,True,cloudflare,,,
[x],ja.docs.kali.org,"104.18.5.159, 104.18.4.159",,,NOERROR,True,cloudflare,,,
