new,host,a,aaaa,mx,soa,ns,txt,status_code,cdn,cdn-name,cname
,ads-adserver.jora.com,"104.16.104.16, 104.16.103.16","2606:4700::6810:6710, 2606:4700::6810:6810",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,ads-adtracker.jora.com,"104.16.103.16, 104.16.104.16","2606:4700::6810:6710, 2606:4700::6810:6810",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,ads.jora.com,"13.210.56.108, 3.106.15.11",,,"ns-99.awsdns-12.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,"jupiter-adserver.ads.ap-southeast-2.aws.joraland.com, awseb-e-9-awsebloa-zmaw0lsqjt0w-1712797012.ap-southeast-2.elb.amazonaws.com"
,ae.jora.com,"104.16.104.16, 104.16.103.16","2606:4700::6810:6710, 2606:4700::6810:6810",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,api-dev.employer.jora.com,"104.16.104.16, 104.16.103.16","2606:4700::6810:6810, 2606:4700::6810:6710",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,api.employer.jora.com,"104.16.104.16, 104.16.103.16","2606:4700::6810:6810, 2606:4700::6810:6710",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,api.jora.com,"104.16.104.16, 104.16.103.16","2606:4700::6810:6810, 2606:4700::6810:6710",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,ar.jora.com,,"2606:4700::6810:6810, 2606:4700::6810:6710",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,assets.jora.com,,,,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,autodiscover.jora.com,"40.99.222.184, 52.98.241.200, 40.99.150.72, 40.99.150.88","2603:1026:c0d:c2d::8, 2603:1026:c0d:c1d::8, 2603:1026:c0d:c02::8, 2603:1026:c0d:c2f::8",,"ns1-ms-acdc.office.com, hostmaster.microsoft.com",,,NOERROR,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com"
,bd.jora.com,"104.16.104.16, 104.16.103.16","2606:4700::6810:6710, 2606:4700::6810:6810",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,cdn.jora.com,"104.16.104.16, 104.16.103.16","2606:4700::6810:6710, 2606:4700::6810:6810",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,cdn1.jora.com,"104.16.103.16, 104.16.104.16","2606:4700::6810:6710, 2606:4700::6810:6810",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,cl.jora.com,"104.16.103.16, 104.16.104.16","2606:4700::6810:6710, 2606:4700::6810:6810",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,co.jora.com,"104.16.104.16, 104.16.103.16","2606:4700::6810:6710, 2606:4700::6810:6810",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,dev-emp.jora.com,"104.16.104.16, 104.16.103.16","2606:4700::6810:6810, 2606:4700::6810:6710",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
