input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,final_url,csp_domains_
employer.jora.com,Jora | Making Job Search Easier,200,11867,www.jora.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.jora.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",750ea44239f4fdf5135e426ca82997b4,680aa31d228bc8f584974cd5ccd8a5c7c334a63feaf0870b5f5d84c506af2007,True,ctls,www.jora.com,cloudflare,443,https://employer.jora.com:443,https,cloudflare,text/html,GET,104.16.103.16,/,-1237471922,2606:4700::6810:6810,Ruby on Rails,54,False,True,,https://www.jora.com,
es.jora.com,Empleos | Buscar empleo | Jora,200,58214,es.jora.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.jora.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",750ea44239f4fdf5135e426ca82997b4,680aa31d228bc8f584974cd5ccd8a5c7c334a63feaf0870b5f5d84c506af2007,True,ctls,es.jora.com,cloudflare,443,https://es.jora.com:443,https,cloudflare,text/html,GET,104.16.104.16,/,-1840324437,2606:4700::6810:6810,Ruby on Rails,60,False,True,,,
events.jora.com,The page you were looking for doesn't exist (404),404,1564,events.jora.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-09-03T23:59:59Z,CN=jora.com,jora.com,,*.jora.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b4c5971b561a3be385f026ee9d368edc,f3096dbaebcef161191c558274d308b0a5f95c32918a958ee630685f5c3b9385,True,ctls,events.jora.com,,443,https://events.jora.com:443,https,nginx/1.16.1,text/html,GET,13.237.95.252,/,-1840324437,13.238.103.242,Nginx:1.16.1,68,False,,,,
firefly.jora.com,Firefly,200,11384,firefly.jora.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.jora.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",750ea44239f4fdf5135e426ca82997b4,680aa31d228bc8f584974cd5ccd8a5c7c334a63feaf0870b5f5d84c506af2007,True,ctls,firefly.jora.com,cloudflare,443,https://firefly.jora.com:443,https,cloudflare,text/html,GET,104.16.103.16,/,-1840324437,2606:4700::6810:6810,Ruby on Rails,165,False,True,,https://firefly.jora.com/users/sign_in,
fonts.gstatic.com,Error 404 (Not Found)!!1,404,1561,fonts.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=*.gstatic.com,*.gstatic.com,,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,bfad550991c74ed92bd118c1494e57dd,958e74d861d2478f5cc50b432f2fa8933d03fbd4ea85dc3783b548b2882ecdb2,True,ctls,fonts.gstatic.com,,443,https://fonts.gstatic.com:443,https,sffe,text/html,GET,142.250.184.227,/,302920777,2a00:1450:4001:801::2003,HTTP/3,12,False,,,,
fr.jora.com,Recherche d'emploi | Jora,200,58960,fr.jora.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.jora.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",750ea44239f4fdf5135e426ca82997b4,680aa31d228bc8f584974cd5ccd8a5c7c334a63feaf0870b5f5d84c506af2007,True,ctls,fr.jora.com,cloudflare,443,https://fr.jora.com:443,https,cloudflare,text/html,GET,104.16.103.16,/,-1840324437,2606:4700::6810:6810,Ruby on Rails,60,False,True,,,
global-lb.jora.com,502 Bad Gateway,502,910,global-lb.jora.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.jora.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",750ea44239f4fdf5135e426ca82997b4,680aa31d228bc8f584974cd5ccd8a5c7c334a63feaf0870b5f5d84c506af2007,True,ctls,global-lb.jora.com,cloudflare,443,https://global-lb.jora.com:443,https,cloudflare,text/html,GET,104.16.104.16,/,-184774519,2606:4700::6810:6810,Cloudflare,14,False,True,,,
hk.jora.com,Job Search Hong Kong | Jora,200,45787,hk.jora.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.jora.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",750ea44239f4fdf5135e426ca82997b4,680aa31d228bc8f584974cd5ccd8a5c7c334a63feaf0870b5f5d84c506af2007,True,ctls,hk.jora.com,cloudflare,443,https://hk.jora.com:443,https,cloudflare,text/html,GET,104.16.103.16,/,-1840324437,2606:4700::6810:6810,Ruby on Rails,60,False,True,,,
https://oinmanager.okta.com,OIN Manager - Landing Page,200,1111,oinmanager.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-01T00:00:00Z,2023-12-22T23:59:59Z,"CN=oinmanager.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",oinmanager.okta.com,"Okta, Inc.",oanmanager.okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c5ed6ef95b0582df3921359102788ad7,f97c36fa2d8a127a09340ceedf19856921fe6b3627f400ad24c548854b842b1e,,ctls,oinmanager.okta.com,,443,https://oinmanager.okta.com:443,https,envoy,text/html,GET,52.201.64.124,/,-2069203784,100.26.83.76,HSTS,6,False,,,,
ie.jora.com,Job Search Ireland | Jora,200,41938,ie.jora.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.jora.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",750ea44239f4fdf5135e426ca82997b4,680aa31d228bc8f584974cd5ccd8a5c7c334a63feaf0870b5f5d84c506af2007,True,ctls,ie.jora.com,cloudflare,443,https://ie.jora.com:443,https,cloudflare,text/html,GET,104.16.103.16,/,-1840324437,2606:4700::6810:6710,Ruby on Rails,60,False,True,,,
jora-assets.jora.com,,403,255,jora-assets-candix-prod.s3-us-west-1.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-01-21T23:59:59Z,CN=*.s3-us-west-1.amazonaws.com,*.s3-us-west-1.amazonaws.com,,s3-deprecated.us-west-1.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a7731665aa51cfb8a34632ba05ff0396,9765b2e601b54cda73361d013ab6af19197df90fe4ee10003d4bbd1b86f9feac,True,ctls,jora-assets-candix-prod.s3-us-west-1.amazonaws.com,cloudflare,443,https://jora-assets.jora.com:443,https,AmazonS3,application/xml,GET,104.16.103.16,/,1268539381,2606:4700::6810:6810,Amazon Web Services,2,False,True,,https://jora-assets-candix-prod.s3-us-west-1.amazonaws.com/,
jora.com,Jora | Making Job Search Easier,200,11867,www.jora.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.jora.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",750ea44239f4fdf5135e426ca82997b4,680aa31d228bc8f584974cd5ccd8a5c7c334a63feaf0870b5f5d84c506af2007,True,ctls,www.jora.com,cloudflare,443,https://jora.com:443,https,cloudflare,text/html,GET,104.16.103.16,/,-783642734,2606:4700::6810:6710,Ruby on Rails,54,False,True,,https://www.jora.com/,
jupiter-admin.jora.com,SEEK - Sign In,200,27463,seek.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,"Okta, Inc.",okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,True,ctls,seek.okta.com,cloudflare,80,http://jupiter-admin.jora.com:80,http,nginx,text/html,GET,104.16.103.16,/,832182791,2606:4700::6810:6810,Nginx,511,False,True,,https://seek.okta.com/oauth2/v1/authorize?client_id=0oa3g8uzqrjjLjCX12p7&redirect_uri=https%3A%2F%2Fauth.ssod.skinfra.xyz%2Foauth2%2Fidpresponse&scope=openid+email+profile&response_type=code&state=H4sIAAAAAAAAAGVSyZKiQBD9F65KK5sURvTBBQUXUFsQmJ7oKKVKESlKikWYmH-f8jy39zJfvsyMzD8CFMYCpCLLq_KGICtF-ae1AnZdMmch9IUzTzOEUjFPS8j5hXMJQBIThiW5yDKVDEtNAVqKRzfEBTEX3MqSsvFgcM8LKN4rmpSoEGGcJeSDsTz-YGlCcAE_Xm03yCFvLA-SmBaI0ZywtwniJpc8fkPMoWvPZxxehfEvIaeIJLHwuy_c3iLSU51Q-_4eeAWWl1_BJVZTespf_tHmwR5YhctZENjDkcRp5yq7uDeMMHpGk-n86g0DigxGqL6dSNY2MSMvDOStaZjhqMoUm0rBHLBzZPQ8bbLwdiMUFtGhPngn76W05LFq5ElzmjwUEJo69wcWzfKvmYtTr6kP_tI3L5sy3JbpqlQlf-Wox6NLqqbEpLv5WXetddfYQxB2B1u7L_PTxtlV-vDVfH7ybVO-nrWxjlab4dW6be1anFY032_W8LAgt2nXbIBa3tsmxQucgHNDnKCmxpzYeuOt4dx_sQrWboXcFa5Utin8WqSV9CysE9b2yQK2TrOy64esM3Pq_gRMx2vJqjQrnXRQ8vBu8XoeqxkCte7QyE8X1-0-UUSvXsZMizSp6A6NcU2PlYxPimbyiR_vV-LX_O_IPJcJY2kEFCBJYGT0BSqMMXww1BcKXqTIqnzWR7EIztAQ1RgoohGriojPSNGHMEbKBQp__wH9Yk1brAIAAA.H4sIAAAAAAAAAAEgAN__rZvnqxn1J6IBlDCw6pgnHoP79dAFDLG8i6I5ikPt_3Jic3mrIAAAAA.3,*.mtls.okta.com
jupiter.jora.com,,200,,jupiter.jora.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.jora.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",750ea44239f4fdf5135e426ca82997b4,680aa31d228bc8f584974cd5ccd8a5c7c334a63feaf0870b5f5d84c506af2007,True,ctls,jupiter.jora.com,cloudflare,443,https://jupiter.jora.com:443,https,cloudflare,text/html,GET,104.16.104.16,/,-1840324437,2606:4700::6810:6810,Cloudflare,1,False,True,,,
kh.jora.com,Jora | Making Job Search Easier,200,11867,www.jora.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.jora.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",750ea44239f4fdf5135e426ca82997b4,680aa31d228bc8f584974cd5ccd8a5c7c334a63feaf0870b5f5d84c506af2007,True,ctls,www.jora.com,cloudflare,443,https://kh.jora.com:443,https,cloudflare,text/html,GET,104.16.103.16,/,812230165,2606:4700::6810:6710,Ruby on Rails,54,False,True,,https://www.jora.com/,
l.local.jora.com,404 Not Found,404,548,l.local.jora.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-25T00:00:00Z,2023-06-24T23:59:59Z,"CN=jora.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",jora.com,"Cloudflare, Inc.",jora.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2e0120a6378798c218515f6b1c022177,5fb10af182422b5677c55e1ca330688bb4d1059de495e62657f621e93eb91d27,True,ctls,l.local.jora.com,cloudflare,443,https://l.local.jora.com:443,https,cloudflare,text/html,GET,104.16.104.16,/,-1077552529,2606:4700::6810:6810,Cloudflare,9,False,True,,,
l.news.jora.com,404 Not Found,404,548,l.news.jora.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-25T00:00:00Z,2023-06-24T23:59:59Z,"CN=jora.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",jora.com,"Cloudflare, Inc.",jora.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2e0120a6378798c218515f6b1c022177,5fb10af182422b5677c55e1ca330688bb4d1059de495e62657f621e93eb91d27,True,ctls,l.news.jora.com,cloudflare,443,https://l.news.jora.com:443,https,cloudflare,text/html,GET,104.16.104.16,/,-1629697360,2606:4700::6810:6710,Cloudflare,9,False,True,True,,
la.jora.com,Jora | Making Job Search Easier,200,11867,www.jora.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.jora.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",750ea44239f4fdf5135e426ca82997b4,680aa31d228bc8f584974cd5ccd8a5c7c334a63feaf0870b5f5d84c506af2007,True,ctls,www.jora.com,cloudflare,443,https://la.jora.com:443,https,cloudflare,text/html,GET,104.16.104.16,/,2109753266,2606:4700::6810:6710,Ruby on Rails,54,False,True,,https://www.jora.com/,
login.okta.com,Okta Account Chooser,200,4019,login.okta.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-13T00:00:00Z,2023-07-25T23:59:59Z,"CN=accounts.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",accounts.okta.com,"Okta, Inc.",login.okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3160cc4e89f7e4b968094ddcc41a321c,f24fc33dd2ba85fbf1dd5e62e20cce39a2e5c786791d04fed4252bf59e00a51d,,ctls,login.okta.com,cloudfront,443,https://login.okta.com:443,https,AmazonS3,text/html,GET,108.138.7.126,/,1780699392,108.138.7.107,Amazon Web Services,1,False,True,,,
