new,host,a,soa,status_code,cname,mx,ns,txt,aaaa,has_internal_ips,internal_ips
[x],acceptservice.deboraxvideo.redtube.com,54.144.128.85,,NOERROR,,,,,,,
[x],corporatemysqlbackups-www-test.www2.redtube.com,,,NOERROR,,,,,,,
[x],stage-feeds.redtube.com,66.254.114.192,"sdns3.ultradns.net, dns.mindgeek.com",NOERROR,stage.redtube.com,,,,,,
[x],staticcdn.redtube.com,66.254.114.238,"dns1.p03.nsone.net, hostmaster.nsone.net, sdns3.ultradns.net, dns.mindgeek.com",NOERROR,,,,,,,
[x],umecie55.redtube.com,,,NOERROR,,,,,,,
[x],vipjirav1-oceania-mx.blog.redtube.com,,,NOERROR,,,,,,,
,999km.cn.htmlwww.redtube.com,,,NOERROR,,,,,,,
,affiliate.redtube.com,66.254.114.238,"sdns3.ultradns.net, dns.mindgeek.com",NOERROR,,,,,,,
,api.redtube.com,66.254.114.152,"dns1.p03.nsone.net, hostmaster.nsone.net, sdns3.ultradns.net, dns.mindgeek.com",NOERROR,,,,,,,
,blog.redtube.com,66.254.114.170,"dns1.p03.nsone.net, hostmaster.nsone.net, sdns3.ultradns.net, dns.mindgeek.com",NOERROR,,,,,,,
,br.redtube.com,66.254.114.238,"dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,redtube.com,"mxa-002a0701.gslb.pphosted.com, mxb-002a0701.gslb.pphosted.com","dns1.p03.nsone.net, dns2.p03.nsone.net, dns3.p03.nsone.net, dns4.p03.nsone.net, sdns3.ultradns.biz, sdns3.ultradns.com, sdns3.ultradns.net, sdns3.ultradns.org","9jm5x38zsnj8c9l8mlfl54ztzbbd8y3s, MS=ms41815766, V-kzbjHYyHYVtniBJuyiWJ5wDd5cW_BuUbPo9Yo-gIU, bhsdsmd081rdt2fd9l6plb8zwsphcjmq, google-site-verification=9gpxCff5vciyFx55Hj_mVTxUoThKaCZyjrni3nuyyuo, google-site-verification=JNmeyeScDi8vsIQLhXXG9DEuJGQ-iZnTZlV5ju4_nO4, google-site-verification=moAnpmLNPD6q_dlvxBI0EOfEu3Brvcqk9vrrqTrYsHU, google-site-verification=nA3sW-BoUeZdxEPNSeHo2fG58wJ_yF2B9aQ9vjMCNsA, google-site-verification=yXCZcuvHm7yQ5rLhnWiIiKlRCh514J-x3M9upiCtQJ4, rbtwq1jnw88fxz1q3wm9krj5cd2cctrx, v=spf1 a mx include:_spf.google.com include:mail.zendesk.com ip4:208.91.206.64/26 ip4:62.212.83.19/32 ip4:31.192.125.32/28 ip4:208.99.69.22/32 ip4:94.199.252.160/28 mx ip4:162.211.96.66 ip4:162.211.96.67 include:spf-002a0701.pphosted.com include:spf.prote, ction.outlook.com ~all",,,
,cms.redtube.com,,"dns1.p03.nsone.net, hostmaster.nsone.net, sdns3.ultradns.net, dns.mindgeek.com",NOERROR,,,,,,,
,datav3.ads03.redtube.com,0.0.0.0,"ns.mydomain.com.ads03.redtube.com, hostmaster.mydomain.com",NOERROR,,,,,,True,0.0.0.0
