new,host,a,cname,soa,status_code,cdn,cdn-name,ns,has_internal_ips,internal_ips,aaaa
[x],aggregation.citrixworkspacesapi.net,40.74.35.115,"ctxwsp-aggregation-fdproxy-global.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasesproxy.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
[x],browser-receiver-b.browser.cloud.com,"92.122.101.26, 92.122.101.43","browser-receiver-b.azureedge.net, browser-receiver-b.akstd.azureedge.net, azureedge.mdc.akamaized.net, a1879.dscw14.akamai.net","n0dscw14.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,"2a02:26f0:b200::1748:fc91, 2a02:26f0:b200::1748:fc82"
[x],browser.cloud.com,20.66.32.155,,"ns-473.awsdns-59.com, awsdns-hostmaster.amazon.com",NOERROR,True,azure,"ns-1402.awsdns-47.org, ns-1748.awsdns-26.co.uk, ns-473.awsdns-59.com, ns-559.awsdns-05.net",,,
[x],cdn-australiaeast-release-a.citrixworkspacesapi.net,"2.20.132.153, 2.20.132.140","cdn-australiaeast-release-a.citrixworkspacesapi.net.edgekey.net, e27348.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],cdn-eastus-release-a.citrixworkspacesapi.net,"184.86.103.223, 184.86.103.202","cdn-eastus-release-a.citrixworkspacesapi.net.edgekey.net, e27348.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],citrixworkspacesapi.net,,,"ns-122.awsdns-15.com, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-735.awsdns-27.net, ns-122.awsdns-15.com, ns-1293.awsdns-33.org, ns-2030.awsdns-61.co.uk",,,
[x],cloudlibrary.citrixworkspacesapi.net,40.74.35.115,"ctxwsp-cloudlibrary-fdproxy-global.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasesproxy.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
[x],config.browser.cloud.com,20.66.32.155,"config-release-a.browser.cloud.com, ctxsb-prod-a-tm-config-profile.trafficmanager.net, config-us-a.browser.cloud.com, ctxsb-proda2-cp.westus.cloudapp.azure.com","ns1-02.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
[x],console-eastus-release-b.citrixworkspacesapi.net,52.224.137.210,ctxwsp-eastus-release-b-nt-console.eastus.cloudapp.azure.com,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
[x],core.citrixworkspacesapi.net,40.74.35.115,"ctxwsp-core-fdproxy-global.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasesproxy.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
[x],customers-eu.citrixworkspacesapi.net,40.74.35.115,"ctxwsp-customers-fdproxy-eu.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasesproxy.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
[x],cws.citrixworkspacesapi.net,40.74.35.115,"ctxwsp-cws-fdproxy-global.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasesproxy.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
[x],directory.citrixworkspacesapi.net,40.74.35.115,"ctxwsp-directory-fdproxy-global.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasesproxy.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
[x],features.citrixworkspacesapi.net,40.74.35.115,"ctxwsp-features-fdproxy-global.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasesproxy.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
[x],messaging-eu.citrixworkspacesapi.net,40.74.35.115,"ctxwsp-releasesproxy-eu.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasesproxy.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
[x],notifications.citrixworkspacesapi.net,40.74.35.115,"ctxwsp-notifications-fdproxy-global.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasesproxy.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
[x],partner-us.citrixworkspacesapi.net,40.90.246.186,"ctxwsp-partner-fdproxy-us.trafficmanager.net, ctxwsp-eastus-release-b-nt-releasesproxy.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
[x],partner.citrixworkspacesapi.net,40.90.246.186,"ctxwsp-partner-fdproxy-global.trafficmanager.net, ctxwsp-eastus-release-b-nt-releasesproxy.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
[x],systemlog.citrixworkspacesapi.net,40.74.35.115,"ctxwsp-systemlog-fdproxy-global.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasesproxy.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
[x],trust.citrixworkspacesapi.net,40.90.246.186,"ctxwsp-releasesproxy-global.trafficmanager.net, ctxwsp-eastus-release-b-nt-releasesproxy.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
[x],webhooks.citrixworkspacesapi.net,40.74.35.115,"ctxwsp-webhooks-fdproxy-global.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasesproxy.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
[x],winzip-windows-10.browser.cloud.com,,,,NOERROR,,,,,,
,admin-eu-a.browser.cloud.com,51.144.139.213,ctxsb-proda2-cp.westeurope.cloudapp.azure.com,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,admin-us-a.browser.cloud.com,20.66.32.155,ctxsb-proda2-cp.westus.cloudapp.azure.com,"ns1-02.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,agenthub-eastus-release-a.citrixworkspacesapi.net,52.150.55.190,"ctxwsp-agenthub-eastus-release-a.trafficmanager.net, agenthub-direct-eastus-release-a.citrixworkspacesapi.net, ctxwsp-eastus-release-a-nt-agenthub.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,agenthub-eu.citrixworkspacesapi.net,20.103.12.34,"ctxwsp-agwproxy-eu.trafficmanager.net, ctxwsp-agw-eu-0.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,
,agenthub-us.citrixworkspacesapi.net,52.224.84.80,"ctxwsp-agwproxy-us.trafficmanager.net, ctxwsp-agw-us-0.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,browser-receiver-a.browser.cloud.com,"92.122.101.26, 92.122.101.43","browser-receiver-a.azureedge.net, browser-receiver-a.akstd.azureedge.net, azureedge.mdc.akamaized.net, a1879.dscw14.akamai.net","n0dscw14.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,"2a02:26f0:b200::1748:fc82, 2a02:26f0:b200::1748:fc91"
,canaryservices-ap-s.citrixworkspacesapi.net,,,,NOERROR,,,,,,
,cdn-australiaeast-release-b.citrixworkspacesapi.net,"184.28.190.171, 184.28.190.144","cdn-australiaeast-release-b.citrixworkspacesapi.net.edgekey.net, e27348.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
,cdn-eastus-release-b.citrixworkspacesapi.net,"104.110.240.113, 104.110.240.153","cdn-eastus-release-b.citrixworkspacesapi.net.edgekey.net, e27348.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
,cloudlibrary-ap-s.citrixworkspacesapi.net,40.82.217.223,"ctxwsp-cloudlibrary-fdproxy-ap-s.trafficmanager.net, ctxwsp-aueast-release-b-nt-releasesproxy.australiaeast.cloudapp.azure.com","ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,console-westeurope-release-b.citrixworkspacesapi.net,,ctxwsp-westeu-release-b-nt-console.westeurope.cloudapp.azure.com,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,core-ap-s.citrixworkspacesapi.net,40.82.217.223,"ctxwsp-core-fdproxy-ap-s.trafficmanager.net, ctxwsp-aueast-release-b-nt-releasesproxy.australiaeast.cloudapp.azure.com","ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
