new,host,a,soa,status_code,txt,cname,cdn,cdn-name,ns,aaaa,mx,has_internal_ips,internal_ips
[x],1mgm-cert.wellsfargo.com,162.111.208.45,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],1mgm-dr.wf.com,198.137.41.127,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,v=spf1 -all,,,,,,,,
[x],1ssa.g.wellsfargo.com,,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],abbotdowning-bcp.mworld.com,159.45.88.32,"mn-svdc-edna32-v.infra.wellsfargo.net, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],abbotdowning-cte2.mworld.com,159.45.212.163,"mn-svdc-edna32-v.infra.wellsfargo.net, hostmaster.wellsfargo.com",NOERROR,,abbotdowning-cte.mworld.com,,,,,,,
[x],abbotdowning-qa.mworld.com,159.45.212.164,"mn-svdc-edna32-v.infra.wellsfargo.net, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],abbotdowning-test.mworld.com,159.45.212.165,"mn-svdc-edna32-v.infra.wellsfargo.net, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],accelerator-bcp.wellsfargo.com,159.45.86.247,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],accelerator-uat.wellsfargo.com,159.45.86.248,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],accelerator-uat2.wellsfargo.com,159.45.213.61,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],accelerator.wf.com,146.148.34.2,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,v=spf1 -all,,True,google,,,,,
[x],acceleratorapply.wf.com,"13.110.26.13, 13.110.26.17, 13.110.26.12","dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,"acceleratorapply.wf.com.00d36000001eeipeak.live.siteforce.com, 1p.edge2.salesforce.com, ord.edge2.salesforce.com, europe.edge2.salesforce.com, cdg.edge2.salesforce.com",,,,,,,
[x],accesswca.g.wellsfargo.com,159.45.161.12,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],accountoffers-staging.wellsfargo.com,"92.123.189.41, 92.123.189.57","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"accountoffers-staging.wellsfargo.com.edgekey.net, e171064.b.akamaiedge.net",,,,,,,
[x],accountservices-wellsonecard.ceo.wellsfargo.com,"96.7.74.59, 96.7.74.8","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"accountservices-wellsonecard.wellsfargo.com.edgekey.net, e129961.b.akamaiedge.net",,,,,,,
[x],accountservices-wellsonecard.g.wellsfargo.com,159.45.6.219,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],accountservices-wellsonecard.wellsfargo.com,"95.101.74.149, 95.101.74.148","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"accountservices-wellsonecard.wellsfargo.com.edgekey.net, e129961.b.akamaiedge.net",,,,,,,
[x],accountservices-wellsonecardfix.ceo.wellsfargo.com,159.45.162.9,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,accountservices-wellsonecardfix.wellsfargo.com,,,,,,,
[x],accountservices-wellsonecardfix.wellsfargo.com,159.45.162.9,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],acctagg-test.wellsfargo.com,159.45.201.15,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],acctagg.wellsfargo.com,159.45.14.20,"internal.akadns.net, hostmaster.akamai.com",NOERROR,,acctagg.d01-adcs-wells.akadns.net,,,,,,,
[x],achgp.ceo.wellsfargo.com,"95.101.111.183, 95.101.111.173","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"achgp.wellsfargo.com.edgekey.net, e88482.b.akamaiedge.net",,,,,,,
[x],achgp.g.wellsfargo.com,159.45.6.79,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],achgp.wellsfargo.com,"2.16.187.97, 2.16.187.33","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"achgp.wellsfargo.com.edgekey.net, e88482.b.akamaiedge.net",,,,,,,
[x],achgpuat.ceo.wellsfargo.com,159.45.213.175,"mn-svdc-edna32-v.infra.wellsfargo.net, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],aci.wellsfargo.com,159.45.14.40,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,aci.g.wellsfargo.com,,,,,,,
[x],admin-dev1.wellsfargoadvisors.com,159.45.106.159,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],admin-ite1.wellsfargoadvisors.com,159.45.71.164,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],admin-prod1.wellsfargoadvisors.com,159.45.130.229,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],admin-prod2.wellsfargoadvisors.com,159.45.74.215,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],admin-pte1.wellsfargoadvisors.com,159.45.84.154,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],admin-stg1.wellsfargoadvisors.com,159.45.130.175,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],admin.wellsfargoadvisors.com,159.45.74.215,"internal.akadns.net, hostmaster.akamai.com",NOERROR,,admin-wellsfargoadvisors.d01-adcs-wells.akadns.net,,,,,,,
[x],adminsls.wellsfargoadvisors.com,159.45.130.148,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],adviceconnect-sit-blue.stratus.wellsfargo.com,170.43.152.196,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,proxy-ewpcs.wellsfargo.com,,,,,,,
[x],adviceconnect-sit-green.stratus.wellsfargo.com,170.43.152.196,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,proxy-ewpcs.wellsfargo.com,,,,,,,
[x],adviceconnect-sit-orange.stratus.wellsfargo.com,170.43.152.196,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,proxy-ewpcs.wellsfargo.com,,,,,,,
[x],adviceconnect-sit-yellow.stratus.wellsfargo.com,170.43.152.196,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,proxy-ewpcs.wellsfargo.com,,,,,,,
[x],adviceconnect-uat-blue.stratus.wellsfargo.com,170.43.152.196,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,proxy-ewpcs.wellsfargo.com,,,,,,,
[x],adviceconnect-uat-orange.stratus.wellsfargo.com,170.43.152.196,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,proxy-ewpcs.wellsfargo.com,,,,,,,
[x],adviceconnect-uat-yellow.stratus.wellsfargo.com,170.43.152.196,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,proxy-ewpcs.wellsfargo.com,,,,,,,
[x],advisorgateway-dev.stratus.wellsfargo.com,170.43.152.196,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,proxy-ewpcs.wellsfargo.com,,,,,,,
[x],advisorgateway-pte.stratus.wellsfargo.com,170.43.152.196,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,proxy-ewpcs.wellsfargo.com,,,,,,,
[x],advisorgateway-sit.stratus.wellsfargo.com,170.43.152.196,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,proxy-ewpcs.wellsfargo.com,,,,,,,
[x],advisorgateway-uat.stratus.wellsfargo.com,170.43.152.196,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,proxy-ewpcs.wellsfargo.com,,,,,,,
[x],advisorgateway.stratus.wellsfargo.com,170.43.152.196,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,proxy-ewpcs.wellsfargo.com,,,,,,,
[x],advisorgateway2-dev.stratus.wellsfargo.com,170.43.152.196,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,proxy-ewpcs.wellsfargo.com,,,,,,,
[x],advisorgateway2-pte.stratus.wellsfargo.com,170.43.152.196,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,proxy-ewpcs.wellsfargo.com,,,,,,,
[x],advisorgateway2-sit.stratus.wellsfargo.com,170.43.152.196,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,proxy-ewpcs.wellsfargo.com,,,,,,,
[x],aemeforms-wimpublish.wellsfargo.com,170.43.152.196,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,proxy-ewpcs.wellsfargo.com,,,,,,,
[x],aemeforms-wimuatpublish.wellsfargo.com,170.43.152.196,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,proxy-ewpcs.wellsfargo.com,,,,,,,
[x],afsleasequote.wellsfargo.com,"95.101.111.178, 95.101.111.170","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"secure.myleasingsource.com.edgekey.net, e116687.b.akamaiedge.net",,,,,,,
[x],agencyresources-bcp.wellsfargo.com,159.45.86.84,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],agencyresources-prod.wellsfargo.com,159.45.140.76,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],agencyresourcesext-uat.wellsfargo.com,159.45.213.112,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],aggregator-prod1.wellsfargo.com,159.45.14.122,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],agt-prod.wellsfargo.com,159.45.194.16,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
