new,host,mx,soa,status_code,a,cname,aaaa,txt,ns,cdn,cdn-name,has_internal_ips,internal_ips,caa
[x],apm.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.28,,,,,,,,,
[x],apmgate.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.28,,,,,,,,,
[x],appregapi.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],appsint.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.11,,,,,,,,,
[x],appsplusint.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],aroundus.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.146,,,,,,,,,
[x],as.ocsweb.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],as.ocswebt.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],asedev2.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.249.48,,,,,,,,,
[x],asendia-int.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.228,,,,,,,,,
[x],asmbplus03.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],assim.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],assimint.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.249.3,,,,,,,,,
[x],atrium.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.144,,,v=spf1 include:_spf.panter.ch -all,,,,,,
[x],author.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],authorint.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.130,,,,,,,,,
[x],autodiscover.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.159.24,outlook.post.ch,,,,,,,,
[x],avenir-desirable1.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.190.114,,,,,,,,,
[x],avenir-desirable2.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.190.122,,,,,,,,,
[x],avenir-desirableint1.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.253.223,,,,,,,,,
[x],avenir-desirableint2.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.255.32,,,,,,,,,
[x],awareness.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],awareness1.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.190.114,,,,,,,,,
[x],awarenessint1.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],awarenessint2.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.255.32,,,,,,,,,
[x],awmdm.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.144.142,,,,,,,,,
[x],awmdmint.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],awrelay3.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.216.149,,,,,,,,,
[x],awsegpf.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],awsegpfint.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],awsspint.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],awtun-mdmtest.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],awtunnelint.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.144.137,,,,,,,,,
[x],awuag.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],awuagint.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.144.139,,,,,,,,,
[x],b2bgatewayint.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],betool-int.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.128,,,,,,,,,
[x],betool-test.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.127,,,,,,,,,
[x],betool.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.191,,,,,,,,,
[x],billingonline-int.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.141,,,,,,,,,
[x],billingonline-intern-int.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],billingonline-intern-test.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],billingonline.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.20,,,,,,,,,
[x],blockchain.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],bobi.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.88,,,,,,,,,
[x],bot.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],briefmarken-erleben.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],briefmarken-erleben1.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],briefmarken-erleben2.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],briefmarken-erlebenint2.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],briefmarkenspiel.postdoc.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,94.126.21.139,,,,,,,,,
[x],bsi-crm.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.116,,,,,,,,,
[x],bsicrm-int.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],bsicrm-test.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],bsicrm.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],bwise.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],campaign.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.142,,,,,,,,,
[x],canalposte.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],canton-admin.e-voting.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],canton.e-voting.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],career-pt2.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],career-ptint.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.153,,,,,,,,,
[x],career-ptint1.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.253.223,,,,,,,,,
