input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,cdn_name,cdn,final_url,csp_domains_,tls_self_signed
ausuldpnovoap12.olaelectric.in,502 Bad Gateway,502,585,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.192.0.0/10,ausuldpnovoap12.olaelectric.in,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-09-01T00:00:00Z,2023-09-20T23:59:59Z,CN=*.olaelectric.in,*.olaelectric.in,,olaelectric.in,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",031a7998dcec488114821a62ca7470ad,d85da9ac4bc8e919da752f170c30718ae5a288725609b6ead70d9c286e61c3d7,ctls,ausuldpnovoap12.olaelectric.in,443,https://ausuldpnovoap12.olaelectric.in:443,https,Microsoft-Azure-Application-Gateway/v2,text/html,GET,20.212.146.181,/,872412094,20.212.146.181,,14,False,True,,,,,
auth-accessrelay-config-redirect.olaelectric.in,502 Bad Gateway,502,183,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.192.0.0/10,auth-accessrelay-config-redirect.olaelectric.in,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-09-01T00:00:00Z,2023-09-20T23:59:59Z,CN=*.olaelectric.in,*.olaelectric.in,,olaelectric.in,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",031a7998dcec488114821a62ca7470ad,d85da9ac4bc8e919da752f170c30718ae5a288725609b6ead70d9c286e61c3d7,ctls,auth-accessrelay-config-redirect.olaelectric.in,443,https://auth-accessrelay-config-redirect.olaelectric.in:443,https,Microsoft-Azure-Application-Gateway/v2,text/html,GET,20.212.146.181,/,1689593728,20.212.146.181,,8,False,True,,,,,
auth-alpha-cms.olaelectric.in,502 Bad Gateway,502,183,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.192.0.0/10,auth-alpha-cms.olaelectric.in,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-09-01T00:00:00Z,2023-09-20T23:59:59Z,CN=*.olaelectric.in,*.olaelectric.in,,olaelectric.in,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",031a7998dcec488114821a62ca7470ad,d85da9ac4bc8e919da752f170c30718ae5a288725609b6ead70d9c286e61c3d7,ctls,auth-alpha-cms.olaelectric.in,443,https://auth-alpha-cms.olaelectric.in:443,https,Microsoft-Azure-Application-Gateway/v2,text/html,GET,20.212.146.181,/,1689593728,20.212.146.181,,8,False,True,,,,,
auth-europe-us.olaelectric.in,502 Bad Gateway,502,183,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.192.0.0/10,auth-europe-us.olaelectric.in,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-09-01T00:00:00Z,2023-09-20T23:59:59Z,CN=*.olaelectric.in,*.olaelectric.in,,olaelectric.in,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",031a7998dcec488114821a62ca7470ad,d85da9ac4bc8e919da752f170c30718ae5a288725609b6ead70d9c286e61c3d7,ctls,auth-europe-us.olaelectric.in,443,https://auth-europe-us.olaelectric.in:443,https,Microsoft-Azure-Application-Gateway/v2,text/html,GET,20.212.146.181,/,1689593728,20.212.146.181,,8,False,True,,,,,
auth-exampleminerva.olaelectric.in,502 Bad Gateway,502,183,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.192.0.0/10,auth-exampleminerva.olaelectric.in,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-09-01T00:00:00Z,2023-09-20T23:59:59Z,CN=*.olaelectric.in,*.olaelectric.in,,olaelectric.in,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",031a7998dcec488114821a62ca7470ad,d85da9ac4bc8e919da752f170c30718ae5a288725609b6ead70d9c286e61c3d7,ctls,auth-exampleminerva.olaelectric.in,443,https://auth-exampleminerva.olaelectric.in:443,https,Microsoft-Azure-Application-Gateway/v2,text/html,GET,20.212.146.181,/,1689593728,20.212.146.181,,8,False,True,,,,,
auth-new-elasticbeanstalk.olaelectric.in,502 Bad Gateway,502,585,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.192.0.0/10,auth-new-elasticbeanstalk.olaelectric.in,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-09-01T00:00:00Z,2023-09-20T23:59:59Z,CN=*.olaelectric.in,*.olaelectric.in,,olaelectric.in,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",031a7998dcec488114821a62ca7470ad,d85da9ac4bc8e919da752f170c30718ae5a288725609b6ead70d9c286e61c3d7,ctls,auth-new-elasticbeanstalk.olaelectric.in,443,https://auth-new-elasticbeanstalk.olaelectric.in:443,https,Microsoft-Azure-Application-Gateway/v2,text/html,GET,20.212.146.181,/,872412094,20.212.146.181,,14,False,True,,,,,
auth-userdemo-beta.olaelectric.in,502 Bad Gateway,502,183,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.192.0.0/10,auth-userdemo-beta.olaelectric.in,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-09-01T00:00:00Z,2023-09-20T23:59:59Z,CN=*.olaelectric.in,*.olaelectric.in,,olaelectric.in,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",031a7998dcec488114821a62ca7470ad,d85da9ac4bc8e919da752f170c30718ae5a288725609b6ead70d9c286e61c3d7,ctls,auth-userdemo-beta.olaelectric.in,443,https://auth-userdemo-beta.olaelectric.in:443,https,Microsoft-Azure-Application-Gateway/v2,text/html,GET,20.212.146.181,/,1689593728,20.212.146.181,,8,False,True,,,,,
auth68.olaelectric.in,502 Bad Gateway,502,585,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.192.0.0/10,auth68.olaelectric.in,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-09-01T00:00:00Z,2023-09-20T23:59:59Z,CN=*.olaelectric.in,*.olaelectric.in,,olaelectric.in,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",031a7998dcec488114821a62ca7470ad,d85da9ac4bc8e919da752f170c30718ae5a288725609b6ead70d9c286e61c3d7,ctls,auth68.olaelectric.in,443,https://auth68.olaelectric.in:443,https,Microsoft-Azure-Application-Gateway/v2,text/html,GET,20.212.146.181,/,872412094,20.212.146.181,,14,False,True,,,,,
author-abbvie-aem65-stage.olaelectric.in,502 Bad Gateway,502,585,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.192.0.0/10,author-abbvie-aem65-stage.olaelectric.in,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-09-01T00:00:00Z,2023-09-20T23:59:59Z,CN=*.olaelectric.in,*.olaelectric.in,,olaelectric.in,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",031a7998dcec488114821a62ca7470ad,d85da9ac4bc8e919da752f170c30718ae5a288725609b6ead70d9c286e61c3d7,ctls,author-abbvie-aem65-stage.olaelectric.in,443,https://author-abbvie-aem65-stage.olaelectric.in:443,https,Microsoft-Azure-Application-Gateway/v2,text/html,GET,20.212.146.181,/,872412094,20.212.146.181,,14,False,True,,,,,
author-jhins-qa.olaelectric.in,502 Bad Gateway,502,183,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.192.0.0/10,author-jhins-qa.olaelectric.in,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-09-01T00:00:00Z,2023-09-20T23:59:59Z,CN=*.olaelectric.in,*.olaelectric.in,,olaelectric.in,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",031a7998dcec488114821a62ca7470ad,d85da9ac4bc8e919da752f170c30718ae5a288725609b6ead70d9c286e61c3d7,ctls,author-jhins-qa.olaelectric.in,443,https://author-jhins-qa.olaelectric.in:443,https,Microsoft-Azure-Application-Gateway/v2,text/html,GET,20.212.146.181,/,1689593728,20.212.146.181,,8,False,True,,,,,
