input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_mismatched,tls_subject_org_,final_url,csp_domains_,location
*.mapbox.com,"Maps, geocoding, and navigation APIs & SDKs | Mapbox",200,223817,AS54113,FASTLY,US,151.101.0.0/16,www.mapbox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-27T22:42:13Z,2023-10-29T22:42:12Z,CN=www.mapbox.com,www.mapbox.com,www.mapbox.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,73a43d4f038cdb00bd4fa9f650f62444,c5fa624e111e897adc6c5555b352ae5527cca50157f8cb61903eb8fd8aca9ed9,ctls,www.mapbox.com,fastly,443,https://mapbox.com:443,https,,text/html,GET,151.101.128.143,/,1556104729,151.101.64.143,Webflow,2201,False,True,,,,https://www.mapbox.com/,,
*.mixpanel.com,"Mixpanel: Event Analytics for Mobile, Web & More",200,887442,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.98.128.0/21,mixpanel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-13T00:00:00Z,2024-03-15T23:59:59Z,CN=*.mixpanel.com,*.mixpanel.com,mixpanel.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",9de3177e2f0aeca9d197e5cfb99d784a,d0d3af37fb07a2a39f463802f3ef15b06b258c5068a987d54cbd37b5843906f5,ctls,mixpanel.com,google,443,https://mixpanel.com:443,https,nginx,text/html,GET,34.96.97.101,/,-1134128844,34.96.97.101,Nginx,1,False,True,True,,,,,
*.tiles.mapbox.com,"Maps, geocoding, and navigation APIs & SDKs | Mapbox",200,223817,AS54113,FASTLY,US,146.75.120.0/22,www.mapbox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-27T22:42:13Z,2023-10-29T22:42:12Z,CN=www.mapbox.com,www.mapbox.com,www.mapbox.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,73a43d4f038cdb00bd4fa9f650f62444,c5fa624e111e897adc6c5555b352ae5527cca50157f8cb61903eb8fd8aca9ed9,ctls,www.mapbox.com,fastly,443,https://tiles.mapbox.com:443,https,,text/html,GET,146.75.120.143,/,71544021,146.75.120.143,Webflow,2201,False,True,,,,https://www.mapbox.com,,
account.gotinder.com,Tinder Portal,200,5417,AS14618,AMAZON-AES,US,35.168.0.0/13,account.gotinder.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=*.gotinder.com,*.gotinder.com,gotinder.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4536a5160b34c58eb6090ac069bc9f4e,22ae225a02cb81ea8aab4664e7007b942ba08a0141881d4773cb8411776de358,ctls,account.gotinder.com,,443,https://account.gotinder.com:443,https,,text/html,GET,35.170.38.54,/,-1840324437,54.210.101.197,,78,False,,True,,,,,
airflow.ue1.stg1.tstaging.com,Welcome to nginx!,200,615,AS14618,AMAZON-AES,US,54.236.0.0/15,airflow.ue1.stg1.tstaging.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-18T23:59:59Z,CN=*.ue1.stg1.tstaging.com,*.ue1.stg1.tstaging.com,*.ue1.stg1.tstaging.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,646c4677f665fbbc2d6bc483fd1817b7,647cae8f141e744960db0b457924bf3976407dc168e4b0d831fe13f501a43727,ctls,airflow.ue1.stg1.tstaging.com,,443,https://airflow.ue1.stg1.tstaging.com:443,https,nginx/1.21.6,text/html,GET,54.235.214.237,/,-727032868,34.192.225.71,Nginx:1.21.6,24,False,,True,,,,,
android-adr-docs.mobile.tstaging.com,403 Forbidden,403,303,AS16509,AMAZON-02,US,52.218.0.0/21,,,,,,,,,,,,,,,,,,,80,http://android-adr-docs.mobile.tstaging.com:80,http,AmazonS3,text/html,GET,52.217.201.213,/,386805714,52.216.113.226,Amazon Web Services,14,False,,,,,,,
api-cf.as1.gotinder.com,,404,,AS16509,AS16509,Unknown,15.206.0.0/15,api-cf.as1.gotinder.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2024-02-05T23:59:59Z,CN=*.gotinder.com,*.gotinder.com,*.gotinder.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4918a88a8be838018874e0d8c1d2c4d5,a16a32f8d4d02ef9a3fdf01d7a2537f543edeb855a319416f3bfd52c03288c41,ctls,api-cf.as1.gotinder.com,,443,https://api-cf.as1.gotinder.com:443,https,,,GET,15.207.173.113,/,-1840324437,3.6.248.0,,1,False,,True,True,,,,
api-cloudfront-failover.gotinder.com,ERROR: The request could not be satisfied,403,915,AS0,Not routed,None,13.224.192.0/21,,,,,,,,,,,,,,,,,,cloudfront,80,http://api-cloudfront-failover.gotinder.com:80,http,CloudFront,text/html,GET,13.224.189.50,/,-916999691,2600:9000:20eb:4000:f:5c67:cec0:93a1,Amazon Web Services,20,False,True,,,,,,
api-cloudfront.a.ue1.stg1.tstaging.com,,404,,AS14618,AMAZON-AES,US,52.44.0.0/15,api-cloudfront.a.ue1.stg1.tstaging.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-18T23:59:59Z,CN=*.ue1.stg1.tstaging.com,*.ue1.stg1.tstaging.com,*.ue1.stg1.tstaging.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,646c4677f665fbbc2d6bc483fd1817b7,647cae8f141e744960db0b457924bf3976407dc168e4b0d831fe13f501a43727,ctls,api-cloudfront.a.ue1.stg1.tstaging.com,,443,https://api-cloudfront.a.ue1.stg1.tstaging.com:443,https,nginx,,GET,52.45.23.229,/,-1840324437,35.169.151.131,Nginx,1,False,,True,True,,,,
api-cloudfront.ue1.d3.tstaging.com,,503,,AS16509,AMAZON-02,US,65.9.112.0/23,api-cloudfront.ue1.d3.tstaging.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-08-21T23:59:59Z,CN=*.ue1.d3.tstaging.com,*.ue1.d3.tstaging.com,*.ue1.d3.tstaging.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,befb7b4a2e4613e6923fdec505b05de2,51361d0891b50d5008562379e3bf597410534c5c1601258656779b363383d4a9,ctls,api-cloudfront.ue1.d3.tstaging.com,cloudfront,443,https://api-cloudfront.ue1.d3.tstaging.com:443,https,,,GET,65.9.66.28,/,-1840324437,2600:9000:206f:9a00:5:944b:7340:93a1,Amazon Web Services,1,False,True,True,,,,,
