input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_self_signed,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,webserver,csp_domains_,final_url
aaa.vlerick.com,Citrix Access Gateway,200,5702,aaa.vlerick.com,443,True,tls10,TLS_RSA_WITH_AES_256_CBC_SHA,,,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=*.vlerick.com, O=Vlerick Business School, ST=Oost-Vlaanderen, C=BE",*.vlerick.com,Vlerick Business School,vlerick.com,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,58b459a54f24b2b13acb05b19810e232,06d3eb3ecd841c9adacd77d8015112e99e4970154c7c501e06fdf014a1b0ce7c,ctls,aaa.vlerick.com,,443,https://aaa.vlerick.com:443,https,text/html,GET,193.190.150.53,/,12023395,193.190.150.53,Apache,162,False,,True,Apache,,https://aaa.vlerick.com/vpn/tmindex.html
adfs.vlerick.com,IIS7,200,689,adfs.vlerick.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,,,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=*.vlerick.com, O=Vlerick Business School, ST=Oost-Vlaanderen, C=BE",*.vlerick.com,Vlerick Business School,vlerick.com,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,58b459a54f24b2b13acb05b19810e232,06d3eb3ecd841c9adacd77d8015112e99e4970154c7c501e06fdf014a1b0ce7c,ctls,adfs.vlerick.com,,443,https://adfs.vlerick.com:443,https,text/html,GET,193.190.150.74,/,1631801191,193.190.150.74,Windows Server,32,False,,True,Microsoft-IIS/7.5,,
adfsportal.vlerick.com,Citrix Access Gateway,200,5702,aaa.vlerick.com,443,True,tls10,TLS_RSA_WITH_AES_256_CBC_SHA,,,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=*.vlerick.com, O=Vlerick Business School, ST=Oost-Vlaanderen, C=BE",*.vlerick.com,Vlerick Business School,vlerick.com,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,58b459a54f24b2b13acb05b19810e232,06d3eb3ecd841c9adacd77d8015112e99e4970154c7c501e06fdf014a1b0ce7c,ctls,aaa.vlerick.com,,443,https://adfsportal.vlerick.com:443,https,text/html,GET,193.190.150.51,/,12023395,193.190.150.51,Apache,162,False,,True,Apache,,https://aaa.vlerick.com/vpn/tmindex.html
api.uat.vlerick.com,,404,54,,,,,,,,,,,,,,,,,,,,,azure,80,http://api.uat.vlerick.com:80,http,application/json,GET,51.145.247.35,/,-326256188,51.145.247.35,,1,False,True,,,,
api.vlerick.com,,404,54,,,,,,,,,,,,,,,,,,,,,azure,80,http://api.vlerick.com:80,http,application/json,GET,51.144.36.225,/,-326256188,51.144.36.225,,1,False,True,,,,
apply.vlerick.com,Online Application Login,200,25139,app.askadmissions.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2022-11-07T11:58:34Z,2023-11-19T17:21:15Z,CN=*.askadmissions.co.uk,*.askadmissions.co.uk,,askadmissions.co.uk,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",8ed93dd12b74f8cb945bad4d13295f7d,9da4c590635b8c862f602e3c9078b8d8c7d297dd69adccbdb25d9329bcb9af48,ctls,app.askadmissions.co.uk,,443,https://apply.vlerick.com:443,https,text/html,GET,193.190.150.59,/,1051580424,193.190.150.59,Windows Server,566,False,,True,Microsoft-IIS/8.5,,https://app.askadmissions.co.uk/ayapplicantlogin/fl_ApplicantLogin.asp?ID=vlerick
auth.uat.vlerick.com,,401,49,auth.uat.vlerick.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,,,2022-11-02T00:00:00Z,2023-11-02T23:59:59Z,"CN=*.uat.vlerick.com, O=Vlerick Business School, ST=Oost-Vlaanderen, C=BE",*.uat.vlerick.com,Vlerick Business School,*.uat.vlerick.com,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,0f153a9e6a59f036fe5fca82f6ad0816,dcc614be584aececb2f8a542f8ce9ae58ca7c1b694b883ce4914537c788a8a85,ctls,auth.uat.vlerick.com,,443,https://auth.uat.vlerick.com:443,https,text/plain,GET,193.190.150.45,/,-1321130087,193.190.150.45,Windows Server,2,False,,True,Microsoft-IIS/8.0,,
blog.vlerick.com,403 - Forbidden: Access is denied.,403,1233,blog.vlerick.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=*.vlerick.com, O=Vlerick Business School, ST=Oost-Vlaanderen, C=BE",*.vlerick.com,Vlerick Business School,vlerick.com,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,58b459a54f24b2b13acb05b19810e232,06d3eb3ecd841c9adacd77d8015112e99e4970154c7c501e06fdf014a1b0ce7c,ctls,blog.vlerick.com,,443,https://blog.vlerick.com:443,https,text/html,GET,193.190.150.59,/,1631801191,193.190.150.59,Windows Server,30,False,,True,Microsoft-IIS/7.5,,
d1s4sisum1m692.cloudfront.net,Officient,200,11623,d1s4sisum1m692.cloudfront.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-12-08T00:00:00Z,2023-12-07T23:59:59Z,CN=*.cloudfront.net,*.cloudfront.net,,*.cloudfront.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3ce77498ac0d9db2c0fbac4ace488223,0e61dc9128a6d01c3583e46cb871e9590ca7636f3b394e60b910fdb249e90465,ctls,d1s4sisum1m692.cloudfront.net,cloudfront,443,https://d1s4sisum1m692.cloudfront.net:443,https,text/html,GET,13.32.118.120,/,-1426724390,2600:9000:236e:ce00:2:ba18:8980:21,HTTP/3,96,False,True,True,Apache,https://*.intercomcdn.com,
d2bnc5oyeknkvl.cloudfront.net,,403,243,d2bnc5oyeknkvl.cloudfront.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-12-08T00:00:00Z,2023-12-07T23:59:59Z,CN=*.cloudfront.net,*.cloudfront.net,,*.cloudfront.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3ce77498ac0d9db2c0fbac4ace488223,0e61dc9128a6d01c3583e46cb871e9590ca7636f3b394e60b910fdb249e90465,ctls,d2bnc5oyeknkvl.cloudfront.net,cloudfront,443,https://d2bnc5oyeknkvl.cloudfront.net:443,https,application/xml,GET,13.32.118.57,/,-1330863417,2600:9000:2240:2000:1b:785d:5c40:21,Amazon Web Services,2,False,True,True,AmazonS3,,
