new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,mx,ns,txt,has_internal_ips,internal_ips,caa
[x],admin-boa.wickr.com,,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],admin-prod.wickr.com,,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],admin.wickr.com,"18.66.112.118, 18.66.112.117, 18.66.112.93, 18.66.112.43","2600:9000:223f:9e00:12:1b5b:c9c0:93a1, 2600:9000:223f:1e00:12:1b5b:c9c0:93a1, 2600:9000:223f:1400:12:1b5b:c9c0:93a1, 2600:9000:223f:7e00:12:1b5b:c9c0:93a1, 2600:9000:223f:1800:12:1b5b:c9c0:93a1, 2600:9000:223f:9600:12:1b5b:c9c0:93a1, 2600:9000:223f:5600:12:1b5b:c9c0:93a1, 2600:9000:223f:f600:12:1b5b:c9c0:93a1","ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],api-fips.prod.calling.wickr.com,"10.0.125.37, 10.0.178.104",,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,k8s-orville-orville-2226a36f92-a2ee4f33c8fc7620.elb.us-east-1.amazonaws.com,,,,True,"10.0.125.37, 10.0.178.104",
[x],api.prod.calling.wickr.com,"10.0.146.174, 10.0.112.18, 10.0.163.151",,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,k8s-orville-orville-2c147fb1c1-f8d87eedba590c1e.elb.us-east-1.amazonaws.com,,,,True,"10.0.146.174, 10.0.112.18, 10.0.163.151",
[x],bcap.wickr.com,,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],countly.wickr.com,"44.209.226.172, 52.201.45.17",,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],db-prod.wickr.com,,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],dev.wickr.com,,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],dls.wickr.com,,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],enterprise-download.test.wickr.com,,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
