new,host,cname,soa,caa,status_code,a,aaaa,mx,ns,txt,cdn,cdn-name,has_internal_ips,internal_ips
[x],0101codes.github.com,github.github.io,"dns1.p05.nsone.net, hostmaster.nsone.net",,NOERROR,"185.199.109.153, 185.199.110.153, 185.199.111.153, 185.199.108.153",,,,,,,,
[x],1.smtp.github.com,,"ns-1707.awsdns-21.co.uk, awsdns-hostmaster.amazon.com, dns1.p08.nsone.net, hostmaster.nsone.net",,NOERROR,192.30.254.192,,,,,,,,
[x],155-9-75-91.enterprise.github.com,github.github.io,"ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com, dns1.p05.nsone.net, hostmaster.nsone.net",,NOERROR,"185.199.108.153, 185.199.109.153, 185.199.110.153, 185.199.111.153","2606:50c0:8002::153, 2606:50c0:8001::153, 2606:50c0:8003::153, 2606:50c0:8000::153",,,,,,,
[x],17-121-116-7.smtp.github.com,github.github.io,,,NOERROR,"185.199.108.153, 185.199.111.153, 185.199.110.153, 185.199.109.153","2606:50c0:8000::153, 2606:50c0:8003::153, 2606:50c0:8002::153, 2606:50c0:8001::153",,,,,,,
[x],17-58-98-36.enterprise.github.com,github.github.io,"dns1.p08.nsone.net, hostmaster.nsone.net",,NOERROR,,"2606:50c0:8000::153, 2606:50c0:8001::153, 2606:50c0:8002::153, 2606:50c0:8003::153",,,,,,,
[x],2018237516g16.github.com,github.github.io,"dns1.p05.nsone.net, hostmaster.nsone.net, ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com","digicert.com, letsencrypt.org",NOERROR,"185.199.108.153, 185.199.109.153, 185.199.111.153, 185.199.110.153","2606:50c0:8000::153, 2606:50c0:8001::153, 2606:50c0:8002::153, 2606:50c0:8003::153",,,,,,,
[x],2018status.github.com,github.github.io,"dns1.p05.nsone.net, hostmaster.nsone.net",,NOERROR,"185.199.108.153, 185.199.109.153, 185.199.110.153, 185.199.111.153","2606:50c0:8003::153, 2606:50c0:8000::153, 2606:50c0:8002::153, 2606:50c0:8001::153",,"dns1.p05.nsone.net, dns2.p05.nsone.net, dns3.p05.nsone.net, dns4.p05.nsone.net, ns-1339.awsdns-39.org, ns-1622.awsdns-10.co.uk, ns-393.awsdns-49.com, ns-692.awsdns-22.net",,,,,
[x],2fraw.githubusercontent.com,,"dns1.p01.nsone.net, hostmaster.nsone.net, ns-1411.awsdns-48.org, awsdns-hostmaster.amazon.com",,NOERROR,"185.199.111.133, 185.199.108.133, 185.199.110.133, 185.199.109.133",,,,,,,,
[x],4-repair.comraw.githubusercontent.com,,"ns-1411.awsdns-48.org, awsdns-hostmaster.amazon.com",,NOERROR,"185.199.111.133, 185.199.108.133, 185.199.110.133, 185.199.109.133",,,,,,,,
[x],accesa.enterprise.github.com,github.github.io,"dns1.p08.nsone.net, hostmaster.nsone.net, ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com, dns1.p05.nsone.net",,NOERROR,"185.199.110.153, 185.199.111.153, 185.199.108.153, 185.199.109.153","2606:50c0:8002::153, 2606:50c0:8003::153, 2606:50c0:8000::153, 2606:50c0:8001::153",,,,,,,
[x],access-cp-dev.support.github.com,github.github.io,"dns1.p08.nsone.net, hostmaster.nsone.net, dns1.p05.nsone.net, ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"185.199.108.153, 185.199.109.153, 185.199.110.153, 185.199.111.153",,,,,,,,
[x],actions-availability-report.githubapp.com,github.github.io,"dns1.p05.nsone.net, hostmaster.nsone.net, ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com","digicert.com, letsencrypt.org",NOERROR,"185.199.108.153, 185.199.109.153, 185.199.110.153, 185.199.111.153","2606:50c0:8000::153, 2606:50c0:8001::153, 2606:50c0:8002::153, 2606:50c0:8003::153",,,,,,,
[x],actions-results-receiver-production.githubapp.com,glb-2a3c35-public-internal.githubapp.com,"ns-1805.awsdns-33.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,140.82.114.23,,,,,,,,
[x],actions-support-report.githubapp.com,github.github.io,,,NOERROR,"185.199.111.153, 185.199.109.153, 185.199.108.153, 185.199.110.153","2606:50c0:8003::153, 2606:50c0:8001::153, 2606:50c0:8000::153, 2606:50c0:8002::153",,,,,,,
[x],actions.githubusercontent.com,,"dns1.p01.nsone.net, hostmaster.nsone.net",,NOERROR,"185.199.110.133, 185.199.109.133, 185.199.111.133, 185.199.108.133",,,,,,,,
[x],adipexdietpillguide.comraw.githubusercontent.com,,"ns-1411.awsdns-48.org, awsdns-hostmaster.amazon.com, dns1.p01.nsone.net, hostmaster.nsone.net",,NOERROR,"185.199.110.133, 185.199.109.133, 185.199.108.133, 185.199.111.133",,,,,,,,
[x],aedeeley.github.com,github.github.io,,,NOERROR,"185.199.109.153, 185.199.110.153, 185.199.111.153, 185.199.108.153","2606:50c0:8001::153, 2606:50c0:8002::153, 2606:50c0:8003::153, 2606:50c0:8000::153",,,,,,,
[x],afeinberg.github.com,github.github.io,,,NOERROR,"185.199.110.153, 185.199.108.153, 185.199.109.153, 185.199.111.153","2606:50c0:8002::153, 2606:50c0:8001::153, 2606:50c0:8000::153, 2606:50c0:8003::153",,,,,,,
[x],ahoy.githubapp.com,"specprojahoy.azurewebsites.net, waws-prod-dm1-163.sip.azurewebsites.windows.net, waws-prod-dm1-163.centralus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,13.89.172.8,,,,,True,azure,,
[x],airflow-aws.githubapp.com,glb-2a3c35-public-internal.githubapp.com,"dns1.p08.nsone.net, hostmaster.nsone.net, ns-1805.awsdns-33.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,140.82.112.24,,,,,,,,
[x],airflow-staging.githubapp.com,glb-2a3c35-public-internal.githubapp.com,"ns-1805.awsdns-33.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,140.82.112.24,,,,,,,,
[x],airflow.githubapp.com,glb-2a3c35-public-internal.githubapp.com,"dns1.p08.nsone.net, hostmaster.nsone.net, ns-1805.awsdns-33.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,140.82.112.23,,,,,,,,
[x],ajaxorg.github.com,github.github.io,"dns1.p05.nsone.net, hostmaster.nsone.net, ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com","digicert.com, letsencrypt.org",NOERROR,"185.199.108.153, 185.199.109.153, 185.199.110.153, 185.199.111.153","2606:50c0:8001::153, 2606:50c0:8003::153, 2606:50c0:8002::153, 2606:50c0:8000::153",,,,,,,
[x],akahuku.github.com,github.github.io,,,NOERROR,"185.199.110.153, 185.199.108.153, 185.199.111.153, 185.199.109.153","2606:50c0:8000::153, 2606:50c0:8001::153, 2606:50c0:8002::153, 2606:50c0:8003::153",,,,,,,
[x],akaptur.github.com,github.github.io,,,NOERROR,"185.199.108.153, 185.199.109.153, 185.199.110.153, 185.199.111.153",,,,,,,,
[x],alangrafu.github.com,github.github.io,,,NOERROR,"185.199.111.153, 185.199.108.153, 185.199.109.153, 185.199.110.153","2606:50c0:8003::153, 2606:50c0:8001::153, 2606:50c0:8002::153, 2606:50c0:8000::153",,,,,,,
[x],alex-seville.github.com,github.github.io,,"letsencrypt.org, digicert.com",NOERROR,"185.199.111.153, 185.199.109.153, 185.199.108.153, 185.199.110.153","2606:50c0:8000::153, 2606:50c0:8001::153, 2606:50c0:8002::153, 2606:50c0:8003::153",,,,,,,
[x],alloyteam.github.com,github.github.io,"dns1.p05.nsone.net, hostmaster.nsone.net, ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com","digicert.com, letsencrypt.org",NOERROR,"185.199.108.153, 185.199.109.153, 185.199.110.153, 185.199.111.153","2606:50c0:8002::153, 2606:50c0:8000::153, 2606:50c0:8003::153, 2606:50c0:8001::153",,,,,,,
[x],alpha-engineeringredirectliveaccept-domain.smtp.github.com,github.github.io,"dns1.p08.nsone.net, hostmaster.nsone.net, ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com, dns1.p05.nsone.net","digicert.com, letsencrypt.org",NOERROR,,,,,,,,,
[x],alphaleonis.github.com,github.github.io,"ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com, dns1.p05.nsone.net, hostmaster.nsone.net",,NOERROR,"185.199.108.153, 185.199.109.153, 185.199.110.153, 185.199.111.153","2606:50c0:8000::153, 2606:50c0:8003::153, 2606:50c0:8002::153, 2606:50c0:8001::153",,"dns1.p05.nsone.net, dns2.p05.nsone.net, dns3.p05.nsone.net, dns4.p05.nsone.net, ns-1339.awsdns-39.org, ns-1622.awsdns-10.co.uk, ns-393.awsdns-49.com, ns-692.awsdns-22.net",,,,,
[x],anathema.github.com,github.github.io,"ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com, dns1.p05.nsone.net, hostmaster.nsone.net","letsencrypt.org, digicert.com",NOERROR,"185.199.108.153, 185.199.111.153, 185.199.110.153, 185.199.109.153","2606:50c0:8002::153, 2606:50c0:8003::153, 2606:50c0:8001::153, 2606:50c0:8000::153",,,,,,,
[x],and-proxy-02.githubusercontent.com,,"ns-1411.awsdns-48.org, awsdns-hostmaster.amazon.com",,NOERROR,"185.199.111.133, 185.199.110.133, 185.199.109.133, 185.199.108.133",,,,,,,,
[x],andres1447.github.com,github.github.io,"ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com, dns1.p05.nsone.net, hostmaster.nsone.net","digicert.com, letsencrypt.org",NOERROR,"185.199.108.153, 185.199.109.153, 185.199.110.153, 185.199.111.153","2606:50c0:8000::153, 2606:50c0:8001::153, 2606:50c0:8002::153, 2606:50c0:8003::153",,,,,,,
[x],apg-130-114-86-29.githubwebhooks.net,glb-db52c2cf8be544.github.com,"dns1.p08.nsone.net, hostmaster.nsone.net",,NOERROR,140.82.114.21,,,,,,,,
[x],api-datawpdoc-corporate.enterprise.github.com,github.github.io,,,NOERROR,"185.199.111.153, 185.199.110.153, 185.199.109.153, 185.199.108.153",,,,,,,,
