input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,csp_domains_,tls_wildcard_certificate,cdn_name,webserver,cdn,tls_subject_org_,final_url,tls_mismatched
https://unpkg.com/@lottiefiles/lottie-player@latest/dist/lottie-player.js,,200,367107,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,unpkg.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,unpkg.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",d2180f42b32f1bf55d39848509cb9549,f094d5991fd0980a4c88c972189e635efa57e3e063571796693a930c4d4e34e2,ctls,unpkg.com,443,https://unpkg.com:443/@lottiefiles/lottie-player@latest/dist/lottie-player.js,https,application/javascript,GET,104.16.124.175,/@lottiefiles/lottie-player@latest/dist/lottie-player.js,-1600385492,2606:4700::6810:7daf,HSTS,78,False,,True,cloudflare,cloudflare,True,"Cloudflare, Inc.",https://unpkg.com/@lottiefiles/lottie-player@1.7.1/dist/lottie-player.js,
https://www.googletagmanager.com,Error 400 (Bad Request)!!1,400,1555,AS15169,GOOGLE,US,142.250.0.0/15,www.googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google-analytics.com,*.google-analytics.com,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,60de21960acc1135956a2968026b647c,3b0044e06b0f98f11a360ad2bd0f640c989df03ba6deeb8b1d3d963d4097fdfb,ctls,www.googletagmanager.com,443,https://www.googletagmanager.com:443,https,text/html,GET,142.250.185.168,/,302920777,2a00:1450:4001:811::2008,HTTP/3,12,False,,True,,Google Tag Manager,,,,True
https://youtu.be,YouTube,200,272478,AS15169,GOOGLE,US,172.217.0.0/19,m.youtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,ctls,m.youtube.com,443,https://youtu.be:443,https,text/html,GET,172.217.16.142,/,1179099333,2a00:1450:4001:82b::200e,HTTP/3,13,False,,True,,ESF,,,https://m.youtube.com/?feature=youtu.be,True
https://youtube.com,YouTube,200,776507,AS15169,GOOGLE,US,142.250.0.0/15,www.youtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,ctls,www.youtube.com,443,https://youtube.com:443,https,text/html,GET,142.250.184.206,/,1179099333,2a00:1450:4001:830::200e,HTTP/3,23,False,,True,,ESF,,,https://www.youtube.com/,True
https://zapier.com,Zapier | Automation that moves you forward,200,417635,AS16509,AMAZON-02,US,18.66.102.0/24,zapier.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-05-27T23:59:59Z,CN=zapier.com,zapier.com,*.k8s.zapier.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,916b9414729817115cf6d58d13df59d1,da0746db9939c6a1f2b3b60d7c083bb26bfa09d06478e753f9efbe542aa6e041,ctls,zapier.com,443,https://zapier.com:443,https,text/html,GET,18.66.97.109,/,-1259036260,18.66.97.79,Vercel,71,False,,True,cloudfront,Vercel,True,,,
lemlist.com,Your Go-To Cold Email Software & Outreach Automation Tool,200,106098,AS16509,AS16509,Unknown,75.2.0.0/17,www.lemlist.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-24T05:12:43Z,2023-05-25T05:12:42Z,CN=www.lemlist.com,www.lemlist.com,www.lemlist.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8e4e4a4d1ef5e3ebdaa8345064a1f63c,6945773a0b5af29c713c0ce4c0c5203eb24034dfe47a335beb06ccff9552db11,ctls,www.lemlist.com,443,https://lemlist.com:443,https,text/html,GET,75.2.70.75,/,14177298,99.83.190.102,Webflow,445,False,,,,,,,https://www.lemlist.com/,
links.emails.lemlist.com,Crisp - Email Domain,200,2710,AS13335,CLOUDFLARENET,US,172.66.0.0/22,go.crisp.chat,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-07T00:00:00Z,2024-05-06T23:59:59Z,"CN=crisp.chat, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",crisp.chat,*.mail.support.crisp.chat,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",665fcae2d46e17f6be20ec8e31fa753e,a3a0b00de6c0a406f5edba9b741c8984c154d80ed221bc72cba9dc3e76b457dd,ctls,go.crisp.chat,443,https://links.emails.lemlist.com:443,https,text/html,GET,172.65.225.161,/,566218143,2606:4700:90:0:c84b:ae46:715d:e545,HTTP/3,1,False,,True,cloudflare,cloudflare,True,"Cloudflare, Inc.",https://go.crisp.chat/notice/domain-email/,
pages.lemlist.com,Custom domain check,200,390,AS16276,OVH,FR,147.135.0.0/16,pages.lemlist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-05T21:38:19Z,2023-07-04T21:38:18Z,CN=pages.lemlist.com,pages.lemlist.com,pages.lemlist.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,26663962c44415d313c40fddca2fc82c,6ee87de79d9aa8b5be6313db2058af8144ad535eb95301177a045adbe7ce9a84,ctls,pages.lemlist.com,443,https://pages.lemlist.com:443,https,text/html,GET,147.135.229.201,/,-1840324437,147.135.229.201,HTTP/3,21,False,,,,,,,,
staging1.lemlist.com,lemlist,200,5005,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,staging1.lemlist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:20:19Z,2023-08-08T00:20:18Z,CN=lemlist.com,lemlist.com,*.lemlist.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,218839a385b7ddd6ea1734e114074224,c7625843fb14d588362d84429aca5c20c5d711865b6ad48e64c335f9355063d4,ctls,staging1.lemlist.com,443,https://staging1.lemlist.com:443,https,text/html,GET,104.21.56.113,/,-1840324437,2606:4700:3036::6815:3871,Node.js,70,False,https://calendly.com,True,cloudflare,cloudflare,True,,,
staging2.lemlist.com,Custom domain check,200,390,AS16276,OVH,FR,141.94.0.0/15,staging2.lemlist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-24T00:00:00Z,2023-06-22T23:59:59Z,CN=staging2.lemlist.com,staging2.lemlist.com,staging2.lemlist.com,"CN=ZeroSSL ECC Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL ECC Domain Secure Site CA,ZeroSSL,30e2ea847b1d7e4429b0b8c4f6b27ab9,f7feb9b1bc807d0d751ad77f1d3a8be249ca630c10d800b8c466e292c5225adb,ctls,staging2.lemlist.com,443,https://staging2.lemlist.com:443,https,text/html,GET,141.94.218.125,/,-1840324437,141.94.218.125,HTTP/3,21,False,,,,,,,,
status.lemlist.com,System Status,200,2532,AS14061,DIGITALOCEAN-ASN,US,157.230.0.0/16,status.lemlist.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-28T15:30:36Z,2023-07-27T15:30:35Z,CN=status.lemlist.com,status.lemlist.com,status.lemlist.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,96385aa70dc24a7d51a4902a1717e9f6,ed3247d1e898b6fe11197f1ffd052bb6243e90a5758ec5eb2ad794b382dd3490,ctls,status.lemlist.com,80,http://status.lemlist.com:80,http,text/html,GET,157.230.18.40,/,-1234591541,157.230.18.40,OpenResty:1.15.8.2,1,False,,,,openresty/1.15.8.2,,,https://status.lemlist.com/,
trail.lemlist.com,Custom domain check,200,390,AS16276,OVH,FR,51.254.0.0/15,,,,,,,,,,,,,,,,,,80,http://trail.lemlist.com:80,http,text/html,GET,51.254.243.65,/,-1840324437,51.254.243.65,,21,False,,,,,,,,
update.lemlist.com,lemlist 4.0 coming soon!,200,36943,AS16509,AS16509,Unknown,34.240.0.0/12,update.lemlist.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-06T15:14:22Z,2023-08-04T15:14:21Z,CN=update.lemlist.com,update.lemlist.com,update.lemlist.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3c8bc550f02f2e863227d6de03b0887d,fb9a3b56a0c3c047b2564e8695875ea7e46047637c5556746b75dd198d92dda5,ctls,update.lemlist.com,443,https://update.lemlist.com:443,https,text/html,GET,34.253.101.190,/,1602764457,34.251.201.224,Webflow,43,False,,,,,,,,
www.lemlist.com,Your Go-To Cold Email Software & Outreach Automation Tool,200,106098,AS16509,AS16509,Unknown,54.194.0.0/15,www.lemlist.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-24T05:12:43Z,2023-05-25T05:12:42Z,CN=www.lemlist.com,www.lemlist.com,www.lemlist.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8e4e4a4d1ef5e3ebdaa8345064a1f63c,6945773a0b5af29c713c0ce4c0c5203eb24034dfe47a335beb06ccff9552db11,ctls,www.lemlist.com,80,http://www.lemlist.com:80,http,text/html,GET,54.194.170.100,/,14177298,34.253.101.190,Webflow,445,False,,,,,,,https://www.lemlist.com/,
