new,host,a,cname,soa,status_code,mx,ns,txt,caa,aaaa,cdn,cdn-name,has_internal_ips,internal_ips
[x],academy.lemlist.com,178.63.0.188,"www.academyocean.com, academyocean.com","earl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","earl.ns.cloudflare.com, val.ns.cloudflare.com","atlassian-domain-verification=LixtGO7wzdg2VvkCb45aRidEcTba2tWK5Z4d/LMEUxoaxhBIFjArnLnAxsJ8qKTc, facebook-domain-verification=l9z0r9o1f3whh24qch4gduh098btjn, google-site-verification=CtUIEH4NH-Z-uNd9bSVEtnJe42t6C59DEK3zrdrqAw4, v=spf1 ip4:94.130.219.158 +a +mx include:_spf.google.com include:servers.mcsv.net -all, yandex-verification: 59a36f7c1101f458",letsencrypt.org,,,,,
[x],api.lemlist.com,147.135.229.201,,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],app2.lemlist.com,"104.21.56.113, 172.67.184.223",,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,"2606:4700:3036::ac43:b8df, 2606:4700:3036::6815:3871",True,cloudflare,,
[x],backup.lemlist.com,145.239.67.96,,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],blog.lemlist.com,151.101.179.7,"lemlist.ghost.io, ghost.map.fastly.net","ns1.fastly.net, hostmaster.fastly.com",NOERROR,,,,,2a04:4e42:2a::775,True,fastly,,
[x],change.lemlist.com,217.70.184.50,webredir.vip.gandi.net,"dns0.gandi.net, hostmaster.gandi.net",NOERROR,,,,,,,,,
[x],cust1.lemlist.com,91.134.167.250,,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],cust2.lemlist.com,46.105.54.36,,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],custom.lemlist.com,51.254.243.65,,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],custom.staging.lemlist.com,141.94.218.125,,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],custom.staging1.lemlist.com,54.36.176.86,staging1.lem.ovh,"dns106.ovh.net, tech.ovh.net",NOERROR,,,,,2001:41d0:303:4656::,,,,
[x],db.lemlist.com,,,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],dev.lemlist.com,127.0.0.1,,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,True,127.0.0.1
[x],developer.lemlist.com,,peernohell.github.io,"ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],email.lemlist.com,149.202.81.155,"marketing.lempire.co, tools0.lem.ovh","dns106.ovh.net, tech.ovh.net",NOERROR,,,,,,,,,
[x],fr.lemlist.com,"172.67.184.223, 104.21.56.113",,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,"2606:4700:3036::ac43:b8df, 2606:4700:3036::6815:3871",True,cloudflare,,
[x],help.lemlist.com,"172.67.184.223, 104.21.56.113",,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,"2606:4700:3036::6815:3871, 2606:4700:3036::ac43:b8df",True,cloudflare,,
[x],imap.lemlist.com,217.70.178.4,access.mail.gandi.net,"dns0.gandi.net, hostmaster.gandi.net",NOERROR,,,,,,,,,
[x],img.lemlist.com,147.135.229.201,,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],lemhero.lemlist.com,"44.207.21.146, 44.207.78.112, 52.55.54.43","proxy-ssl.webflow.com, proxy-ssl-geo.webflow.com","ns-1078.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1078.awsdns-06.org, ns-1722.awsdns-23.co.uk, ns-344.awsdns-43.com, ns-958.awsdns-55.net",,,,,,,
[x],lemlist.com,"75.2.70.75, 99.83.190.102",,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","algin.ns.cloudflare.com, zita.ns.cloudflare.com","google-site-verification=Afckpsk6T54FQRxqlXTpDj8LUCsCOSltNBexcEBul48, google-site-verification=MXj_edjZ2u4st8D6_n5gdMq2MqWzOE5FebLVmjdg_rI, google-site-verification=Mq5n7wNNJHPdP9jYgEIVcwy4h4idkys7zdux77mV-6w, google-site-verification=ULJW5sUKLeivjrfBJGWpMrdSSz7m3IVh0ZEitn0NH28, google-site-verification=UjoSFQ_uXb4-RDYAUJr1FzPfPMkqALFDUKkSTRJASKo, google-site-verification=hMuIQOjfmZWu9PBUG4ePVaFNVwd3BauRaU-sGqg1SY8, google-site-verification=hlAINLzpOm2K9oeumTdQFJ9Ka6Dk4EeM-lhlOy6ySr0, google-site-verification=wejHVJrAnqrHp-9C4Sztyf5tHBgfx5U7_9EL3gJwq-Y, hubspot-developer-verification=MzJlMjdmMzEtNzU3ZS00ZDI4LWIxNWEtODdmYjIyZGUyZTlj, v=spf1 include:_spf.google.com ~all",,,,,,
[x],links.emails.lemlist.com,172.65.225.161,links.custom.crisp.email,"miles.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,2606:4700:90:0:c84b:ae46:715d:e545,True,cloudflare,,
[x],pages.lemlist.com,147.135.229.201,,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],pix.lemlist.com,51.15.139.10,cname.pxlme.me,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,letsencrypt.org,,,,,
[x],smtp.lemlist.com,217.70.178.3,relay.mail.gandi.net,"dns0.gandi.net, hostmaster.gandi.net",NOERROR,,,,,,,,,
[x],staging1.lemlist.com,"104.21.56.113, 172.67.184.223",,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,"2606:4700:3036::ac43:b8df, 2606:4700:3036::6815:3871",True,cloudflare,,
[x],staging2.lemlist.com,141.94.218.125,,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],status.lemlist.com,157.230.18.40,status.hyperping.io,"ns1.digitalocean.com, hostmaster.hyperping.io",NOERROR,,,,,,,,,
[x],test.lemlist.com,,,"algin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],update.lemlist.com,"54.194.170.100, 34.251.201.224, 34.253.101.190","proxy-ssl.webflow.com, proxy-ssl-geo.webflow.com","ns-1078.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],vip.lemlist.com,"54.176.197.0, 50.18.85.95","vc.vyper.io, vyper-web-external-f46c97d2fe862788.elb.us-west-1.amazonaws.com","ns-231.awsdns-28.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],www.lemlist.com,"54.194.170.100, 34.251.201.224, 34.253.101.190","proxy-ssl.webflow.com, proxy-ssl-geo.webflow.com","ns-1078.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
