new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,txt,mx,ns,has_internal_ips,internal_ips,caa
[x],accept-kafka.naspers.co,"165.160.15.20, 165.160.13.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],atl-prd-ngw-01a-eth1.naspers.fr,"165.160.15.20, 165.160.13.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],beamlink.naspers.com,"167.89.118.52, 167.89.123.54, 167.89.118.83, 167.89.123.124",,sendgrid.net,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,"mailru-verification: 2e3995fa8a7d00e0, p8bnb2lp424dkl3c4io1aemiei, v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all, google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE","mx2.sendgrid.net, mx.sendgrid.net","ns11.dnsmadeeasy.com, ns10.dnsmadeeasy.com, ns13.dnsmadeeasy.com, ns14.dnsmadeeasy.com, ns15.dnsmadeeasy.com, ns12.dnsmadeeasy.com",,,"godaddy.com, amazonaws.com"
[x],cc.epm.naspers.com,10.64.18.78,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,True,10.64.18.78,
[x],delivery-18-216-13-212-us-east-2.naspers.us,"165.160.13.20, 165.160.15.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],mobility.naspers.com,152.111.203.100,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],sync200111-1.naspers.co,"165.160.13.20, 165.160.15.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],teleport.naspers.com,5.134.210.103,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],update-customers.naspers.co,"165.160.15.20, 165.160.13.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],wg93.naspersventures.com,54.144.128.85,,,,NOERROR,,,,,,,,
[x],xpert.naspers.com,10.111.251.39,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,True,10.111.251.39,
[x],zendesk1.naspers.com,"162.159.128.7, 162.159.138.6",,mail1.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,v=spf1 include:_netblocks.zdsys.com ~all,mail.zendesk.com,,,,
[x],zendesk3.naspers.com,"162.159.128.7, 162.159.138.6",,mail3.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,v=spf1 include:_netblocks.zdsys.com ~all,mail.zendesk.com,,,,
[x],zendesk4.naspers.com,"162.159.138.6, 162.159.128.7",,mail4.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,v=spf1 include:_netblocks.zdsys.com ~all,mail.zendesk.com,,,,
,02cpt-apple01.naspers.com,152.111.2.10,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,02cpt-cas01.za.ds.naspers.com,,,,,NOERROR,,,,,,,,
,20.naspers.co,"165.160.13.20, 165.160.15.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,20.naspers.fr,"165.160.13.20, 165.160.15.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,20.naspers.us,"165.160.15.20, 165.160.13.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,afportal.naspers.com,197.80.97.70,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,analytics-admin.prosus.com,"52.222.139.84, 52.222.139.81, 52.222.139.13, 52.222.139.47","2600:9000:2204:fc00:12:dcd9:7340:93a1, 2600:9000:2204:5600:12:dcd9:7340:93a1, 2600:9000:2204:1200:12:dcd9:7340:93a1, 2600:9000:2204:ce00:12:dcd9:7340:93a1, 2600:9000:2204:9000:12:dcd9:7340:93a1, 2600:9000:2204:6a00:12:dcd9:7340:93a1, 2600:9000:2204:8e00:12:dcd9:7340:93a1, 2600:9000:2204:8600:12:dcd9:7340:93a1",d29jy55hoybp3h.cloudfront.net,"ns-1643.awsdns-13.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,"ns-331.awsdns-41.com, ns-543.awsdns-03.net, ns-1324.awsdns-37.org, ns-1643.awsdns-13.co.uk",,,
,analyticsapi.naspers.com,"54.228.96.35, 54.228.165.45, 54.76.226.27",,analytics-1488265192.eu-west-1.elb.amazonaws.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,analyticsapi.prosus.com,"54.217.98.183, 108.128.68.93",,prosus-com-1079814791.eu-west-1.elb.amazonaws.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,api-test.naspers.com,185.59.161.118,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,"dns1.cscdns.net, dns2.cscdns.net",,,
,api2.naspers.com,185.59.161.113,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,apqa.m24.naspers.com,152.111.11.118,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,autodiscover.ds.naspers.com,"40.99.205.40, 52.97.201.88, 40.99.204.24, 52.97.250.216","2603:1026:c03:581b::8, 2603:1026:206:8::8, 2603:1026:c03:3033::8, 2603:1026:200:8b::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,,,,,,
,azreporting.naspers.com,,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,True,azure,,,,,,
,azsecure.naspers.com,51.144.167.40,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,True,azure,,,,,,
,blog.naspers.us,"165.160.13.20, 165.160.15.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,brandportal.naspers.com,"104.20.33.28, 104.20.34.28, 172.67.1.48","2606:4700:10::6814:211c, 2606:4700:10::6814:221c, 2606:4700:10::ac43:130",brandportal.naspers.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,bsmart.naspers.com,137.117.241.152,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,True,azure,,,,,,
,ca.naspers.com,152.111.69.13,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,capecam.naspers.com,"104.16.100.7, 104.16.99.7",,www.24.com,"hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,careers.naspers.com,102.133.162.114,,x.24.com,"hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,azure,,,,,,
,ccc-dev.epm.naspers.com,20.61.86.129,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,True,azure,,,,,,
,ccc.epm.naspers.com,20.61.86.113,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,True,azure,,,,,,
,cdn.naspers.com,152.111.192.5,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,cfc-uat.naspers.com,52.137.53.203,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,True,azure,,,,,,
,ciadmin.naspers.com,54.87.212.186,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,cmd.prosus.com,"2.16.241.98, 2.16.241.69","2a02:26f0:480:d::210:f145, 2a02:26f0:480:d::210:f162","prosuscmd.gcs-web.com, leapfrog-ssl-21.gcs-web.com.edgekey.net, e26203.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
,collector.prosus.com,35.158.114.208,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,corona88.naspers.co,"165.160.13.20, 165.160.15.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,cosmicvirus.naspers.us,"165.160.15.20, 165.160.13.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,covideo.naspers.co,"165.160.13.20, 165.160.15.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
