input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,tech_,lines,cdn,tls_expired
corona88.naspers.co,Home | Naspers,,35932,www.naspers.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-06-12T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,www.naspers.com,80,http://corona88.naspers.co:80,http,cloudflare,text/html,GET,165.160.15.20,Microsoft ASP.NET,885,,
covideo.naspers.co,Home | Naspers,,33903,www.naspers.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-06-12T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,www.naspers.com,80,http://covideo.naspers.co:80,http,cloudflare,text/html,GET,165.160.13.20,Microsoft ASP.NET,833,,
d27ycz41bv6xer.cloudfront.net,ERROR: The request could not be satisfied,,919,d27ycz41bv6xer.cloudfront.net,443,tls13,TLS_AES_128_GCM_SHA256,2022-12-08T00:00:00Z,CN=*.cloudfront.net,*.cloudfront.net,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,d27ycz41bv6xer.cloudfront.net,443,https://d27ycz41bv6xer.cloudfront.net:443,https,CloudFront,text/html,GET,108.138.7.7,Amazon Web Services,20,True,
d2a53q52tb0mto.cloudfront.net,ERROR: The request could not be satisfied,,951,d2a53q52tb0mto.cloudfront.net,443,tls13,TLS_AES_128_GCM_SHA256,2022-12-08T00:00:00Z,CN=*.cloudfront.net,*.cloudfront.net,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,d2a53q52tb0mto.cloudfront.net,443,https://d2a53q52tb0mto.cloudfront.net:443,https,CloudFront,text/html,GET,13.32.99.82,Amazon Web Services,20,True,
dashboardadmin.naspers.com,401 Unauthorized,,381,dashboardadmin.naspers.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-25T00:00:00Z,CN=dashboardadmin.naspers.com,dashboardadmin.naspers.com,,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,dashboardadmin.naspers.com,443,https://dashboardadmin.naspers.com:443,https,Apache,text/html,GET,54.76.226.27,HSTS,13,,
dealflow.prosus.com,Prosus Dealflow,,5712,dealflow.prosus.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-08-25T00:00:00Z,"CN=dealflow.prosus.com, O=MIH Technology Holdings B.V., ST=Noord-Holland, C=NL",dealflow.prosus.com,MIH Technology Holdings B.V.,"CN=Trusted Secure Certificate Authority 5, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority 5,Corporation Service Company,ctls,dealflow.prosus.com,443,https://dealflow.prosus.com:443,https,AmazonS3,text/html,GET,18.66.112.54,HSTS,1,True,
dealflowapi.prosus.com,,,52,dealflowapi.prosus.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-25T00:00:00Z,"CN=dealflowapi.prosus.com, O=MIH Technology Holdings B.V., ST=Noord-Holland, C=NL",dealflowapi.prosus.com,MIH Technology Holdings B.V.,"CN=Trusted Secure Certificate Authority 5, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority 5,Corporation Service Company,ctls,dealflowapi.prosus.com,443,https://dealflowapi.prosus.com:443,https,Apache,application/json,GET,63.35.99.39,HSTS,1,,
demolegal.naspers.com,Prosus - Naspers Legal Management System,,5163,demolegal.naspers.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-25T00:00:00Z,CN=demolegal.naspers.com,demolegal.naspers.com,,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,demolegal.naspers.com,443,https://demolegal.naspers.com:443,https,Apache,text/html,GET,52.222.191.39,PHP,80,True,
deployment-brandportal.naspers.com,,,16,deployment-brandportal.naspers.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-30T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,deployment-brandportal.naspers.com,443,https://deployment-brandportal.naspers.com:443,https,cloudflare,text/plain,GET,104.20.33.28,HSTS,1,True,
deployment-naspers.naspers.com,,,16,deployment-naspers.naspers.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,deployment-naspers.naspers.com,443,https://deployment-naspers.naspers.com:443,https,cloudflare,text/plain,GET,104.20.33.28,HSTS,1,True,
