input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_expired,tls_subject_org_,final_url
o17.ptr3923.outreach.glassdoor.com,403 Forbidden,403,553,o17.ptr3923.outreach.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2020-04-06T00:00:00Z,2020-10-13T23:59:59Z,CN=ssl446938.cloudflaressl.com,ssl446938.cloudflaressl.com,ssl446938.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,6893ca0f0fb406e2fe60443a6f9bbc1f,6545593c0b1829bb520694ba08f21e2ce532f927b87abb99f7b8ea404823fd7c,ctls,o17.ptr3923.outreach.glassdoor.com,cloudflare,443,https://o17.ptr3923.outreach.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.90.51,/,-861110197,104.17.91.51,Cloudflare,14,False,True,,True,,
pages.email.glassdoor.com,403 - Forbidden: Access is denied.,403,1233,,,,,,,,,,,,,,,,,,,,80,http://pages.email.glassdoor.com:80,http,,text/html,GET,66.231.94.111,/,-207424980,66.231.94.111,,30,False,,,,,
partner-api.glassdoor.com,,404,136,partner-api.glassdoor.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-21T00:00:00Z,2023-10-11T23:59:59Z,CN=*.glassdoor.com,*.glassdoor.com,glassdoor.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,923b23b1d1042e7a42a1c3ddbb69d51e,6d7455c647f035649c64fcf1238c6d818d2b541f57a575cd1a59c27d3eaeb9b9,ctls,partner-api.glassdoor.com,,443,https://partner-api.glassdoor.com:443,https,,application/json,GET,52.0.87.187,/,1899956295,54.197.81.160,,1,False,,True,,,
post-job.glassdoor.com,Security | Glassdoor,403,53865,post-job.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=glassdoor.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",glassdoor.com,*.content.glassdoor.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",112364f6d6e8cb3f87c2ec3f883d7009,064dc1621e020f1f25d41f10d45e8d0823dacdac408794cde37114959f2312ef,ctls,post-job.glassdoor.com,cloudflare,443,https://post-job.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.90.51,/,-753632611,104.17.91.51,HTTP/3,181,False,True,True,,"Cloudflare, Inc.",
press-content.glassdoor.com,Security | Glassdoor,403,53893,press-content.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=glassdoor.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",glassdoor.com,*.content.glassdoor.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",112364f6d6e8cb3f87c2ec3f883d7009,064dc1621e020f1f25d41f10d45e8d0823dacdac408794cde37114959f2312ef,ctls,press-content.glassdoor.com,cloudflare,443,https://press-content.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.90.51,/,-2651505,104.17.91.51,HTTP/3,181,False,True,True,,"Cloudflare, Inc.",
resources.glassdoor.com,Security | Glassdoor,403,54049,www.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=glassdoor.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",glassdoor.com,*.content.glassdoor.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",112364f6d6e8cb3f87c2ec3f883d7009,064dc1621e020f1f25d41f10d45e8d0823dacdac408794cde37114959f2312ef,ctls,www.glassdoor.com,cloudflare,443,https://resources.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.70.206,/,-609490882,104.17.72.206,HTTP/3,181,False,True,True,,"Cloudflare, Inc.",https://www.glassdoor.com/employers/resources
resume.glassdoor.com,Security | Glassdoor,403,53879,resume.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=glassdoor.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",glassdoor.com,*.content.glassdoor.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",112364f6d6e8cb3f87c2ec3f883d7009,064dc1621e020f1f25d41f10d45e8d0823dacdac408794cde37114959f2312ef,ctls,resume.glassdoor.com,cloudflare,443,https://resume.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.90.51,/,-1189967547,104.17.91.51,HTTP/3,181,False,True,True,,"Cloudflare, Inc.",
scim.glassdoor.com,HTTP Status 404 – Not Found,404,431,scim.glassdoor.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-20T00:00:00Z,2023-12-09T23:59:59Z,CN=glassdoor.com,glassdoor.com,*.glassdoor.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,9eff131ceefa26bbbeb8b268d8636547,dc79dd927fa5e56cd3b7bf5bb3ebda74a9e629e37653c895e4ce0b23d2904d01,ctls,scim.glassdoor.com,,443,https://scim.glassdoor.com:443,https,,text/html,GET,54.92.253.3,/,-230353730,50.19.12.29,,1,False,,True,,,
sg.glassdoor.com,Security | Glassdoor,403,53942,www.glassdoor.sg,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-12T00:00:00Z,2024-05-11T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.glassdoor.sg,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",fcfc43e9b39e1941c988dc929e82646a,8f479e3b6d2ead82ed249071896156f3ee8ed8ec421501cbf01338a7b4282686,ctls,www.glassdoor.sg,cloudflare,443,https://sg.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.90.51,/,1549369017,104.17.91.51,HTTP/3,181,False,True,True,,"Cloudflare, Inc.",https://www.glassdoor.sg/?src=gd-domain-redirect
sitemaps.glassdoor.com,Security | Glassdoor,403,53820,sitemaps.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=glassdoor.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",glassdoor.com,*.content.glassdoor.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",112364f6d6e8cb3f87c2ec3f883d7009,064dc1621e020f1f25d41f10d45e8d0823dacdac408794cde37114959f2312ef,ctls,sitemaps.glassdoor.com,cloudflare,443,https://sitemaps.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.91.51,/,-1204012078,104.17.90.51,HTTP/3,181,False,True,True,,"Cloudflare, Inc.",
