new,host,soa,status_code,a,cdn,cdn-name,mx,txt,cname,has_internal_ips,internal_ips,ns,caa
,contentsvc.glassdoor.com,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,34.96.67.224,True,google,,,"cdn.sift.com, cdn.prod.gcp.sift.com",,,,
,conversations.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,css.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.90.51, 104.17.91.51",True,cloudflare,,,,,,,
,de.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.91.51, 104.17.90.51",True,cloudflare,,,,,,,
,demo.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,deploy.glassdoor.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"35.171.242.31, 50.16.43.113",,,,,"glassdoor.jamfcloud.com, glassdoor-alb-1430155026.us-east-1.elb.amazonaws.com",,,,
,design.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.91.51, 104.17.90.51",True,cloudflare,,,,,,,
,devportal.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,portal.gkc.prod.jagundi.com,,,,
,docs-stage.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,scribe.gkc.stage.jagundi.com,,,,
,docs.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,scribe.gkc.prod.jagundi.com,,,,
,documents.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,econ.glassdoor.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"10.0.213.153, 10.0.221.120",,,,,internal-tf-prod-us-east-1-gd-econ-70458079.us-east-1.elb.amazonaws.com,True,"10.0.213.153, 10.0.221.120",,
,employers-api.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,,
,employers.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.90.51, 104.17.91.51",True,cloudflare,,,,,,,
,empmarketing.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.90.51, 104.17.91.51",True,cloudflare,,,,,,,
,es.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.90.51, 104.17.91.51",True,cloudflare,,,,,,,
,events.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.90.51, 104.17.91.51",True,cloudflare,,,,,,,
,feeds.glassdoor.com,"ns-328.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"52.217.69.180, 3.5.25.125, 52.217.197.201, 52.216.54.129, 54.231.172.89, 52.217.170.249, 52.216.244.228, 3.5.29.182",,,,38361f7847dfc47d25ea018cc49d2d4b,"feeds.glassdoor.com.s3.amazonaws.com, s3-1-w.amazonaws.com, s3-w.us-east-1.amazonaws.com",,,"ns-674.awsdns-20.net, ns-1173.awsdns-18.org, ns-1620.awsdns-10.co.uk, ns-328.awsdns-41.com",
,fr.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.90.51, 104.17.91.51",True,cloudflare,,,,,,,
,ftp.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,35.168.161.108,,,,,,,,,
,geeking-stage.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,geeking.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.90.51, 104.17.91.51",True,cloudflare,"aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com",,,,,"jill.ns.cloudflare.com, noah.ns.cloudflare.com","amazonaws.com, comodoca.com, digicert.com; cansignhttpexchanges=yes, geotrust.com, letsencrypt.org, pki.goog; cansignhttpexchanges=yes"
,hammerbot.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
