input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,webserver,final_url,csp_domains_,tls_mismatched,tls_wildcard_certificate,cdn_name,cdn,tls_self_signed,tls_subject_org_,tls_expired
03624383-0826-45b9-87e1-f4adde7d434d.unifi-hosting.ui.com,UniFi OS,200,595,03624383-0826-45b9-87e1-f4adde7d434d.unifi-hosting.ui.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-23T17:37:05Z,2023-07-22T17:37:04Z,CN=03624383-0826-45b9-87e1-f4adde7d434d.unifi-hosting.ui.com,03624383-0826-45b9-87e1-f4adde7d434d.unifi-hosting.ui.com,03624383-0826-45b9-87e1-f4adde7d434d.unifi-hosting.ui.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e76152bfb443e7cb61258f5b2a9465f5,4a924a35dd96576553f95eb831785603b315e1446fc00c299dd06726407101dc,ctls,03624383-0826-45b9-87e1-f4adde7d434d.unifi-hosting.ui.com,443,https://03624383-0826-45b9-87e1-f4adde7d434d.unifi-hosting.ui.com:443,https,text/html,GET,138.197.74.39,/,-1261685053,138.197.74.39,HSTS,1,False,,,,,,,,,,
0379a134-a827-41f0-9f88-caedc5783286.unifi-hosting.ui.com,UniFi OS,200,484,0379a134-a827-41f0-9f88-caedc5783286.unifi-hosting.ui.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T18:22:01Z,2023-08-03T18:22:00Z,CN=0379a134-a827-41f0-9f88-caedc5783286.unifi-hosting.ui.com,0379a134-a827-41f0-9f88-caedc5783286.unifi-hosting.ui.com,0379a134-a827-41f0-9f88-caedc5783286.unifi-hosting.ui.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,227ca2ff1e55975392b3e13acc5dbc57,dffc9cea3d2881282745b910ac0d12189ac014be38879f84a592bd667f14b60d,ctls,0379a134-a827-41f0-9f88-caedc5783286.unifi-hosting.ui.com,443,https://0379a134-a827-41f0-9f88-caedc5783286.unifi-hosting.ui.com:443,https,text/html,GET,167.99.1.90,/,390404864,167.99.1.90,HSTS,1,False,,,,,,,,,,
0561050b-201a-4e94-8b4a-aec22ac786c0.unifi-hosting.ui.com,UniFi OS,200,484,0561050b-201a-4e94-8b4a-aec22ac786c0.unifi-hosting.ui.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T08:21:03Z,2023-08-08T08:21:02Z,CN=0561050b-201a-4e94-8b4a-aec22ac786c0.unifi-hosting.ui.com,0561050b-201a-4e94-8b4a-aec22ac786c0.unifi-hosting.ui.com,0561050b-201a-4e94-8b4a-aec22ac786c0.unifi-hosting.ui.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f20f77f52176f9832c48cda73eaca56c,888b3efcddf3d29ee92e62119186f51162a13dc8959bd229168dd0373f601abf,ctls,0561050b-201a-4e94-8b4a-aec22ac786c0.unifi-hosting.ui.com,443,https://0561050b-201a-4e94-8b4a-aec22ac786c0.unifi-hosting.ui.com:443,https,text/html,GET,143.110.230.114,/,390404864,143.110.230.114,HSTS,1,False,,,,,,,,,,
05be.go.ubnt.com,Ubiquiti Account,200,2558,account.ui.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-22T00:00:00Z,2024-04-19T23:59:59Z,CN=*.account.ui.com,*.account.ui.com,account.ui.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ee88130395ae78eba625a767fc734952,2b281e10d053d423c7c7200222fc1160820161d506c62b6f73f087e091585fb2,ctls,account.ui.com,443,https://05be.go.ubnt.com:443,https,text/html,GET,130.211.191.195,/,-850695738,130.211.191.195,Nginx:1.24.0,1,False,nginx/1.24.0,https://account.ui.com/login?redirect=https%3A//unifi-go.ubnt.com/api/eol,https://app-static.sendsafely.com,True,True,google,True,,,
05d132a3-81a0-4f3a-9081-95881b8e73c0.unifi-hosting.ui.com,UniFi OS,200,484,05d132a3-81a0-4f3a-9081-95881b8e73c0.unifi-hosting.ui.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T10:16:56Z,2023-08-08T10:16:55Z,CN=05d132a3-81a0-4f3a-9081-95881b8e73c0.unifi-hosting.ui.com,05d132a3-81a0-4f3a-9081-95881b8e73c0.unifi-hosting.ui.com,05d132a3-81a0-4f3a-9081-95881b8e73c0.unifi-hosting.ui.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,46c743a7aa11a7f93df468484d6505cb,7bea9591b4151b7c8ff7d425961a4d1105793fc2675676ebaac76bd2e01cc36a,ctls,05d132a3-81a0-4f3a-9081-95881b8e73c0.unifi-hosting.ui.com,443,https://05d132a3-81a0-4f3a-9081-95881b8e73c0.unifi-hosting.ui.com:443,https,text/html,GET,68.183.157.147,/,390404864,68.183.157.147,HSTS,1,False,,,,,,,,,,
07015b77-ab67-4f5d-a1ee-81cd73bcdd13.unifi-hosting.ui.com,UniFi OS,200,595,07015b77-ab67-4f5d-a1ee-81cd73bcdd13.unifi-hosting.ui.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-03T01:58:47Z,2023-08-01T01:58:46Z,CN=07015b77-ab67-4f5d-a1ee-81cd73bcdd13.unifi-hosting.ui.com,07015b77-ab67-4f5d-a1ee-81cd73bcdd13.unifi-hosting.ui.com,07015b77-ab67-4f5d-a1ee-81cd73bcdd13.unifi-hosting.ui.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3854001a3eecfef919fffce1ff86d5e9,b4a30e2b25d2992615b13eef2c86848fedec59b9041250e975ed476f80273d49,ctls,07015b77-ab67-4f5d-a1ee-81cd73bcdd13.unifi-hosting.ui.com,443,https://07015b77-ab67-4f5d-a1ee-81cd73bcdd13.unifi-hosting.ui.com:443,https,text/html,GET,138.197.127.207,/,-1261685053,138.197.127.207,HSTS,1,False,,,,,,,,,,
070c3ee6-0266-4ebc-a1d8-d631e66a0113.unifi-hosting.ui.com,UniFi OS,200,595,070c3ee6-0266-4ebc-a1d8-d631e66a0113.unifi-hosting.ui.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-24T06:21:49Z,2023-07-23T06:21:48Z,CN=070c3ee6-0266-4ebc-a1d8-d631e66a0113.unifi-hosting.ui.com,070c3ee6-0266-4ebc-a1d8-d631e66a0113.unifi-hosting.ui.com,070c3ee6-0266-4ebc-a1d8-d631e66a0113.unifi-hosting.ui.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,39588d0fd82b61c66fe967c835f4d8e0,92d494e8ff0014ae7125eba38a38cddb546cd72b8929a9591d35c88bf44de013,ctls,070c3ee6-0266-4ebc-a1d8-d631e66a0113.unifi-hosting.ui.com,443,https://070c3ee6-0266-4ebc-a1d8-d631e66a0113.unifi-hosting.ui.com:443,https,text/html,GET,142.93.255.110,/,-1261685053,142.93.255.110,HSTS,1,False,,,,,,,,,,
0876543.santander.dev-go.ubnt.com,Ubiquiti Account,200,2558,account.ui.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-22T00:00:00Z,2024-04-19T23:59:59Z,CN=*.account.ui.com,*.account.ui.com,account.ui.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ee88130395ae78eba625a767fc734952,2b281e10d053d423c7c7200222fc1160820161d506c62b6f73f087e091585fb2,ctls,account.ui.com,443,https://0876543.santander.dev-go.ubnt.com:443,https,text/html,GET,104.154.206.242,/,-850695738,104.154.206.242,Nginx:1.24.0,1,False,nginx/1.24.0,https://account.ui.com/login?redirect=https%3A//unifi-go.ubnt.com/api/eol,https://region1.google-analytics.com,True,True,google,True,,,
09d42b1a-1b65-4c3d-a7c0-8f804b7db0f6.unifi-hosting.ui.com,UniFi OS,200,595,09d42b1a-1b65-4c3d-a7c0-8f804b7db0f6.unifi-hosting.ui.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T16:58:15Z,2023-07-26T16:58:14Z,CN=09d42b1a-1b65-4c3d-a7c0-8f804b7db0f6.unifi-hosting.ui.com,09d42b1a-1b65-4c3d-a7c0-8f804b7db0f6.unifi-hosting.ui.com,09d42b1a-1b65-4c3d-a7c0-8f804b7db0f6.unifi-hosting.ui.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4d57b330c1654fedf59b3a42ead17dc7,5e48b20b4af33f3022469c81b703f5c7e5efee92bb80368ae41640005273c6c5,ctls,09d42b1a-1b65-4c3d-a7c0-8f804b7db0f6.unifi-hosting.ui.com,443,https://09d42b1a-1b65-4c3d-a7c0-8f804b7db0f6.unifi-hosting.ui.com:443,https,text/html,GET,174.138.68.130,/,-1261685053,174.138.68.130,HSTS,1,False,,,,,,,,,,
09fcfd8a-d860-4f5c-9ef6-64f0fbea60b1.unifi-hosting.ui.com,UniFi OS,200,484,09fcfd8a-d860-4f5c-9ef6-64f0fbea60b1.unifi-hosting.ui.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T10:02:42Z,2023-08-08T10:02:41Z,CN=09fcfd8a-d860-4f5c-9ef6-64f0fbea60b1.unifi-hosting.ui.com,09fcfd8a-d860-4f5c-9ef6-64f0fbea60b1.unifi-hosting.ui.com,09fcfd8a-d860-4f5c-9ef6-64f0fbea60b1.unifi-hosting.ui.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,dfa477405955e368ec254ca36782fb7e,e8aa798f0aa93bf1e729b88fae84602edc8769d2df24b4cf35cac87ecbd5d8aa,ctls,09fcfd8a-d860-4f5c-9ef6-64f0fbea60b1.unifi-hosting.ui.com,443,https://09fcfd8a-d860-4f5c-9ef6-64f0fbea60b1.unifi-hosting.ui.com:443,https,text/html,GET,161.35.228.158,/,390404864,161.35.228.158,HSTS,1,False,,,,,,,,,,
